"Date","CANSARTMISMEI"
1970-01-01,27.0720676979475
1970-02-01,26.5783557272894
1970-03-01,26.4076420360178
1970-04-01,26.6454638679962
1970-05-01,26.8338375962959
1970-06-01,27.0288062813185
1970-07-01,27.5683549776408
1970-08-01,27.2600472846036
1970-09-01,27.7321448131252
1970-10-01,27.5885098452967
1970-11-01,27.6441959297966
1970-12-01,28.6042204139786
1971-01-01,27.8866713287565
1971-02-01,28.6418740861614
1971-03-01,28.6763681262276
1971-04-01,29.4145436580997
1971-05-01,29.2694950706343
1971-06-01,29.3995847328042
1971-07-01,29.3557414725562
1971-08-01,29.1559652563206
1971-09-01,30.180186071465
1971-10-01,30.2445655633134
1971-11-01,30.5443999335866
1971-12-01,30.1474081408147
1972-01-01,30.2927784965409
1972-02-01,29.5911163638892
1972-03-01,30.6862079524001
1972-04-01,31.3639233253766
1972-05-01,31.597311659897
1972-06-01,31.4440006979576
1972-07-01,30.9677973669468
1972-08-01,31.0234579519799
1972-09-01,31.9035014826129
1972-10-01,32.3048236247781
1972-11-01,32.0453745717906
1972-12-01,32.4135017020871
1973-01-01,32.0246532682397
1973-02-01,31.9869214727195
1973-03-01,33.2252488795387
1973-04-01,33.2802096462724
1973-05-01,31.7844324139446
1973-06-01,31.992426506938
1973-07-01,32.3251466197179
1973-08-01,31.493775363567
1973-09-01,32.1629549905323
1973-10-01,32.591128947033
1973-11-01,33.0497243021844
1973-12-01,32.6412417520282
1974-01-01,33.6008300649831
1974-02-01,34.1688025959445
1974-03-01,33.7674231852163
1974-04-01,33.7206720959321
1974-05-01,33.9570727294955
1974-06-01,33.5650295439743
1974-07-01,33.7104902547715
1974-08-01,34.5991875986431
1974-09-01,33.7826023694925
1974-10-01,33.3279198086197
1974-11-01,32.8389999174314
1974-12-01,32.7908712156179
1975-01-01,33.7505942143711
1975-02-01,34.2176444178191
1975-03-01,33.9749700615695
1975-04-01,33.6362036535989
1975-05-01,34.6823736112116
1975-06-01,34.369101723003
1975-07-01,34.7225908051939
1975-08-01,34.8883934547821
1975-09-01,34.384323401803
1975-10-01,34.9069979624192
1975-11-01,36.0301221450759
1975-12-01,37.7899680968028
1976-01-01,35.249662210227
1976-02-01,35.1541308790938
1976-03-01,35.9694599420665
1976-04-01,37.2469117770875
1976-05-01,36.1897420190112
1976-06-01,36.9487403572777
1976-07-01,36.8442714064153
1976-08-01,36.8389497243338
1976-09-01,36.8650537514784
1976-10-01,37.5357190810966
1976-11-01,36.9482471799644
1976-12-01,38.4163679561878
1977-01-01,37.9960516111112
1977-02-01,37.5161816827072
1977-03-01,37.3422747328392
1977-04-01,37.0372004561246
1977-05-01,36.6021347562572
1977-06-01,36.3637617501952
1977-07-01,36.4239333695026
1977-08-01,37.1946530450016
1977-09-01,36.8578713397009
1977-10-01,36.9763230061915
1977-11-01,37.4116001758226
1977-12-01,36.7846075153069
1978-01-01,36.8845789803814
1978-02-01,37.8579088087951
1978-03-01,37.3628985539268
1978-04-01,37.7077648950622
1978-05-01,37.5386052450766
1978-06-01,37.4885210688003
1978-07-01,36.5046506793515
1978-08-01,37.2998301896044
1978-09-01,39.2100854985442
1978-10-01,37.628612256724
1978-11-01,37.4737214584542
1978-12-01,37.7855815493768
1979-01-01,37.5445926430283
1979-02-01,37.848932095256
1979-03-01,38.8032413314228
1979-04-01,37.5337503418401
1979-05-01,37.8056203218607
1979-06-01,38.4818346217757
1979-07-01,38.3707384265823
1979-08-01,38.6263861885993
1979-09-01,37.897832994204
1979-10-01,38.0812755324415
1979-11-01,37.5992653969708
1979-12-01,37.4997209156628
1980-01-01,37.724204993596
1980-02-01,37.6025009713256
1980-03-01,36.6954865216341
1980-04-01,36.6888083472454
1980-05-01,36.5027798995404
1980-06-01,36.0568351317416
1980-07-01,37.0828062131978
1980-08-01,37.3611480947513
1980-09-01,37.6687797612661
1980-10-01,37.570185413975
1980-11-01,37.6041964045967
1980-12-01,37.4410778240978
1981-01-01,41.9845040695542
1981-02-01,41.6492324442362
1981-03-01,40.8973150449043
1981-04-01,41.1678534266964
1981-05-01,40.6757385306008
1981-06-01,40.2855444634166
1981-07-01,40.0712333160665
1981-08-01,39.6942934187395
1981-09-01,40.2025377947224
1981-10-01,39.9038015213303
1981-11-01,40.6290970998535
1981-12-01,39.8892768359671
1982-01-01,38.975018103162
1982-02-01,39.5058926448705
1982-03-01,38.3819187461252
1982-04-01,38.5329173409026
1982-05-01,38.8060550422552
1982-06-01,37.6233444127244
1982-07-01,37.8210807995204
1982-08-01,38.1229698897155
1982-09-01,38.307243045432
1982-10-01,37.916804833585
1982-11-01,38.0939916471546
1982-12-01,38.7549024155471
1983-01-01,38.5304991806073
1983-02-01,38.8348922918347
1983-03-01,39.3486245442245
1983-04-01,37.9134777435358
1983-05-01,39.3484346117699
1983-06-01,40.3607632600002
1983-07-01,39.9865703387525
1983-08-01,39.826680994081
1983-09-01,40.093875328539
1983-10-01,40.3550078991667
1983-11-01,40.3438599161213
1983-12-01,40.7433222447866
1984-01-01,41.1434225934293
1984-02-01,40.8425165955196
1984-03-01,40.3460264075314
1984-04-01,41.3789307455746
1984-05-01,40.996518131678
1984-06-01,41.6763544415221
1984-07-01,41.1728460747891
1984-08-01,41.2340719405284
1984-09-01,41.5877455672277
1984-10-01,42.3537398602071
1984-11-01,42.2043959048462
1984-12-01,41.8914377534909
1985-01-01,42.852049817422
1985-02-01,43.1382122979999
1985-03-01,44.1204762997683
1985-04-01,43.9575725868975
1985-05-01,44.6028281432903
1985-06-01,43.66898698421
1985-07-01,44.263444283782
