"Date","CANPRCNTO01MLM"
1961-01-01,2890453764.23335
1961-02-01,2906795552.29969
1961-03-01,2859812911.60897
1961-04-01,2937436404.92407
1961-05-01,3160093267.32791
1961-06-01,3580894310.03609
1961-07-01,3828063854.53943
1961-08-01,3964926329.595
1961-09-01,3946541818.02037
1961-10-01,3760653978.76579
1961-11-01,3527783498.82049
1961-12-01,3078384326.99622
1962-01-01,2921094616.85773
1962-02-01,2937436404.92407
1962-03-01,2937436404.92407
1962-04-01,3055914368.40501
1962-05-01,3280613954.31714
1962-06-01,3732055849.6497
1962-07-01,3946541818.02037
1962-08-01,4062977057.99303
1962-09-01,4020079864.31889
1962-10-01,3870961048.21357
1962-11-01,3580894310.03609
1962-12-01,3125366967.68694
1963-01-01,2908838275.80798
1963-02-01,2978290875.08991
1963-03-01,2953778192.9904
1963-04-01,3057957091.9133
1963-05-01,3298998465.89177
1963-06-01,3636047844.75997
1963-07-01,3860747430.67211
1963-08-01,3932242753.46233
1963-09-01,3966969053.1033
1963-10-01,3948584541.52867
1963-11-01,3670774144.40094
1963-12-01,3256101272.21764
1964-01-01,3156007820.31132
1964-02-01,3296955742.38348
1964-03-01,3223417696.08497
1964-04-01,3254058548.70935
1964-05-01,3425647323.40588
1964-06-01,3762696702.27408
1964-07-01,3930200029.95404
1964-08-01,4020079864.31889
1964-09-01,4020079864.31889
1964-10-01,4048677993.43498
1964-11-01,3930200029.95404
1964-12-01,3629919674.2351
1965-01-01,3511441710.75415
1965-02-01,3527783498.82049
1965-03-01,3511441710.75415
1965-04-01,3566595245.47804
1965-05-01,3699372273.51703
1965-06-01,4028250758.35206
1965-07-01,4234565832.68956
1965-08-01,4389812819.31977
1965-09-01,4402069160.36952
1965-10-01,4365300137.22026
1965-11-01,4234565832.68956
1965-12-01,3815807513.48968
1966-01-01,3642176015.28485
1966-02-01,3744312190.69946
1966-03-01,3744312190.69946
1966-04-01,3797423001.91505
1966-05-01,3928157306.44575
1966-06-01,4138557827.79983
1966-07-01,4301975708.4632
1966-08-01,4387770095.81147
1966-09-01,4363257413.71197
1966-10-01,4301975708.4632
1966-11-01,4161027786.39105
1966-12-01,3758611255.2575
1967-01-01,3597236098.10242
1967-02-01,3658517803.35119
1967-03-01,3542082563.37854
1967-04-01,3611535162.66047
1967-05-01,3868918324.70528
1967-06-01,4236608556.19786
