"Date","XFORSD01CAM194N"
1957-01-01,2.041e+09
1957-02-01,2.031e+09
1957-03-01,2.03e+09
1957-04-01,2.011e+09
1957-05-01,2.043e+09
1957-06-01,2.054e+09
1957-07-01,2.082e+09
1957-08-01,2.055e+09
1957-09-01,1.999e+09
1957-10-01,2.033e+09
1957-11-01,2.003e+09
1957-12-01,1.936e+09
1958-01-01,1.966e+09
1958-02-01,1.972e+09
1958-03-01,1.975e+09
1958-04-01,1.981e+09
1958-05-01,2.004e+09
1958-06-01,2.028e+09
1958-07-01,2.043e+09
1958-08-01,2.03e+09
1958-09-01,1.996e+09
1958-10-01,2.025e+09
1958-11-01,2.036e+09
1958-12-01,2.046e+09
1959-01-01,2.008e+09
1959-02-01,1.993e+09
1959-03-01,1.995e+09
1959-04-01,2.018e+09
1959-05-01,2.024e+09
1959-06-01,2.04e+09
1959-07-01,2.023e+09
1959-08-01,2.031e+09
1959-09-01,2.046e+09
1959-10-01,2.043e+09
1959-11-01,2.032e+09
1959-12-01,2.037e+09
1960-01-01,2032200000
1960-02-01,2027300000
1960-03-01,2024800000
1960-04-01,2010700000
1960-05-01,1908200000
1960-06-01,1.941e+09
1960-07-01,1990200000
1960-08-01,2005700000
1960-09-01,1983800000
1960-10-01,2016200000
1960-11-01,2009100000
1960-12-01,1997800000
1961-01-01,2054200000
1961-02-01,2082800000
1961-03-01,2105800000
1961-04-01,2119800000
1961-05-01,2133700000
1961-06-01,2169300000
1961-07-01,2145200000
1961-08-01,2153600000
1961-09-01,2160200000
1961-10-01,2346100000
1961-11-01,2314300000
1961-12-01,2.292e+09
1962-01-01,2157200000
1962-02-01,1982700000
1962-03-01,1933400000
1962-04-01,1801200000
1962-05-01,1678100000
1962-06-01,1832200000
1962-07-01,2140200000
1962-08-01,2351800000
1962-09-01,2466800000
1962-10-01,2.636e+09
1962-11-01,2628100000
1962-12-01,2560500000
1963-01-01,2684100000
1963-02-01,2615400000
1963-03-01,2.622e+09
1963-04-01,2693600000
1963-05-01,2734100000
1963-06-01,2714100000
1963-07-01,2522600000
1963-08-01,2492800000
1963-09-01,2589900000
1963-10-01,2602400000
1963-11-01,2650400000
1963-12-01,2613300000
1964-01-01,2600500000
1964-02-01,2561700000
1964-03-01,2514800000
1964-04-01,2519300000
1964-05-01,2548400000
1964-06-01,2577100000
1964-07-01,2.576e+09
1964-08-01,2623700000
1964-09-01,2722700000
1964-10-01,2840300000
1964-11-01,2898900000
1964-12-01,2889500000
1965-01-01,2883400000
1965-02-01,2878800000
1965-03-01,2824800000
1965-04-01,2831700000
1965-05-01,2843900000
1965-06-01,2825700000
1965-07-01,2850100000
1965-08-01,2967300000
1965-09-01,3033100000
1965-10-01,3048900000
1965-11-01,3062200000
1965-12-01,3036900000
1966-01-01,2997500000
1966-02-01,2949600000
1966-03-01,2912900000
1966-04-01,2882200000
1966-05-01,2878600000
1966-06-01,2798300000
1966-07-01,2.775e+09
1966-08-01,2745600000
1966-09-01,2717900000
1966-10-01,2698100000
1966-11-01,2.712e+09
1966-12-01,2701900000
1967-01-01,2723500000
1967-02-01,2679600000
1967-03-01,2688500000
1967-04-01,2669900000
1967-05-01,2660300000
1967-06-01,2639200000
1967-07-01,2648700000
1967-08-01,2664500000
1967-09-01,2689200000
1967-10-01,2770200000
1967-11-01,2723800000
1967-12-01,2716900000
1968-01-01,2617600000
1968-02-01,2493800000
1968-03-01,2260800000
1968-04-01,2456700000
1968-05-01,2749100000
1968-06-01,2710900000
1968-07-01,2649200000
1968-08-01,2725200000
1968-09-01,2737500000
1968-10-01,2727900000
1968-11-01,2885500000
1968-12-01,3045800000
1969-01-01,3089900000
1969-02-01,3044700000
1969-03-01,3010700000
1969-04-01,3030800000
1969-05-01,3011900000
1969-06-01,2960900000
1969-07-01,2934400000
1969-08-01,2966600000
1969-09-01,2956100000
1969-10-01,3.05e+09
1969-11-01,3075200000
1969-12-01,3106300000
1970-01-01,3311200000
1970-02-01,3423900000
1970-03-01,3597500000
1970-04-01,3822400000
1970-05-01,4083900000
1970-06-01,4333300000
1970-07-01,4443800000
1970-08-01,4615700000
1970-09-01,4.553e+09
1970-10-01,4.607e+09
1970-11-01,4644500000
1970-12-01,4.679e+09
1971-01-01,4799100000
1971-02-01,4850300000
1971-03-01,4844800000
1971-04-01,4854500000
1971-05-01,4878600000
1971-06-01,4851800000
1971-07-01,4923800000
1971-08-01,4992200000
1971-09-01,4991600000
1971-10-01,5071400000
1971-11-01,5273700000
1971-12-01,5.251e+09
1972-01-01,5339400000
1972-02-01,5.35e+09
1972-03-01,5425100000
1972-04-01,5.448e+09
1972-05-01,5570600000
1972-06-01,5.727e+09
1972-07-01,5702400000
1972-08-01,5.71e+09
1972-09-01,5.73e+09
1972-10-01,5737200000
1972-11-01,5569200000
1972-12-01,5572200000
1973-01-01,5493600000
1973-02-01,5170900000
1973-03-01,5.1e+09
1973-04-01,5050500000
1973-05-01,5085400000
1973-06-01,5011700000
1973-07-01,4953800000
1973-08-01,4786200000
1973-09-01,4741200000
1973-10-01,4785300000
1973-11-01,4754600000
1973-12-01,4781600000
1974-01-01,4852700000
1974-02-01,5137200000
1974-03-01,5057700000
1974-04-01,5168400000
1974-05-01,5164300000
1974-06-01,5075500000
1974-07-01,4999600000
1974-08-01,4940900000
1974-09-01,4892900000
1974-10-01,4.861e+09
1974-11-01,4802800000
1974-12-01,4757900000
1975-01-01,4635400000
1975-02-01,4632400000
1975-03-01,4608800000
1975-04-01,4505400000
1975-05-01,4295700000
1975-06-01,4269300000
1975-07-01,4334400000
1975-08-01,4334300000
1975-09-01,4.429e+09
1975-10-01,4425400000
1975-11-01,4591500000
1975-12-01,4513700000
1976-01-01,4746200000
1976-02-01,4991500000
1976-03-01,4995700000
1976-04-01,4999500000
1976-05-01,5055300000
1976-06-01,5182100000
1976-07-01,4.998e+09
1976-08-01,4816700000
1976-09-01,5008500000
1976-10-01,5.005e+09
1976-11-01,4388700000
1976-12-01,4994700000
1977-01-01,4.887e+09
1977-02-01,4533500000
1977-03-01,4363700000
1977-04-01,4425900000
1977-05-01,4479800000
1977-06-01,4341800000
1977-07-01,4235400000
1977-08-01,4144200000
1977-09-01,4080300000
1977-10-01,3517300000
1977-11-01,3529300000
1977-12-01,3777300000
1978-01-01,3609500000
1978-02-01,3004600000
1978-03-01,3199400000
1978-04-01,3723600000
1978-05-01,3875800000
1978-06-01,3811400000
1978-07-01,3628400000
1978-08-01,3287200000
1978-09-01,2847200000
1978-10-01,3768300000
1978-11-01,3517200000
1978-12-01,3494600000
1979-01-01,3411900000
1979-02-01,3181600000
1979-03-01,4203500000
1979-04-01,4.032e+09
1979-05-01,3207400000
1979-06-01,3226800000
1979-07-01,3249500000
1979-08-01,3279800000
1979-09-01,3.415e+09
1979-10-01,3041300000
1979-11-01,3029900000
1979-12-01,2943900000
1980-01-01,3083500000
1980-02-01,3419600000
1980-03-01,2924900000
1980-04-01,3054700000
1980-05-01,3203700000
1980-06-01,3232400000
1980-07-01,3040200000
1980-08-01,3215800000
1980-09-01,2978200000
1980-10-01,2816200000
1980-11-01,2674100000
1980-12-01,3118700000
1981-01-01,2716400000
1981-02-01,2681900000
1981-03-01,2970400000
1981-04-01,2566900000
1981-05-01,2700900000
1981-06-01,2638500000
1981-07-01,2028400000
1981-08-01,2.885e+09
1981-09-01,2591200000
1981-10-01,2405500000
1981-11-01,3820500000
1981-12-01,3716700000
1982-01-01,3702500000
1982-02-01,3066500000
1982-03-01,2631400000
1982-04-01,3010100000
1982-05-01,2546600000
1982-06-01,2675600000
1982-07-01,2987700000
1982-08-01,3558600000
1982-09-01,3526500000
1982-10-01,3.379e+09
