"Date","CANPRMNTO01MLM"
1961-01-01,3824512973.12294
1961-02-01,4016109933.71823
1961-03-01,4053241127.63204
1961-04-01,4182457682.45212
1961-05-01,4256720070.27975
1961-06-01,4149782231.80796
1961-07-01,4197310160.01764
1961-08-01,4311674237.27219
1961-09-01,4552284373.83372
1961-10-01,4537431896.26819
1961-11-01,4552284373.83372
1961-12-01,4234441353.93146
1962-01-01,4234441353.93146
1962-02-01,4522579418.70266
1962-03-01,4651795973.52274
1962-04-01,4718632122.56761
1962-05-01,4850819172.90079
1962-06-01,4570107346.91235
1962-07-01,4783983023.85592
1962-08-01,4821114217.76974
1962-09-01,5064694849.84436
1962-10-01,4997858700.7995
1962-11-01,4968153745.66844
1962-12-01,4581989328.96477
1963-01-01,4581989328.96477
1963-02-01,4832996199.82216
1963-03-01,4913199578.676
1963-04-01,5027563655.93055
1963-05-01,5134501494.40233
1963-06-01,4974094736.69465
1963-07-01,4856760163.927
1963-08-01,5002314444.06915
1963-09-01,5335009941.53693
1963-10-01,5355803410.12867
1963-11-01,5449374018.79148
1963-12-01,5049842372.27884
1964-01-01,5106281787.02784
1964-02-01,5436006788.98251
1964-03-01,5473137982.89633
1964-04-01,5542944627.4543
1964-05-01,5709292376.18819
1964-06-01,5259262305.95275
1964-07-01,5277085279.03138
1964-08-01,5557797105.01982
1964-09-01,5826626948.95584
1964-10-01,5811774471.39032
1964-11-01,5938020530.69729
1964-12-01,5464226496.35701
1965-01-01,5574134830.3419
1965-02-01,5765731790.93719
1965-03-01,5954358256.01937
1965-04-01,6021194405.06424
1965-05-01,6220217604.44228
1965-06-01,6013768166.28147
1965-07-01,5884551611.4614
1965-08-01,6036046882.62976
1965-09-01,6297450487.78302
1965-10-01,6471224475.29967
1965-11-01,6523208146.77902
1965-12-01,6145955216.61465
1966-01-01,6119220756.99671
1966-02-01,6453401502.22104
1966-03-01,6443004767.92517
1966-04-01,6582618057.04112
1966-05-01,6604896773.38941
1966-06-01,6298935735.53957
1966-07-01,6202394631.36365
1966-08-01,6408844069.52446
1966-09-01,6696982134.29567
1966-10-01,6793523238.47159
1966-11-01,6759362540.07088
1966-12-01,6343493168.23615
1967-01-01,6269230780.40852
1967-02-01,6505385173.70038
1967-03-01,6572221322.74525
1967-04-01,6731142832.69638
1967-05-01,6691041143.26946
1967-06-01,6456371997.73415
1967-07-01,6206850374.63331
1967-08-01,6494988439.40451
1967-09-01,6870756121.81232
1967-10-01,6775700265.39296
1967-11-01,6985120199.06687
1967-12-01,6676188665.70393
1968-01-01,6447460511.19483
1968-02-01,6643513215.05978
1968-03-01,6772729769.87985
1968-04-01,7078690807.72968
1968-05-01,7215333601.33252
1968-06-01,6959870987.20548
1968-07-01,6581132809.28456
1968-08-01,6844021662.19438
1968-09-01,7458914233.40715
1968-10-01,7548029098.80031
1968-11-01,7709921104.26454
1968-12-01,7148497452.28766
1969-01-01,7063838330.16416
1969-02-01,7411386305.19747
1969-03-01,7647540698.48933
1969-04-01,7647540698.48933
1969-05-01,7772301510.03975
1969-06-01,7601498018.0362
1969-07-01,7034133375.03311
1969-08-01,7322271439.80431
1969-09-01,7821314686.00598
