"Date","LFEM24FECAM647S"
1997-02-01,978100
1997-03-01,979800
1997-04-01,975700
1997-05-01,959400
1997-06-01,958100
1997-07-01,958300
1997-08-01,973600
1997-09-01,962300
1997-10-01,953800
1997-11-01,955800
1997-12-01,955900
1998-01-01,960300
1998-02-01,973000
1998-03-01,979900
1998-04-01,993300
1998-05-01,992500
1998-06-01,985900
1998-07-01,1014500
1998-08-01,1021600
1998-09-01,1039600
1998-10-01,1048500
1998-11-01,1048600
1998-12-01,1052700
1999-01-01,1065800
1999-02-01,1053800
1999-03-01,1047400
1999-04-01,1045800
1999-05-01,1055700
1999-06-01,1049400
1999-07-01,1059600
1999-08-01,1067300
1999-09-01,1061900
1999-10-01,1054200
1999-11-01,1061500
1999-12-01,1071900
2000-01-01,1079500
2000-02-01,1091800
2000-03-01,1088400
2000-04-01,1078500
2000-05-01,1099100
2000-06-01,1110800
2000-07-01,1107900
2000-08-01,1115000
2000-09-01,1138800
2000-10-01,1130500
2000-11-01,1128200
2000-12-01,1132200
2001-01-01,1131000
2001-02-01,1123300
2001-03-01,1130500
2001-04-01,1124400
2001-05-01,1133100
2001-06-01,1121500
2001-07-01,1132600
2001-08-01,1127800
2001-09-01,1132000
2001-10-01,1131400
2001-11-01,1136800
2001-12-01,1136700
2002-01-01,1142900
2002-02-01,1138100
2002-03-01,1146700
2002-04-01,1162300
2002-05-01,1159400
2002-06-01,1169300
2002-07-01,1175800
2002-08-01,1194600
2002-09-01,1174700
2002-10-01,1192200
2002-11-01,1197900
2002-12-01,1196000
2003-01-01,1197200
2003-02-01,1210300
2003-03-01,1211000
2003-04-01,1203100
2003-05-01,1200400
2003-06-01,1200200
2003-07-01,1192600
2003-08-01,1192900
2003-09-01,1191100
2003-10-01,1198300
2003-11-01,1202000
2003-12-01,1218200
2004-01-01,1201900
2004-02-01,1196100
2004-03-01,1204000
2004-04-01,1193600
2004-05-01,1209500
2004-06-01,1223900
2004-07-01,1221400
2004-08-01,1210100
2004-09-01,1223200
2004-10-01,1219000
2004-11-01,1215200
2004-12-01,1221400
2005-01-01,1230800
2005-02-01,1230900
2005-03-01,1215100
2005-04-01,1238000
2005-05-01,1223800
2005-06-01,1222900
2005-07-01,1231800
2005-08-01,1246400
2005-09-01,1244500
2005-10-01,1241200
2005-11-01,1260000
2005-12-01,1254200
2006-01-01,1269500
2006-02-01,1266800
2006-03-01,1272700
2006-04-01,1281000
2006-05-01,1289100
2006-06-01,1292400
2006-07-01,1283700
2006-08-01,1279800
2006-09-01,1277600
2006-10-01,1293700
2006-11-01,1292800
2006-12-01,1290800
2007-01-01,1286600
2007-02-01,1298400
2007-03-01,1308500
2007-04-01,1283500
2007-05-01,1295800
2007-06-01,1297300
2007-07-01,1319800
2007-08-01,1321900
2007-09-01,1322100
2007-10-01,1325400
2007-11-01,1319700
2007-12-01,1324800
2008-01-01,1317800
2008-02-01,1327200
2008-03-01,1325300
2008-04-01,1335200
2008-05-01,1334600
2008-06-01,1331200
2008-07-01,1325700
2008-08-01,1326200
2008-09-01,1325900
2008-10-01,1324700
2008-11-01,1309400
2008-12-01,1304400
2009-01-01,1291500
2009-02-01,1288100
2009-03-01,1283900
2009-04-01,1285300
2009-05-01,1281100
2009-06-01,1273900
2009-07-01,1259300
2009-08-01,1259700
2009-09-01,1266100
2009-10-01,1245600
2009-11-01,1258800
2009-12-01,1262300
2010-01-01,1281100
2010-02-01,1280800
2010-03-01,1273700
2010-04-01,1278800
2010-05-01,1269200
2010-06-01,1278800
2010-07-01,1270000
2010-08-01,1261300
2010-09-01,1248300
2010-10-01,1261800
2010-11-01,1260600
2010-12-01,1272800
2011-01-01,1270000
2011-02-01,1270600
2011-03-01,1268500
2011-04-01,1259300
2011-05-01,1272600
2011-06-01,1265400
2011-07-01,1275000
2011-08-01,1284100
2011-09-01,1264500
2011-10-01,1261900
2011-11-01,1268200
2011-12-01,1252400
2012-01-01,1250500
2012-02-01,1238400
2012-03-01,1251300
2012-04-01,1265200
2012-05-01,1242900
2012-06-01,1229400
2012-07-01,1247200
2012-08-01,1247400
2012-09-01,1260900
2012-10-01,1267600
2012-11-01,1267100
2012-12-01,1286100
2013-01-01,1283100
2013-02-01,1286100
2013-03-01,1272400
2013-04-01,1261900
2013-05-01,1253100
2013-06-01,1263900
2013-07-01,1237700
2013-08-01,1239600
2013-09-01,1241800
2013-10-01,1232900
2013-11-01,1233600
2013-12-01,1220100
2014-01-01,1224600
2014-02-01,1221900
2014-03-01,1225200
2014-04-01,1238500
2014-05-01,1255400
2014-06-01,1263900
2014-07-01,1268200
2014-08-01,1252300
2014-09-01,1257700
2014-10-01,1243800
2014-11-01,1243200
2014-12-01,1243200
2015-01-01,1243900
2015-02-01,1248400
2015-03-01,1244400
2015-04-01,1233500
2015-05-01,1240500
2015-06-01,1218800
2015-07-01,1225300
2015-08-01,1229100
2015-09-01,1240400
2015-10-01,1250200
2015-11-01,1231600
2015-12-01,1235800
2016-01-01,1223700
2016-02-01,1235500
2016-03-01,1241400
2016-04-01,1241600
2016-05-01,1203500
2016-06-01,1222500
2016-07-01,1206100
2016-08-01,1222900
2016-09-01,1219100
2016-10-01,1224400
2016-11-01,1232100
2016-12-01,1224300
2017-01-01,1239000
2017-02-01,1225900
2017-03-01,1230900
2017-04-01,1237600
2017-05-01,1261000
2017-06-01,1249200
2017-07-01,1261600
2017-08-01,1233500
2017-09-01,1251600
2017-10-01,1256200
2017-11-01,1269500
2017-12-01,1268700
2018-01-01,1253700
2018-02-01,1247400
2018-03-01,1255200
2018-04-01,1241400
2018-05-01,1245000
2018-06-01,1252400
2018-07-01,1270800
2018-08-01,1270900
2018-09-01,1248700
2018-10-01,1248900
2018-11-01,1245000
2018-12-01,1253100
2019-01-01,1274100
2019-02-01,1289300
2019-03-01,1279300
2019-04-01,1300000
2019-05-01,1304500
2019-06-01,1308000
2019-07-01,1289100
2019-08-01,1313600
2019-09-01,1299400
2019-10-01,1297500
2019-11-01,1292400
2019-12-01,1302400
2020-01-01,1299500
2020-02-01,1301000
2020-03-01,1036800
2020-04-01,796000
2020-05-01,787800
2020-06-01,959900
2020-07-01,1041000
2020-08-01,1100900
2020-09-01,1169800
2020-10-01,1166200
2020-11-01,1161400
2020-12-01,1135200
2021-01-01,1066400
2021-02-01,1113300
2021-03-01,1161400
2021-04-01,1134500
2021-05-01,1103700
2021-06-01,1213200
2021-07-01,1243500
2021-08-01,1294100
