"Date","COCANZ33"
2012-06-01,100
2012-07-01,99.1
2012-08-01,99.4
2012-09-01,99.5
2012-10-01,100.2
2012-11-01,100.1
2012-12-01,99.9
2013-01-01,99.9
2013-02-01,99.7
2013-03-01,99.6
2013-04-01,99
2013-05-01,98.1
2013-06-01,98.1
2013-07-01,97
2013-08-01,97.5
2013-09-01,98
2013-10-01,96.4
2013-11-01,96.4
2013-12-01,96.3
2014-01-01,96.2
2014-02-01,95.9
2014-03-01,96
2014-04-01,95.8
2014-05-01,95.6
2014-06-01,95.8
2014-07-01,95.3
2014-08-01,95.6
2014-09-01,95.3
2014-10-01,94.5
2014-11-01,94.3
2014-12-01,94
2015-01-01,93.3
2015-02-01,92.5
2015-03-01,92.2
2015-04-01,92.6
2015-05-01,92.4
2015-06-01,92.7
2015-07-01,92.2
2015-08-01,91.7
2015-09-01,91.4
2015-10-01,91.1
2015-11-01,91.3
2015-12-01,90.8
2016-01-01,90.7
2016-02-01,90.1
2016-03-01,90.1
2016-04-01,90.6
2016-05-01,91.1
2016-06-01,90.7
2016-07-01,91.1
2016-08-01,91.2
2016-09-01,91
2016-10-01,91.2
2016-11-01,91
2016-12-01,91.2
2017-01-01,91.6
2017-02-01,92.2
2017-03-01,92
2017-04-01,92.3
2017-05-01,92.3
2017-06-01,92
2017-07-01,91.4
2017-08-01,91.8
2017-09-01,92.3
2017-10-01,93
2017-11-01,93.1
2017-12-01,93.1
2018-01-01,94.2
2018-02-01,94.2
2018-03-01,94
2018-04-01,93.8
2018-05-01,94.3
2018-06-01,94.5
2018-07-01,93.7
2018-08-01,93.5
2018-09-01,93.4
2018-10-01,93.7
2018-11-01,93.4
2018-12-01,93.6
2019-01-01,92.9
2019-02-01,93.3
2019-03-01,93.5
2019-04-01,93.9
2019-05-01,93.4
2019-06-01,93.1
2019-07-01,93.1
2019-08-01,93.1
2019-09-01,93.3
2019-10-01,92.9
2019-11-01,93.3
2019-12-01,92.7
2020-01-01,93.4
2020-02-01,93.1
2020-03-01,92.9
2020-04-01,91.7
2020-05-01,92.1
2020-06-01,92.4
2020-07-01,93.4
2020-08-01,95.3
2020-09-01,96.2
2020-10-01,95.8
2020-11-01,96.5
2020-12-01,97.3
2021-01-01,98.8
2021-02-01,99.5
2021-03-01,100.6
2021-04-01,101.6
2021-05-01,103
2021-06-01,103.8
2021-07-01,103.6
2021-08-01,103.2
2021-09-01,103
2021-10-01,103.2
2021-11-01,103.6
2021-12-01,102.8
2022-01-01,103.9
2022-02-01,104.9
2022-03-01,108.5
2022-04-01,108.9
2022-05-01,107.4
2022-06-01,106.3
2022-07-01,104.1
2022-08-01,104.3
2022-09-01,103.2
2022-10-01,102.5
2022-11-01,101.8
2022-12-01,104.1
2023-01-01,105.1
2023-02-01,105.9
2023-03-01,104.4
2023-04-01,103.9
2023-05-01,104.3
2023-06-01,103.3
2023-07-01,103.4
2023-08-01,103.5
2023-09-01,102.9
2023-10-01,103
2023-11-01,102.5
