"Date","LFEM24TTCAM647N"
1997-01-01,1869100
1997-02-01,1876000
1997-03-01,1876300
1997-04-01,1873500
1997-05-01,2038700
1997-06-01,2211600
1997-07-01,2373700
1997-08-01,2372900
1997-09-01,1979600
1997-10-01,1970600
1997-11-01,1957900
1997-12-01,1955200
1998-01-01,1843200
1998-02-01,1873700
1998-03-01,1887900
1998-04-01,1914900
1998-05-01,2097800
1998-06-01,2245900
1998-07-01,2454200
1998-08-01,2447700
1998-09-01,2065600
1998-10-01,2057600
1998-11-01,2061300
1998-12-01,2075300
1999-01-01,1990100
1999-02-01,1995500
1999-03-01,2015300
1999-04-01,2019200
1999-05-01,2199900
1999-06-01,2367300
1999-07-01,2565400
1999-08-01,2511200
1999-09-01,2155300
1999-10-01,2158500
1999-11-01,2156100
1999-12-01,2174100
2000-01-01,2067500
2000-02-01,2079600
2000-03-01,2098300
2000-04-01,2111000
2000-05-01,2321100
2000-06-01,2444200
2000-07-01,2647900
2000-08-01,2612000
2000-09-01,2266000
2000-10-01,2269700
2000-11-01,2254000
2000-12-01,2277600
2001-01-01,2162800
2001-02-01,2141300
2001-03-01,2162800
2001-04-01,2181400
2001-05-01,2377400
2001-06-01,2481900
2001-07-01,2695200
2001-08-01,2652600
2001-09-01,2254500
2001-10-01,2253700
2001-11-01,2242100
2001-12-01,2242900
2002-01-01,2175800
2002-02-01,2172200
2002-03-01,2203500
2002-04-01,2223300
2002-05-01,2414900
2002-06-01,2557100
2002-07-01,2785000
2002-08-01,2769200
2002-09-01,2346300
2002-10-01,2343400
2002-11-01,2343300
2002-12-01,2361000
2003-01-01,2255600
2003-02-01,2286900
2003-03-01,2311500
2003-04-01,2296300
2003-05-01,2467600
2003-06-01,2637600
2003-07-01,2807300
2003-08-01,2776400
2003-09-01,2353500
2003-10-01,2362900
2003-11-01,2369700
2003-12-01,2369500
2004-01-01,2259100
2004-02-01,2252200
2004-03-01,2261500
2004-04-01,2287000
2004-05-01,2477400
2004-06-01,2669800
2004-07-01,2849800
2004-08-01,2771300
2004-09-01,2403100
2004-10-01,2407900
2004-11-01,2408600
2004-12-01,2411800
2005-01-01,2283600
2005-02-01,2306500
2005-03-01,2284100
2005-04-01,2299100
2005-05-01,2531300
2005-06-01,2647100
2005-07-01,2853200
2005-08-01,2816400
2005-09-01,2395200
2005-10-01,2438100
2005-11-01,2453500
2005-12-01,2456800
2006-01-01,2365700
2006-02-01,2398900
2006-03-01,2426900
2006-04-01,2401600
2006-05-01,2669700
2006-06-01,2783500
2006-07-01,2963400
2006-08-01,2907000
2006-09-01,2463700
2006-10-01,2527300
2006-11-01,2519600
2006-12-01,2530200
2007-01-01,2434100
2007-02-01,2464100
2007-03-01,2481700
2007-04-01,2477700
2007-05-01,2716100
2007-06-01,2851600
2007-07-01,3074200
2007-08-01,3002900
2007-09-01,2527700
2007-10-01,2578000
2007-11-01,2574200
2007-12-01,2595200
2008-01-01,2473000
2008-02-01,2510600
2008-03-01,2516200
2008-04-01,2523000
2008-05-01,2718400
2008-06-01,2878600
2008-07-01,3051300
2008-08-01,3013000
2008-09-01,2589900
2008-10-01,2587800
2008-11-01,2560900
2008-12-01,2543000
2009-01-01,2379700
2009-02-01,2389300
2009-03-01,2376100
2009-04-01,2379400
2009-05-01,2580000
2009-06-01,2704200
2009-07-01,2834900
2009-08-01,2789400
2009-09-01,2371100
2009-10-01,2371100
2009-11-01,2382900
2009-12-01,2392000
2010-01-01,2306800
2010-02-01,2333500
2010-03-01,2327900
2010-04-01,2361600
2010-05-01,2551400
2010-06-01,2714600
2010-07-01,2873600
2010-08-01,2792100
2010-09-01,2365600
2010-10-01,2390300
2010-11-01,2402400
2010-12-01,2440500
2011-01-01,2332300
2011-02-01,2361900
2011-03-01,2351000
2011-04-01,2359200
2011-05-01,2591900
2011-06-01,2719100
2011-07-01,2908100
2011-08-01,2846000
2011-09-01,2436500
2011-10-01,2439700
2011-11-01,2440300
2011-12-01,2428500
2012-01-01,2301000
2012-02-01,2301700
2012-03-01,2346800
2012-04-01,2400900
2012-05-01,2571600
2012-06-01,2674400
2012-07-01,2867700
2012-08-01,2795500
2012-09-01,2391500
2012-10-01,2421400
2012-11-01,2421000
2012-12-01,2455000
2013-01-01,2373100
2013-02-01,2404500
2013-03-01,2386300
2013-04-01,2388000
2013-05-01,2623200
2013-06-01,2735000
2013-07-01,2870200
2013-08-01,2810300
2013-09-01,2434900
2013-10-01,2431000
2013-11-01,2405300
2013-12-01,2407000
2014-01-01,2300300
2014-02-01,2331100
2014-03-01,2362100
2014-04-01,2344300
2014-05-01,2575900
2014-06-01,2707000
2014-07-01,2882700
2014-08-01,2808000
