"Date","CCUSMA02CAM659N"
1960-01-01,-1.44777662874871
1960-02-01,-2.35897435897437
1960-03-01,-1.95876288659793
1960-04-01,-0.103734439834029
1960-05-01,1.5576323987539
1960-06-01,2.08550573514078
1960-07-01,2.19435736677116
1960-08-01,1.67714884696016
1960-09-01,2.10084033613447
1960-10-01,3.27004219409284
1960-11-01,2.8421052631579
1960-12-01,3.25972660357519
1961-01-01,4.19727177334732
1961-02-01,3.99159663865547
1961-03-01,3.78548895899053
1961-04-01,2.69989615784009
1961-05-01,1.02249488752556
1961-06-01,2.65577119509702
1961-07-01,5.72597137014316
1961-08-01,6.28865979381443
1961-09-01,6.06995884773662
1961-10-01,5.20939734422881
1961-11-01,6.0388945752303
1961-12-01,6.21181262729123
1962-01-01,5.23665659617322
1962-02-01,5.95959595959595
1962-03-01,6.28166160081053
1962-04-01,6.16784630940344
1962-05-01,9.54655870445343
1962-06-01,8.25970149253732
1962-07-01,4.37911025145067
1962-08-01,4.54413191076624
1962-09-01,4.46459747817653
1962-10-01,4.49126213592232
1962-11-01,3.95945945945947
1962-12-01,3.17833173537873
1963-01-01,3.09282296650719
1963-02-01,2.75023832221164
1963-03-01,2.78455672068637
1963-04-01,2.57047619047618
1963-05-01,-0.448111464261949
1963-06-01,-0.874991957794503
1963-07-01,0.0611518790304434
1963-08-01,0.489864081272904
1963-09-01,0.278543773153963
1963-10-01,0.170033263337857
1963-11-01,0.0761360049023909
1963-12-01,0.31872880174696
1964-01-01,0.294248691196665
1964-02-01,0.218954399962889
1964-03-01,0.229083388208261
1964-04-01,0.381619142239021
1964-05-01,0.335972231245435
1964-06-01,0.2410778032249
1964-07-01,0.135192695890526
1964-08-01,-0.393304589476784
1964-09-01,-0.347212577428416
1964-10-01,-0.244877514864257
1964-11-01,-0.346062495361085
1964-12-01,-0.440912206598848
1965-01-01,-0.59972790123001
1965-02-01,-0.396219253663636
1965-03-01,0.0582966280489954
1965-04-01,-0.168347053926548
1965-05-01,-0.13782386295316
1965-06-01,0.127648946896177
1965-07-01,0.20898834843722
1965-08-01,-0.0259530805379772
1965-09-01,0.0269446612405727
1965-10-01,-0.0158073364637987
1965-11-01,0.0977553509417094
1965-12-01,0.106994659570909
1966-01-01,0.0791426523030552
1966-02-01,0.0511185671930503
1966-03-01,-0.453154044631038
1966-04-01,-0.195500704173161
1966-05-01,-0.253797702852906
1966-06-01,-0.53304017663307
1966-07-01,-0.7926840521935
1966-08-01,-0.299465042323758
1966-09-01,-0.0176486433766621
1966-10-01,0.397105870098951
1966-11-01,0.661296923248648
1966-12-01,0.671951820218022
1967-01-01,0.44563943211209
1967-02-01,0.395734244946482
1967-03-01,0.526750959206975
1967-04-01,0.49574347596016
1967-05-01,0.500529316717123
1967-06-01,0.359431596544994
1967-07-01,0.270680048741003
1967-08-01,0.05951495313196
1967-09-01,-0.0910459131533451
1967-10-01,-0.555787133527856
1967-11-01,-0.651408613377435
1967-12-01,-0.259416543574593
1968-01-01,0.478858889454915
1968-02-01,0.617169717045726
1968-03-01,0.264305781457941
1968-04-01,-0.205078936915142
1968-05-01,-0.388080388080386
1968-06-01,-0.325754000203596
1968-07-01,-0.383123991168664
1968-08-01,-0.296468401486986
1968-09-01,-0.207364701506409
1968-10-01,-0.0568208280937172
1968-11-01,-0.185078402559501
1968-12-01,-0.662723646090774
1969-01-01,-1.09972161280213
1969-02-01,-1.17986775917087
1969-03-01,-0.744741644699262
1969-04-01,-0.361014172120447
1969-05-01,-0.0825564676963066
1969-06-01,0.235829348683907
1969-07-01,0.645341528146402
1969-08-01,0.507079538781328
1969-09-01,0.485477603734728
1969-10-01,0.474397449997205
1969-11-01,0.253440548624251
1969-12-01,0.100630806071421
1970-01-01,0.00745649600612575
1970-02-01,-0.12842226730445
1970-03-01,-0.375164831082939
1970-04-01,-0.326089985971618
1970-05-01,-0.384344015745087
1970-06-01,-3.85238840670996
1970-07-01,-4.513406983845
1970-08-01,-5.30952932993276
1970-09-01,-5.78460283017117
1970-10-01,-5.29020528185672
1970-11-01,-5.20005576467306
1970-12-01,-5.33458685109514
1971-01-01,-5.68235831383916
1971-02-01,-6.07528885575848
1971-03-01,-6.22844465986839
1971-04-01,-6.04727462530759
1971-05-01,-5.96633799929174
1971-06-01,-1.63776493256262
1971-07-01,-1.06589147286822
1971-08-01,-0.783545543584726
1971-09-01,-0.295275590551193
1971-10-01,-1.66503428011753
1971-11-01,-1.5686274509804
1971-12-01,-1.76991150442477
1972-01-01,-0.592885375494068
1972-02-01,-0.29761904761906
1972-03-01,-0.795228628230621
1972-04-01,-1.19047619047618
1972-05-01,-1.98216055500494
1972-06-01,-4.11361410381978
1972-07-01,-3.62389813907933
1972-08-01,-3.06021717670285
1972-09-01,-2.96150049358341
1972-10-01,-2.09163346613546
1972-11-01,-1.69322709163347
1972-12-01,-0.200200200200209
1973-01-01,-0.707825768118587
1973-02-01,-0.956662442786053
1973-03-01,-0.154807697212623
1973-04-01,0.483239084910634
1973-05-01,1.14915319822345
1973-06-01,1.96259585096547
1973-07-01,1.54395385716922
1973-08-01,2.20871216240123
1973-09-01,2.50155158697864
1973-10-01,1.83995904728178
1973-11-01,1.17568933407022
1973-12-01,0.209841997420862
1974-01-01,-0.758923480001869
1974-02-01,-1.91797256297392
1974-03-01,-2.47779513536044
1974-04-01,-3.3642407991668
1974-05-01,-3.83446671375361
1974-06-01,-3.20932092919517
1974-07-01,-2.40508563125886
1974-08-01,-2.39545027894618
1974-09-01,-2.12196382675078
1974-10-01,-1.81715939843558
