"Date","MABMM301CAM189N"
1970-01-01,3.7537e+10
1970-02-01,3.7685e+10
1970-03-01,3.8004e+10
1970-04-01,3.866e+10
1970-05-01,3.8999e+10
1970-06-01,3.9306e+10
1970-07-01,4.0098e+10
1970-08-01,4.0384e+10
1970-09-01,4.0986e+10
1970-10-01,4.1245e+10
1970-11-01,4.1551e+10
1970-12-01,4.2079e+10
1971-01-01,4.1531e+10
1971-02-01,4.1508e+10
1971-03-01,4.2292e+10
1971-04-01,4.2645e+10
1971-05-01,4.3148e+10
1971-06-01,4.3898e+10
1971-07-01,4.4286e+10
1971-08-01,4.4738e+10
1971-09-01,4.5435e+10
1971-10-01,4.5954e+10
1971-11-01,4.5739e+10
1971-12-01,4.6058e+10
1972-01-01,4.656e+10
1972-02-01,4.6752e+10
1972-03-01,4.7909e+10
1972-04-01,4.8781e+10
1972-05-01,4.9775e+10
1972-06-01,5.0548e+10
1972-07-01,5.1089e+10
1972-08-01,5.1228e+10
1972-09-01,5.1601e+10
1972-10-01,5.2552e+10
1972-11-01,5.2766e+10
1972-12-01,5.2904e+10
1973-01-01,5.2989e+10
1973-02-01,5.3549e+10
1973-03-01,5.433e+10
1973-04-01,5.5454e+10
1973-05-01,5.651e+10
1973-06-01,5.7314e+10
1973-07-01,5.8657e+10
1973-08-01,5.9461e+10
1973-09-01,6.0387e+10
1973-10-01,6.1752e+10
1973-11-01,6.2943e+10
1973-12-01,6.4318e+10
1974-01-01,6.4872e+10
1974-02-01,6.5699e+10
1974-03-01,6.7514e+10
1974-04-01,6.9195e+10
1974-05-01,7.1981e+10
1974-06-01,7.2492e+10
1974-07-01,7.4816e+10
1974-08-01,7.5876e+10
1974-09-01,7.6932e+10
1974-10-01,7.7822e+10
1974-11-01,7.7739e+10
1974-12-01,7.766e+10
1975-01-01,7.8303e+10
1975-02-01,7.8416e+10
1975-03-01,7.9824e+10
1975-04-01,8.09e+10
1975-05-01,8.1461e+10
1975-06-01,8.2804e+10
1975-07-01,8.4581e+10
1975-08-01,8.5083e+10
1975-09-01,8.6643e+10
1975-10-01,8.8058e+10
1975-11-01,8.7716e+10
1975-12-01,8.9365e+10
1976-01-01,8.9113e+10
1976-02-01,9.0279e+10
1976-03-01,9.2726e+10
1976-04-01,9.5925e+10
1976-05-01,9.7969e+10
1976-06-01,9.9678e+10
1976-07-01,1.01262e+11
1976-08-01,1.02483e+11
1976-09-01,1.03867e+11
1976-10-01,1.04999e+11
1976-11-01,1.05955e+11
1976-12-01,1.07453e+11
1977-01-01,1.07321e+11
1977-02-01,1.07795e+11
1977-03-01,1.1007e+11
1977-04-01,1.12536e+11
1977-05-01,1.15129e+11
1977-06-01,1.16231e+11
1977-07-01,1.17586e+11
1977-08-01,1.19061e+11
1977-09-01,1.21001e+11
1977-10-01,1.22076e+11
1977-11-01,1.22959e+11
1977-12-01,1.23275e+11
1978-01-01,1.23031e+11
1978-02-01,1.23411e+11
1978-03-01,1.25962e+11
1978-04-01,1.29037e+11
1978-05-01,1.30908e+11
1978-06-01,1.32559e+11
1978-07-01,1.34799e+11
1978-08-01,1.36615e+11
1978-09-01,1.3916e+11
1978-10-01,1.39994e+11
1978-11-01,1.44951e+11
1978-12-01,1.44969e+11
1979-01-01,1.46878e+11
1979-02-01,1.47886e+11
1979-03-01,1.49161e+11
1979-04-01,1.52494e+11
1979-05-01,1.56467e+11
1979-06-01,1.5887e+11
1979-07-01,1.62597e+11
1979-08-01,1.64381e+11
1979-09-01,1.66032e+11
1979-10-01,1.67806e+11
1979-11-01,1.71375e+11
1979-12-01,1.72349e+11
1980-01-01,1.7381e+11
1980-02-01,1.75227e+11
1980-03-01,1.77565e+11
1980-04-01,1.81086e+11
1980-05-01,1.84283e+11
1980-06-01,1.87035e+11
1980-07-01,1.91313e+11
1980-08-01,1.90319e+11
1980-09-01,1.91581e+11
1980-10-01,1.94196e+11
1980-11-01,1.95961e+11
1980-12-01,1.97152e+11
1981-01-01,2.00758e+11
1981-02-01,2.04033e+11
1981-03-01,2.02869e+11
1981-04-01,2.05761e+11
1981-05-01,2.06192e+11
1981-06-01,2.10479e+11
1981-07-01,2.15376e+11
1981-08-01,2.19467e+11
1981-09-01,2.2116e+11
1981-10-01,2.20509e+11
1981-11-01,2.16352e+11
1981-12-01,2.18992e+11
1982-01-01,2.16626e+11
1982-02-01,2.14436e+11
1982-03-01,2.1633e+11
1982-04-01,2.17583e+11
1982-05-01,2.19028e+11
1982-06-01,2.21015e+11
1982-07-01,2.22731e+11
1982-08-01,2.24066e+11
1982-09-01,2.25537e+11
1982-10-01,2.25436e+11
1982-11-01,2.24762e+11
1982-12-01,2.24448e+11
1983-01-01,2.24905e+11
1983-02-01,2.24122e+11
1983-03-01,2.24519e+11
1983-04-01,2.23455e+11
1983-05-01,2.23545e+11
1983-06-01,2.24524e+11
1983-07-01,2.25833e+11
1983-08-01,2.27005e+11
1983-09-01,2.2779e+11
1983-10-01,2.28075e+11
1983-11-01,2.27372e+11
1983-12-01,2.27696e+11
1984-01-01,2.26535e+11
1984-02-01,2.26535e+11
1984-03-01,2.27391e+11
1984-04-01,2.28945e+11
1984-05-01,2.32518e+11
1984-06-01,2.34965e+11
1984-07-01,2.38015e+11
1984-08-01,2.38432e+11
1984-09-01,2.39205e+11
1984-10-01,2.4137e+11
1984-11-01,2.3937e+11
1984-12-01,2.4275e+11
1985-01-01,2.43166e+11
1985-02-01,2.4328e+11
1985-03-01,2.44102e+11
1985-04-01,2.46059e+11
1985-05-01,2.49382e+11
1985-06-01,2.50646e+11
1985-07-01,2.53063e+11
1985-08-01,2.53298e+11
1985-09-01,2.5457e+11
1985-10-01,2.5617e+11
1985-11-01,2.57175e+11
1985-12-01,2.58841e+11
1986-01-01,2.61352e+11
1986-02-01,2.61604e+11
1986-03-01,2.65455e+11
1986-04-01,2.68931e+11
1986-05-01,2.67722e+11
1986-06-01,2.68706e+11
1986-07-01,2.72092e+11
1986-08-01,2.7256e+11
1986-09-01,2.74246e+11
1986-10-01,2.7757e+11
1986-11-01,2.81311e+11
1986-12-01,2.86581e+11
1987-01-01,2.86722e+11
1987-02-01,2.90144e+11
1987-03-01,2.92372e+11
1987-04-01,2.97041e+11
1987-05-01,3.00152e+11
1987-06-01,3.03546e+11
1987-07-01,3.0636e+11
1987-08-01,3.054e+11
1987-09-01,3.07593e+11
1987-10-01,3.08543e+11
1987-11-01,3.05848e+11
1987-12-01,3.10475e+11
1988-01-01,3.0892e+11
1988-02-01,3.10142e+11
1988-03-01,3.1443e+11
1988-04-01,3.18003e+11
1988-05-01,3.21837e+11
1988-06-01,3.28823e+11
1988-07-01,3.31864e+11
1988-08-01,3.36216e+11
1988-09-01,3.38146e+11
1988-10-01,3.38855e+11
1988-11-01,3.43559e+11
1988-12-01,3.47257e+11
1989-01-01,3.47631e+11
1989-02-01,3.49102e+11
1989-03-01,3.55415e+11
1989-04-01,3.57954e+11
1989-05-01,3.63339e+11
1989-06-01,3.67815e+11
1989-07-01,3.70311e+11
1989-08-01,3.74077e+11
1989-09-01,3.76735e+11
1989-10-01,3.78787e+11
1989-11-01,3.86568e+11
1989-12-01,3.92454e+11
1990-01-01,3.93227e+11
1990-02-01,3.94517e+11
1990-03-01,3.96461e+11
1990-04-01,4.00475e+11
1990-05-01,4.04566e+11
1990-06-01,4.06303e+11
1990-07-01,4.08604e+11
1990-08-01,4.10911e+11
1990-09-01,4.1323e+11
1990-10-01,4.151e+11
1990-11-01,4.1872e+11
1990-12-01,4.24665e+11
1991-01-01,4.25273e+11
1991-02-01,4.26331e+11
1991-03-01,4.28994e+11
1991-04-01,4.30142e+11
1991-05-01,4.33585e+11
1991-06-01,4.33756e+11
1991-07-01,4.33583e+11
1991-08-01,4.3175e+11
1991-09-01,4.33598e+11
1991-10-01,4.37552e+11
1991-11-01,4.39897e+11
1991-12-01,4.44511e+11
1992-01-01,4.43875e+11
1992-02-01,4.45009e+11
1992-03-01,4.4755e+11
1992-04-01,4.49029e+11
1992-05-01,4.48267e+11
1992-06-01,4.51449e+11
1992-07-01,4.56032e+11
1992-08-01,4.56574e+11
1992-09-01,4.58605e+11
1992-10-01,4.61523e+11
1992-11-01,4.67011e+11
1992-12-01,4.70661e+11
1993-01-01,4.68037e+11
1993-02-01,4.69236e+11
1993-03-01,4.71291e+11
1993-04-01,4.713e+11
1993-05-01,4.7081e+11
1993-06-01,4.73303e+11
1993-07-01,4.75318e+11
1993-08-01,4.7406e+11
1993-09-01,4.77269e+11
1993-10-01,4.79404e+11
1993-11-01,4.79868e+11
1993-12-01,4.8412e+11
1994-01-01,4.82948e+11
