"Date","LFUN64TTCAM647N"
1976-01-01,809200
1976-02-01,802200
1976-03-01,772700
1976-04-01,766400
1976-05-01,712000
1976-06-01,706900
1976-07-01,783600
1976-08-01,711500
1976-09-01,665300
1976-10-01,680100
1976-11-01,715000
1976-12-01,756000
1977-01-01,891700
1977-02-01,928200
1977-03-01,934700
1977-04-01,917300
1977-05-01,829900
1977-06-01,818900
1977-07-01,881000
1977-08-01,842200
1977-09-01,807500
1977-10-01,794700
1977-11-01,844300
1977-12-01,883300
1978-01-01,986800
1978-02-01,1004700
1978-03-01,1053400
1978-04-01,1009300
1978-05-01,948000
1978-06-01,909900
1978-07-01,938600
1978-08-01,903300
1978-09-01,854700
1978-10-01,805900
1978-11-01,865400
1978-12-01,894300
1979-01-01,1011900
1979-02-01,997800
1979-03-01,1008100
1979-04-01,971900
1979-05-01,868000
1979-06-01,827200
1979-07-01,806900
1979-08-01,787000
1979-09-01,738300
1979-10-01,767500
1979-11-01,788600
1979-12-01,804600
1980-01-01,966300
1980-02-01,965200
1980-03-01,993800
1980-04-01,963600
1980-05-01,924700
1980-06-01,914100
1980-07-01,887000
1980-08-01,866200
1980-09-01,798400
1980-10-01,790100
1980-11-01,806300
1980-12-01,834800
1981-01-01,969500
1981-02-01,954700
1981-03-01,1012800
1981-04-01,915800
1981-05-01,882000
1981-06-01,880100
1981-07-01,862600
1981-08-01,822900
1981-09-01,917000
1981-10-01,929200
1981-11-01,959400
1981-12-01,1026500
1982-01-01,1137600
1982-02-01,1157900
1982-03-01,1275100
1982-04-01,1272700
1982-05-01,1280700
1982-06-01,1338100
1982-07-01,1442900
1982-08-01,1425300
1982-09-01,1388300
1982-10-01,1452100
1982-11-01,1507500
1982-12-01,1563500
1983-01-01,1673400
1983-02-01,1666900
1983-03-01,1733600
1983-04-01,1646500
1983-05-01,1566600
1983-06-01,1523800
1983-07-01,1477700
1983-08-01,1423300
1983-09-01,1310500
1983-10-01,1290300
1983-11-01,1333700
1983-12-01,1375900
1984-01-01,1497100
1984-02-01,1506400
1984-03-01,1579900
1984-04-01,1527000
1984-05-01,1504400
1984-06-01,1405800
1984-07-01,1378500
1984-08-01,1385600
1984-09-01,1400200
1984-10-01,1352400
1984-11-01,1408700
1984-12-01,1364600
1985-01-01,1468500
1985-02-01,1471600
1985-03-01,1572700
1985-04-01,1472900
1985-05-01,1376300
1985-06-01,1347900
1985-07-01,1324000
1985-08-01,1303000
1985-09-01,1230000
1985-10-01,1249200
1985-11-01,1292100
1985-12-01,1266100
1986-01-01,1386900
1986-02-01,1384700
1986-03-01,1434600
1986-04-01,1345800
1986-05-01,1263300
1986-06-01,1239800
1986-07-01,1252800
1986-08-01,1233800
1986-09-01,1159800
1986-10-01,1146900
1986-11-01,1186900
1986-12-01,1206000
1987-01-01,1358100
1987-02-01,1351600
1987-03-01,1413900
1987-04-01,1295200
1987-05-01,1200000
1987-06-01,1163400
1987-07-01,1171700
1987-08-01,1127900
1987-09-01,1050900
1987-10-01,1028400
1987-11-01,1049500
1987-12-01,1048200
1988-01-01,1172400
1988-02-01,1138500
1988-03-01,1192000
1988-04-01,1106500
1988-05-01,1067400
1988-06-01,1002700
1988-07-01,1080200
1988-08-01,1071100
1988-09-01,989200
1988-10-01,971300
1988-11-01,1006200
1988-12-01,990200
1989-01-01,1137000
1989-02-01,1137200
1989-03-01,1182400
1989-04-01,1138200
1989-05-01,1078200
1989-06-01,1007500
1989-07-01,1063600
1989-08-01,1024900
1989-09-01,932700
1989-10-01,935200
1989-11-01,1016500
1989-12-01,1033900
1990-01-01,1203600
1990-02-01,1170400
1990-03-01,1149500
1990-04-01,1109900
1990-05-01,1107600
1990-06-01,1038800
1990-07-01,1125700
1990-08-01,1152900
1990-09-01,1092500
