"Date","LFUN55MACAM647S"
1995-01-01,69716.9778969926
1995-02-01,63207.5608130643
1995-03-01,60252.834951286
1995-04-01,59694.521760812
1995-05-01,60343.0038639391
1995-06-01,61851.3667350408
1995-07-01,64358.224235778
1995-08-01,58588.5395457058
1995-09-01,53065.2424801657
1995-10-01,59153.3532929948
1995-11-01,59449.4885577621
1995-12-01,53125.8751004876
1996-01-01,57733.0314571776
1996-02-01,55508.0478728133
1996-03-01,51102.7718796467
1996-04-01,50640.547930283
1996-05-01,47880.0797609831
1996-06-01,53677.749220513
1996-07-01,52707.598173082
1996-08-01,52668.621394268
1996-09-01,63138.3972537667
1996-10-01,65383.7363147441
1996-11-01,69251.37969603
1996-12-01,69676.0944775878
1997-01-01,61933.3507900984
1997-02-01,59435.8395090796
1997-03-01,53567.9569287708
1997-04-01,54347.8426841496
1997-05-01,55594.9966190446
1997-06-01,53260.9487403111
1997-07-01,59544.7260229618
1997-08-01,55297.9612574102
1997-09-01,58830.1646106543
1997-10-01,58680.5709879462
1997-11-01,61348.9641523572
1997-12-01,49140.0679997329
1998-01-01,50398.8818005888
1998-02-01,51240.5199223276
1998-03-01,51522.2810828421
1998-04-01,53151.1404195603
1998-05-01,46643.1409825759
1998-06-01,47783.8710126327
1998-07-01,55041.957304489
1998-08-01,56255.4611799554
1998-09-01,51153.5399256557
1998-10-01,54674.9060602152
1998-11-01,58042.7418353374
1998-12-01,56897.713735871
1999-01-01,48575.7972310194
1999-02-01,55148.7259325901
1999-03-01,56722.9121878203
1999-04-01,57052.0157505938
1999-05-01,55245.2341124067
1999-06-01,50978.479105749
1999-07-01,53416.1506764353
1999-08-01,54748.8737337182
1999-09-01,47087.8103863851
1999-10-01,45138.8288313331
1999-11-01,43076.6055302678
1999-12-01,39997.5202043236
2000-01-01,42741.9527866724
2000-02-01,44296.4633310363
2000-03-01,42998.4865852916
2000-04-01,46168.3280867659
2000-05-01,42124.5795530103
2000-06-01,48530.7525980065
2000-07-01,40169.1673718956
2000-08-01,50198.1624673491
2000-09-01,53622.9417415898
2000-10-01,47876.8685647421
2000-11-01,45167.8924098732
2000-12-01,40584.4115603455
2001-01-01,52933.5170147831
2001-02-01,49068.347192785
2001-03-01,50560.4836859622
2001-04-01,46724.9728502598
2001-05-01,51641.9288135227
2001-06-01,52554.355247158
2001-07-01,46706.2476676649
2001-08-01,52700.759696085
2001-09-01,49278.600699563
2001-10-01,49590.7171778714
2001-11-01,56274.147025128
2001-12-01,59455.039100024
2002-01-01,66074.2605997575
2002-02-01,60744.0268442754
2002-03-01,55776.2805578715
2002-04-01,57464.8720147294
2002-05-01,63423.7185050456
2002-06-01,56934.924569857
2002-07-01,63092.5397826559
2002-08-01,60528.4695720498
2002-09-01,66577.3055586921
2002-10-01,65145.885182585
