"Date","LFAC25TTCAM647N"
1997-01-01,11031300
1997-02-01,11051000
1997-03-01,11086300
1997-04-01,11134700
1997-05-01,11241200
1997-06-01,11262500
1997-07-01,11222000
1997-08-01,11307800
1997-09-01,11356000
1997-10-01,11359200
1997-11-01,11321000
1997-12-01,11249500
1998-01-01,11225100
1998-02-01,11257200
1998-03-01,11281100
1998-04-01,11329200
1998-05-01,11402200
1998-06-01,11423200
1998-07-01,11370800
1998-08-01,11410500
1998-09-01,11452100
1998-10-01,11442500
1998-11-01,11410300
1998-12-01,11383100
1999-01-01,11332200
1999-02-01,11370800
1999-03-01,11383200
1999-04-01,11468700
1999-05-01,11538000
1999-06-01,11543300
1999-07-01,11494000
1999-08-01,11570900
1999-09-01,11549800
1999-10-01,11544200
1999-11-01,11512200
1999-12-01,11463400
2000-01-01,11414700
2000-02-01,11487900
2000-03-01,11522400
2000-04-01,11546100
2000-05-01,11633300
2000-06-01,11670000
2000-07-01,11600700
2000-08-01,11664000
2000-09-01,11671800
2000-10-01,11687900
2000-11-01,11677500
2000-12-01,11625600
2001-01-01,11614200
2001-02-01,11643900
2001-03-01,11660200
2001-04-01,11721400
2001-05-01,11818800
2001-06-01,11815600
2001-07-01,11711300
2001-08-01,11792300
2001-09-01,11779500
2001-10-01,11790500
2001-11-01,11774900
2001-12-01,11746600
2002-01-01,11732400
2002-02-01,11756100
2002-03-01,11813700
2002-04-01,11862000
2002-05-01,11966200
2002-06-01,12010300
2002-07-01,11945500
2002-08-01,12000100
2002-09-01,12046000
2002-10-01,12009600
2002-11-01,11970000
2002-12-01,11949600
2003-01-01,11877100
2003-02-01,11919300
2003-03-01,11925300
2003-04-01,11960600
2003-05-01,12075100
2003-06-01,12087100
2003-07-01,12027600
2003-08-01,12096700
2003-09-01,12106500
2003-10-01,12105200
2003-11-01,12081700
2003-12-01,12037300
2004-01-01,11982100
2004-02-01,11999700
2004-03-01,12041800
2004-04-01,12081800
2004-05-01,12144600
2004-06-01,12211300
2004-07-01,12073600
2004-08-01,12158700
2004-09-01,12128000
2004-10-01,12141900
2004-11-01,12129200
2004-12-01,12085700
2005-01-01,12028800
2005-02-01,12062900
2005-03-01,12076200
2005-04-01,12089400
2005-05-01,12149100
2005-06-01,12192900
2005-07-01,12068400
2005-08-01,12191200
2005-09-01,12171400
2005-10-01,12176100
2005-11-01,12127300
2005-12-01,12096500
2006-01-01,12091300
2006-02-01,12068400
2006-03-01,12074900
2006-04-01,12169800
2006-05-01,12241200
2006-06-01,12257200
2006-07-01,12160700
2006-08-01,12223700
2006-09-01,12250500
2006-10-01,12230300
2006-11-01,12212300
2006-12-01,12206000
2007-01-01,12198300
2007-02-01,12185800
2007-03-01,12207800
2007-04-01,12228100
2007-05-01,12302000
2007-06-01,12340400
2007-07-01,12256700
2007-08-01,12322800
2007-09-01,12351700
2007-10-01,12334200
2007-11-01,12347200
2007-12-01,12295700
2008-01-01,12258800
2008-02-01,12269800
2008-03-01,12294400
2008-04-01,12321100
2008-05-01,12403900
2008-06-01,12421900
2008-07-01,12321000
2008-08-01,12425100
2008-09-01,12427500
2008-10-01,12439600
2008-11-01,12429000
2008-12-01,12397400
2009-01-01,12329500
2009-02-01,12350100
2009-03-01,12376300
2009-04-01,12408700
2009-05-01,12466600
2009-06-01,12470100
2009-07-01,12360800
2009-08-01,12464000
2009-09-01,12471600
2009-10-01,12464000
2009-11-01,12504000
2009-12-01,12404800
2010-01-01,12366600
2010-02-01,12357400
2010-03-01,12381800
2010-04-01,12452300
2010-05-01,12523400
2010-06-01,12555400
2010-07-01,12466000
2010-08-01,12610000
2010-09-01,12548000
2010-10-01,12473500
2010-11-01,12476100
2010-12-01,12406200
2011-01-01,12418500
2011-02-01,12415300
2011-03-01,12433400
2011-04-01,12501300
2011-05-01,12511300
2011-06-01,12559400
2011-07-01,12439000
2011-08-01,12592500
2011-09-01,12553200
2011-10-01,12532800
2011-11-01,12507800
2011-12-01,12435600
2012-01-01,12431000
2012-02-01,12427300
2012-03-01,12431500
2012-04-01,12538600
2012-05-01,12620500
2012-06-01,12601800
2012-07-01,12521700
2012-08-01,12642100
2012-09-01,12642500
2012-10-01,12625300
2012-11-01,12631400
2012-12-01,12591800
2013-01-01,12506100
2013-02-01,12515000
2013-03-01,12504300
2013-04-01,12557900
2013-05-01,12629500
2013-06-01,12642400
2013-07-01,12568700
2013-08-01,12660100
2013-09-01,12648500
2013-10-01,12621800
2013-11-01,12614700
2013-12-01,12561200
2014-01-01,12508700
2014-02-01,12488800
2014-03-01,12492000
2014-04-01,12505700
2014-05-01,12574000
2014-06-01,12572400
2014-07-01,12505100
2014-08-01,12593000
2014-09-01,12585800
2014-10-01,12576400
2014-11-01,12570800
2014-12-01,12522700
2015-01-01,12466900
2015-02-01,12475100
2015-03-01,12494400
2015-04-01,12524200
2015-05-01,12592800
2015-06-01,12616400
2015-07-01,12536300
2015-08-01,12647000
2015-09-01,12642800
2015-10-01,12607800
2015-11-01,12603000
2015-12-01,12565300
2016-01-01,12527300
2016-02-01,12514300
2016-03-01,12545400
2016-04-01,12587300
2016-05-01,12646300
2016-06-01,12644300
2016-07-01,12522000
2016-08-01,12626000
2016-09-01,12589000
2016-10-01,12582200
2016-11-01,12610800
2016-12-01,12595100
2017-01-01,12602000
2017-02-01,12582400
2017-03-01,12639600
2017-04-01,12663300
2017-05-01,12730900
2017-06-01,12758200
2017-07-01,12688200
2017-08-01,12758300
2017-09-01,12731000
2017-10-01,12719900
2017-11-01,12687400
2017-12-01,12671900
2018-01-01,12610400
2018-02-01,12638400
2018-03-01,12663600
2018-04-01,12713200
2018-05-01,12761300
2018-06-01,12818100
2018-07-01,12750800
2018-08-01,12853200
2018-09-01,12864800
2018-10-01,12874000
2018-11-01,12860300
2018-12-01,12867900
2019-01-01,12823900
2019-02-01,12848600
2019-03-01,12837000
2019-04-01,12911000
2019-05-01,12963900
2019-06-01,12998400
2019-07-01,12904900
2019-08-01,12994900
2019-09-01,13026300
2019-10-01,12992000
2019-11-01,12998000
2019-12-01,12965200
2020-01-01,12929600
2020-02-01,12931600
2020-03-01,12695200
2020-04-01,12154600
2020-05-01,12463400
2020-06-01,12855600
2020-07-01,12840200
2020-08-01,12959700
2020-09-01,13072700
2020-10-01,13106500
2020-11-01,13081400
2020-12-01,13021000
2021-01-01,12960200
2021-02-01,12993100
2021-03-01,13031200
2021-04-01,13032700
2021-05-01,13081900
2021-06-01,13106200
2021-07-01,13053900
2021-08-01,13153500
2021-09-01,13241600
2021-10-01,13247000
2021-11-01,13277500
2021-12-01,13276100
2022-01-01,13198200
2022-02-01,13272900
2022-03-01,13297800
2022-04-01,13351800
2022-05-01,13455100
2022-06-01,13446400
2022-07-01,13316900
2022-08-01,13452100
2022-09-01,13449800
2022-10-01,13485500
2022-11-01,13502300
2022-12-01,13454900
2023-01-01,13517000
2023-02-01,13528100
2023-03-01,13571800
2023-04-01,13612600
2023-05-01,13735300
2023-06-01,13806500
2023-07-01,13704000
2023-08-01,13810100
2023-09-01,13887000
2023-10-01,13913300
2023-11-01,13930600
