"Date","LFIN64MACAM647S"
1995-01-01,1747690.9606428
1995-02-01,1771457.68740556
1995-03-01,1743858.88607819
1995-04-01,1780933.59823231
1995-05-01,1782437.65838053
1995-06-01,1797721.60849273
1995-07-01,1796657.33461144
1995-08-01,1810821.50524524
1995-09-01,1831304.86529821
1995-10-01,1816369.64462447
1995-11-01,1858534.9002879
1995-12-01,1814112.41316516
1996-01-01,1800573.67088872
1996-02-01,1813700.49143082
1996-03-01,1827187.64851902
1996-04-01,1829181.73264773
1996-05-01,1853328.57049957
1996-06-01,1853483.13022331
1996-07-01,1848163.51282218
1996-08-01,1857714.39992692
1996-09-01,1862987.32547802
1996-10-01,1851728.8478373
1996-11-01,1846801.56769617
1996-12-01,1844144.2941307
1997-01-01,1842661.3341941
1997-02-01,1837829.31449784
1997-03-01,1857270.14357531
1997-04-01,1867036.84878742
1997-05-01,1847622.39068925
1997-06-01,1846382.52513994
1997-07-01,1870865.35690395
1997-08-01,1832326.47447537
1997-09-01,1817166.71451631
1997-10-01,1820034.26365031
1997-11-01,1825718.28015402
1997-12-01,1849235.1275753
1998-01-01,1859169.62932388
1998-02-01,1865828.66723771
1998-03-01,1877384.31276189
1998-04-01,1877132.38598175
1998-05-01,1893830.48109426
1998-06-01,1859786.20315886
1998-07-01,1862224.31662194
1998-08-01,1874417.897175
1998-09-01,1864858.85632931
1998-10-01,1879586.5033585
1998-11-01,1866904.76848557
1998-12-01,1866344.70631329
1999-01-01,1858811.76606616
1999-02-01,1859178.79833827
1999-03-01,1854480.52520582
1999-04-01,1811880.13158575
1999-05-01,1836357.02883586
1999-06-01,1854599.74892226
1999-07-01,1845460.44764462
1999-08-01,1863232.898066
1999-09-01,1834606.77491196
1999-10-01,1833042.50257758
1999-11-01,1844314.62500175
1999-12-01,1841438.22023119
2000-01-01,1861498.44386597
2000-02-01,1854839.9454224
2000-03-01,1860622.30593826
2000-04-01,1859247.99947665
2000-05-01,1858902.88371501
2000-06-01,1878987.98416684
2000-07-01,1870157.69523398
2000-08-01,1863760.02514764
2000-09-01,1866118.17337124
2000-10-01,1859541.03050461
2000-11-01,1855242.22918559
2000-12-01,1850751.70260733
2001-01-01,1865369.75140777
2001-02-01,1859642.00740664
2001-03-01,1861539.35033261
2001-04-01,1862587.14264111
2001-05-01,1876984.55880648
2001-06-01,1890492.18707761
2001-07-01,1928051.43665167
2001-08-01,1906556.13307818
2001-09-01,1913542.51533962
2001-10-01,1905605.91018256
2001-11-01,1909180.50535398
2001-12-01,1889335.36502682
2002-01-01,1850487.01602357
2002-02-01,1862232.47629312
2002-03-01,1840317.91770688
2002-04-01,1857783.89925176
2002-05-01,1832126.80461256
2002-06-01,1845747.47287634
2002-07-01,1815637.88915876
2002-08-01,1814469.9330294
2002-09-01,1815364.00448377
2002-10-01,1828267.94429715
2002-11-01,1820179.55836853
2002-12-01,1810814.21000287
2003-01-01,1820610.62230675
2003-02-01,1794971.33859488
2003-03-01,1819483.78294074
2003-04-01,1813021.36314351
2003-05-01,1804964.52588521
2003-06-01,1803864.12957998
2003-07-01,1796561.86960001
2003-08-01,1800519.99285847
2003-09-01,1817844.6655353
2003-10-01,1825723.50916431
2003-11-01,1823105.67297205
2003-12-01,1845935.62740622
2004-01-01,1839663.87275815
2004-02-01,1853857.73260511
2004-03-01,1857052.91732577
2004-04-01,1844578.86410793
2004-05-01,1867435.48545136
2004-06-01,1840084.47556847
2004-07-01,1866525.10465148
2004-08-01,1875988.28104264
2004-09-01,1869884.75808179
2004-10-01,1850404.48156597
2004-11-01,1857988.5425336
2004-12-01,1866783.86684383
2005-01-01,1896447.42483344
2005-02-01,1889261.33276662
2005-03-01,1902044.68505645
2005-04-01,1927886.60628448
2005-05-01,1907172.45912884
2005-06-01,1926432.57998204
2005-07-01,1916676.28765361
2005-08-01,1912102.54625767
2005-09-01,1932223.90277906
2005-10-01,1930359.70781695
2005-11-01,1959494.38705678
2005-12-01,1954421.47463946
2006-01-01,1944486.56691486
2006-02-01,1951743.85633607
2006-03-01,1939881.29873068
2006-04-01,1955695.61503195
2006-05-01,1937451.87933568
2006-06-01,1958687.44844696
2006-07-01,1932178.36265721
2006-08-01,1928585.83745404
2006-09-01,1922992.51115897
2006-10-01,1956750.69003164
2006-11-01,1950413.4280947
2006-12-01,1948939.35540044
2007-01-01,1934130.9993305
2007-02-01,1948344.66316237
2007-03-01,1965252.59013104
2007-04-01,1947117.14160276
2007-05-01,1950045.4241051
2007-06-01,1945843.33367946
2007-07-01,1940228.51797584
2007-08-01,1962151.46642388
2007-09-01,1978586.15487923
2007-10-01,1952503.11849936
2007-11-01,1940571.3703951
2007-12-01,1928997.42642056
2008-01-01,1927550.2538975
2008-02-01,1948120.32429387
2008-03-01,1918113.7008917
2008-04-01,1934209.48739663
2008-05-01,1957151.84928917
2008-06-01,1927269.38593599
2008-07-01,1969526.45781898
2008-08-01,1961939.22219991
2008-09-01,1934230.78240561
2008-10-01,1936851.52067307
2008-11-01,1951783.23887328
2008-12-01,1987837.68799973
2009-01-01,1993213.59362423
2009-02-01,1986957.07023142
2009-03-01,2003325.19211237
2009-04-01,2019474.86338276
2009-05-01,2030653.94670274
2009-06-01,2047161.07296551
2009-07-01,2055870.5506058
2009-08-01,2092020.47349547
2009-09-01,2115520.10007114
2009-10-01,2094195.29507871
2009-11-01,2077612.84089672
2009-12-01,2093232.11028468
2010-01-01,2119205.42870643
2010-02-01,2120476.40116466
2010-03-01,2124507.6700829
2010-04-01,2111142.15554647
2010-05-01,2115689.37818198
2010-06-01,2120648.03488021
2010-07-01,2103184.90726491
2010-08-01,2094312.77155082
2010-09-01,2103157.43015879
2010-10-01,2148004.86303669
2010-11-01,2119954.09447683
2010-12-01,2115766.48164811
2011-01-01,2105562.48996415
2011-02-01,2103564.3155176
2011-03-01,2092702.98021547
2011-04-01,2093554.65509999
2011-05-01,2126313.63598101
2011-06-01,2108931.16787098
2011-07-01,2117639.34123843
2011-08-01,2127178.76153971
2011-09-01,2114601.5477667
2011-10-01,2126564.83004963
2011-11-01,2144008.8407332
2011-12-01,2144435.51112149
2012-01-01,2147299.26415329
