"Date","CANLORSGPTDSTSAM"
1961-02-01,18.0666246917307
1961-03-01,18.1603315336106
1961-04-01,18.2545219488958
1961-05-01,18.3491939201521
1961-06-01,18.4443437476678
1961-07-01,18.539966436403
1961-08-01,18.636056059639
1961-09-01,18.7326061257179
1961-10-01,18.829609947973
1961-11-01,18.927060567737
1961-12-01,19.024950672343
1962-01-01,19.1232725080801
1962-02-01,19.2220183965721
1962-03-01,19.3211812567908
1962-04-01,19.4207551328254
1962-05-01,19.5207348301138
1962-06-01,19.6211155397841
1962-07-01,19.721892450973
1962-08-01,19.8230606410993
1962-09-01,19.9246149608064
1962-10-01,20.0265499135285
1962-11-01,20.1288598994274
1962-12-01,20.2315394611017
1963-01-01,20.3345835310971
1963-02-01,20.4379869730681
1963-03-01,20.5417441093267
1963-04-01,20.6458482346715
1963-05-01,20.7502915611859
1963-06-01,20.8550651595639
1963-07-01,20.9601588969754
1963-08-01,21.0655610228311
1963-09-01,21.1712577432328
1963-10-01,21.2772331624102
1963-11-01,21.3834697231527
1963-12-01,21.4899490282541
1964-01-01,21.5966526724032
1964-02-01,21.7035627817259
1964-03-01,21.8106625606148
1964-04-01,21.9179368459278
1964-05-01,22.0253715420017
1964-06-01,22.1329530405082
1964-07-01,22.2406676252054
1964-08-01,22.3485012384677
1964-09-01,22.456439242029
1964-10-01,22.5644661720482
1964-11-01,22.6725652103315
1964-12-01,22.7807176436332
1965-01-01,22.8889028199016
1965-02-01,22.997098579768
1965-03-01,23.105282199902
1965-04-01,23.213431349241
1965-05-01,23.3215238433913
1965-06-01,23.4295373942266
1965-07-01,23.5374493549023
1965-08-01,23.6452367040662
1965-09-01,23.7528760307575
1965-10-01,23.8603435201918
1965-11-01,23.9676156062674
1965-12-01,24.0746696348485
1966-01-01,24.1814845377981
1966-02-01,24.2880412240387
1966-03-01,24.3943229776768
1966-04-01,24.5003158631781
1966-05-01,24.6060092855122
1966-06-01,24.7113965591042
1966-07-01,24.8164754854621
1966-08-01,24.9212476332454
1966-09-01,25.0257176027387
1966-10-01,25.1298922750438
1966-11-01,25.233780832909
1966-12-01,25.3373947830844
1967-01-01,25.4407479802088
1967-02-01,25.5438557399568
1967-03-01,25.6467339346387
1967-04-01,25.7493986541947
1967-05-01,25.8518661939653
1967-06-01,25.9541536250585
1967-07-01,26.0562793736302
1967-08-01,26.1582626977048
1967-09-01,26.2601231553864
1967-10-01,26.3618800644615
1967-11-01,26.4635519852228
1967-12-01,26.5651561952624
1968-01-01,26.6667081561632
1968-02-01,26.7682212570462
1968-03-01,26.8697065551671
1968-04-01,26.9711730304811
1968-05-01,27.0726280882519
1968-06-01,27.1740785814857
1968-07-01,27.2755318437877
1968-08-01,27.376995862139
1968-09-01,27.4784794519953
1968-10-01,27.5799924346367
1968-11-01,27.6815458384769
1968-12-01,27.7831521027524
1969-01-01,27.8848252835085
1969-02-01,27.9865812241598
1969-03-01,28.0884377276752
1969-04-01,28.1904147302861
1969-05-01,28.2925339126433
1969-06-01,28.3948183033902
1969-07-01,28.4972918750067
1969-08-01,28.5999795484106
1969-09-01,28.7029071962863
1969-10-01,28.8061016449557
1969-11-01,28.9095909406648
1969-12-01,29.013404617544
1970-01-01,29.117573967064
1970-02-01,29.2221317509309
1970-03-01,29.3271119069133
1970-04-01,29.4325492473067
1970-05-01,29.5384786722934
1970-06-01,29.6449343659404
1970-07-01,29.7519489742795
1970-08-01,29.8595535386316
1970-09-01,29.9677774239429
1970-10-01,30.0766482417553
1970-11-01,30.1861911309741
1970-12-01,30.2964280211436
1971-01-01,30.4073768776195
1971-02-01,30.519050353168
1971-03-01,30.6314544067984
1971-04-01,30.7445878497449
1971-05-01,30.8584426268043
1971-06-01,30.9730050485332
1971-07-01,31.088257028154
1971-08-01,31.2041772940131
1971-09-01,31.3207426079479
1971-10-01,31.4379289901917
1971-11-01,31.5557116954801
1971-12-01,31.6740651843583
1972-01-01,31.7929630898182
1972-02-01,31.9123770276066
1972-03-01,32.0322753790319
1972-04-01,32.1526229722633
1972-05-01,32.2733814577389
1972-06-01,32.3945106050593
1972-07-01,32.5159696096434
1972-08-01,32.6377163982325
1972-09-01,32.7597069201616
1972-10-01,32.88189494447
1972-11-01,33.0042325324798
1972-12-01,33.1266710324895
1973-01-01,33.2491620848809
1973-02-01,33.3716588839705
1973-03-01,33.4941174522859
1973-04-01,33.6164979274197
1973-05-01,33.7387646351521
1973-06-01,33.8608861632289
1973-07-01,33.9828354359087
1973-08-01,34.1045891836359
1973-09-01,34.2261274036226
1973-10-01,34.3474328115631
1973-11-01,34.4684915816617
1973-12-01,34.5892940959538
1974-01-01,34.7098357028318
1974-02-01,34.8301165352748
1974-03-01,34.9501413265159
1974-04-01,35.0699192232419
1974-05-01,35.1894639112208
1974-06-01,35.3087937430853
1974-07-01,35.4279318682434
1974-08-01,35.5469053247904
1974-09-01,35.665744116023
1974-10-01,35.7844802716127
1974-11-01,35.9031465551748
1974-12-01,36.0217751490845
1975-01-01,36.140396316397
1975-02-01,36.2590368919354
1975-03-01,36.3777187465754
1975-04-01,36.4964579030007
1975-05-01,36.6152640452991
1975-06-01,36.7341407012235
1975-07-01,36.8530854272143
1975-08-01,36.9720905441082
1975-09-01,37.091143880409
1975-10-01,37.2102295231695
1975-11-01,37.3293279470096
1975-12-01,37.448416145181
1976-01-01,37.5674677628756
1976-02-01,37.686453777579
1976-03-01,37.8053431872583
1976-04-01,37.9241037065868
1976-05-01,38.042702907283
1976-06-01,38.161109369435
1976-07-01,38.2792938438913
