"Date","CANXTEXVA01CXMLM"
1960-01-01,441762854.144806
1960-02-01,451155462.184874
1960-03-01,461619348.054679
1960-04-01,380996884.735202
1960-05-01,497034764.826176
1960-06-01,466802860.061287
1960-07-01,475153374.233129
1960-08-01,494432989.690722
1960-09-01,460288065.843621
1960-10-01,492747701.736466
1960-11-01,486693961.105425
1960-12-01,448981670.0611
1961-01-01,461430010.070493
1961-02-01,371515151.515152
1961-03-01,445288753.799392
1961-04-01,454802831.142568
1961-05-01,466295546.558704
1961-06-01,505771144.278607
1961-07-01,512862669.245648
1961-08-01,506304558.680892
1961-09-01,514451988.360815
1961-10-01,543398058.252427
1961-11-01,525096525.096525
1961-12-01,509971236.816874
1962-01-01,481435406.698565
1962-02-01,401811248.808389
1962-03-01,448808388.941849
1962-04-01,439333333.333333
1962-05-01,567946633.1584
1962-06-01,497881453.295466
1962-07-01,519976280.483285
1962-08-01,514913949.065269
1962-09-01,456904635.896864
1962-10-01,574396521.286678
1962-11-01,558949694.527493
1962-12-01,470287599.312364
1963-01-01,507555786.581517
1963-02-01,406086190.100663
1963-03-01,465215496.053645
1963-04-01,489976694.305425
1963-05-01,618300277.501926
1963-06-01,512846665.244926
1963-07-01,562438653.999296
1963-08-01,514988967.15999
1963-09-01,557484514.319047
1963-10-01,593642460.276971
1963-11-01,636643657.685742
1963-12-01,605327997.925119
1964-01-01,586863367.546206
1964-02-01,508975106.692217
1964-03-01,554928378.428397
1964-04-01,619831652.946074
1964-05-01,633989769.584401
1964-06-01,736108927.101351
1964-07-01,728592565.193268
1964-08-01,641875295.448015
1964-09-01,689783327.758576
1964-10-01,640569064.112697
1964-11-01,674325720.829338
1964-12-01,681323384.38064
1965-01-01,546363627.899182
1965-02-01,517970499.939587
1965-03-01,653281667.606884
1965-04-01,615873545.326514
1965-05-01,709799925.898481
1965-06-01,681035040.232062
1965-07-01,729010944.392152
1965-08-01,652889420.447065
1965-09-01,667954708.00784
1965-10-01,735529350.494755
1965-11-01,859872019.048328
1965-12-01,761545396.247107
1966-01-01,690229425.227472
1966-02-01,643114595.719382
1966-03-01,745626666.41893
1966-04-01,718085353.286854
1966-05-01,866315027.023011
1966-06-01,809789170.613913
1966-07-01,794087826.839183
1966-08-01,878961464.067847
1966-09-01,844776008.472844
1966-10-01,834236487.425316
1966-11-01,903563805.704676
1966-12-01,869276218.611522
1967-01-01,881674616.773954
1967-02-01,767252068.027463
1967-03-01,789220760.017744
1967-04-01,833710543.089671
1967-05-01,988958188.958189
1967-06-01,960511581.85032
1967-07-01,895563925.119204
1967-08-01,841542750.929368
1967-09-01,798772549.748931
1967-10-01,909133249.499325
1967-11-01,974591246.442588
1967-12-01,944288636.51089
1968-01-01,893930790.361535
1968-02-01,937797151.028591
1968-03-01,962604383.652552
1968-04-01,1032598654.06511
1968-05-01,1177952785.12128
1968-06-01,1054714265.81867
1968-07-01,1056522791.82381
1968-08-01,957998154.37962
1968-09-01,1106740777.32326
1968-10-01,1207808451.54435
1968-11-01,1143568480.1953
1968-12-01,1165208762.33426
1969-01-01,1059478604.51677
1969-02-01,1028895940.73964
1969-03-01,1115535909.96044
1969-04-01,1114201172.4375
1969-05-01,1253909354.22778
