"Date","XTIMVA01CAM667S"
1960-01-01,477149190.854269
1960-02-01,526988804.334227
1960-03-01,484107953.526487
1960-04-01,485700584.587885
1960-05-01,460656497.903973
1960-06-01,463044184.860686
1960-07-01,455287252.988198
1960-08-01,463419346.094189
1960-09-01,459191578.593971
1960-10-01,441919402.071636
1960-11-01,476164555.542253
1960-12-01,468433031.913778
1961-01-01,468399632.345356
1961-02-01,465481034.959217
1961-03-01,460192187.326199
1961-04-01,448036217.234352
1961-05-01,468628032.696509
1961-06-01,462401596.405521
1961-07-01,456806921.337011
1961-08-01,480856161.766595
1961-09-01,482776394.4851
1961-10-01,505821100.932535
1961-11-01,496741651.69587
1961-12-01,501168332.471684
1962-01-01,491010819.003584
1962-02-01,502119422.611688
1962-03-01,517904593.122924
1962-04-01,465866843.492762
1962-05-01,511438871.678924
1962-06-01,469826268.656975
1962-07-01,511351916.525638
1962-08-01,497575464.310968
1962-09-01,479176796.730926
1962-10-01,482407614.947676
1962-11-01,470531900.103722
1962-12-01,438774677.195501
1963-01-01,490407811.428892
1963-02-01,472965658.336191
1963-03-01,473116810.850032
1963-04-01,485812573.244121
1963-05-01,489349693.331693
1963-06-01,488439794.105281
1963-07-01,514668688.981216
1963-08-01,516536325.094961
1963-09-01,533727737.538779
1963-10-01,528306164.446078
1963-11-01,540415818.35683
1963-12-01,533215327.41449
1964-01-01,554150862.604478
1964-02-01,554285088.805459
1964-03-01,542565071.448593
1964-04-01,617924122.706
1964-05-01,565151101.347327
1964-06-01,578682990.132055
1964-07-01,569029218.342218
1964-08-01,580744422.093381
1964-09-01,585439607.127504
1964-10-01,568770391.474934
1964-11-01,589470476.769848
1964-12-01,606863396.029478
1965-01-01,585590773.130595
1965-02-01,606210209.847492
1965-03-01,662409246.882588
1965-04-01,613423767.125415
1965-05-01,627113139.110865
1965-06-01,672318068.498206
1965-07-01,676003520.789146
1965-08-01,665434202.435465
1965-09-01,688806442.355364
1965-10-01,709611065.459374
1965-11-01,754575030.19387
1965-12-01,732545082.880284
1966-01-01,722630267.919436
1966-02-01,728258798.565984
1966-03-01,758960114.843056
1966-04-01,740673973.038757
1966-05-01,776010576.359942
1966-06-01,767413762.296354
1966-07-01,776013446.508766
1966-08-01,813004656.795355
1966-09-01,786613970.786062
1966-10-01,853344738.194332
1966-11-01,812824529.642988
1966-12-01,826774144.956332
1967-01-01,853993983.314313
1967-02-01,824468936.080986
1967-03-01,783198405.888713
1967-04-01,865636286.720053
1967-05-01,836169355.062292
1967-06-01,837524390.505546
1967-07-01,894444958.545974
1967-08-01,852222448.045781
1967-09-01,848270074.336977
1967-10-01,814783959.865059
1967-11-01,835545581.549226
