"Date","XTEXVA01CAM667S"
1960-01-01,483495709.380509
1960-02-01,535835822.747921
1960-03-01,484673390.141525
1960-04-01,423963845.878756
1960-05-01,453067320.601382
1960-06-01,447348723.051347
1960-07-01,468933132.225047
1960-08-01,472758658.363983
1960-09-01,451263437.326608
1960-10-01,463505528.314426
1960-11-01,448741153.004068
1960-12-01,439376329.812768
1961-01-01,483120007.816923
1961-02-01,463568505.911656
1961-03-01,472414441.727202
1961-04-01,515572946.826055
1961-05-01,411220111.635944
1961-06-01,484770317.169744
1961-07-01,498500368.977627
1961-08-01,488192765.806718
1961-09-01,520906545.764083
1961-10-01,499939835.317427
1961-11-01,481418979.304242
1961-12-01,518365723.060327
1962-01-01,492232787.87201
1962-02-01,500626769.332292
1962-03-01,489768153.095719
1962-04-01,479791019.767636
1962-05-01,495807109.034859
1962-06-01,492639843.177603
1962-07-01,486858944.8213
1962-08-01,504954900.309303
1962-09-01,469637686.423362
1962-10-01,524876016.407003
1962-11-01,513088124.568898
1962-12-01,475672843.848611
1963-01-01,521559024.292753
1963-02-01,502654689.712234
1963-03-01,518752430.259664
1963-04-01,519898519.936
1963-05-01,538521628.225504
1963-06-01,514586791.003989
1963-07-01,514426439.602383
1963-08-01,524293177.231551
1963-09-01,556103019.272183
1963-10-01,549517403.374296
1963-11-01,604224612.718831
1963-12-01,594606354.285682
1964-01-01,611746304.355852
1964-02-01,614609381.77946
1964-03-01,589010957.489534
1964-04-01,650349421.431585
1964-05-01,581003942.388179
1964-06-01,695785590.032839
1964-07-01,671961675.851776
1964-08-01,675899494.039722
1964-09-01,677817323.595066
1964-10-01,621735215.787332
1964-11-01,630384807.650906
1964-12-01,653652143.59634
1965-01-01,606230316.445158
1965-02-01,620301892.55006
1965-03-01,670817523.769418
1965-04-01,637952446.425571
1965-05-01,647170167.621723
1965-06-01,644971068.685778
1965-07-01,697220439.489547
1965-08-01,678592942.571367
1965-09-01,655425465.511035
1965-10-01,739242837.02542
1965-11-01,791558625.339785
1965-12-01,731065462.192335
1966-01-01,764975084.029064
1966-02-01,751705224.180642
1966-03-01,752770268.899364
1966-04-01,757627761.622068
1966-05-01,770577041.403516
1966-06-01,761950179.505244
1966-07-01,789039463.120019
1966-08-01,915227945.83301
1966-09-01,831379845.60979
1966-10-01,833583750.232141
1966-11-01,845953200.272053
1966-12-01,853019147.23281
1967-01-01,951374454.415679
1967-02-01,874529939.629078
1967-03-01,791276311.357068
1967-04-01,883845400.49395
1967-05-01,864753120.172429
1967-06-01,902563683.423876
1967-07-01,896987822.064267
1967-08-01,895000693.742661
1967-09-01,814655917.037344
1967-10-01,878218869.289452
1967-11-01,915333687.389991
1967-12-01,952601186.549663
1968-01-01,943021411.276671
1968-02-01,1003721792.58029
1968-03-01,1007729901.49521
1968-04-01,1025386034.01787
1968-05-01,1037774269.22006
1968-06-01,1034336732.09157
1968-07-01,1023013649.45288
1968-08-01,1070216821.78018
1968-09-01,1117099657.44134
1968-10-01,1139466762.61564
1968-11-01,1113620661.11168
1968-12-01,1136097940.75178
1969-01-01,1120408813.71834
1969-02-01,1137933816.36091
1969-03-01,1156826247.52308
1969-04-01,1104906754.49357
1969-05-01,1134208996.68165
1969-06-01,1131505882.45921
1969-07-01,1099350984.9256
1969-08-01,1107489777.4568
1969-09-01,1194674257.54239
1969-10-01,1180711217.85921
1969-11-01,1168174046.09987
1969-12-01,1270737933.44026
1970-01-01,1357221366.68884
1970-02-01,1284630451.71989
1970-03-01,1253915250.20763
1970-04-01,1346218845.69044
1970-05-01,1289972649.07105
1970-06-01,1326286322.86153
1970-07-01,1419707066.16915
1970-08-01,1369951791.80919
1970-09-01,1373089041.45918
1970-10-01,1359474153.27035
1970-11-01,1418055531.20025
1970-12-01,1323804707.02988
1971-01-01,1421687021.29712
1971-02-01,1371048104.47219
1971-03-01,1499617337.67714
1971-04-01,1403212958.68351
1971-05-01,1413102205.85887
1971-06-01,1457046560.38246
1971-07-01,1444627917.34397
1971-08-01,1588161784.74272
1971-09-01,1513532753.78053
1971-10-01,1499025477.30828
1971-11-01,1486050508.99185
1971-12-01,1567979841.67297
1972-01-01,1491689511.75074
1972-02-01,1580852262.47129
1972-03-01,1561401391.57626
1972-04-01,1610185886.40977
1972-05-01,1700100157.06003
1972-06-01,1733452061.72596
1972-07-01,1552481947.44006
1972-08-01,1718093212.99915
1972-09-01,1694619856.76863
1972-10-01,1884552095.16916
1972-11-01,1897084836.68211
1972-12-01,1877558358.92588
1973-01-01,1949813529.55776
1973-02-01,1974350228.76039
1973-03-01,2023397953.31374
1973-04-01,2091980804.73973
1973-05-01,2045002646.74507
1973-06-01,2054566081.07695
1973-07-01,2157056349.64033
1973-08-01,2017717009.16965
1973-09-01,2094818663.61295
1973-10-01,2263077524.14933
1973-11-01,2386835207.04453
1973-12-01,2313966209.50828
1974-01-01,2431354509.64803
1974-02-01,2492915929.86929
1974-03-01,2705593510.51771
1974-04-01,2646719270.7049
1974-05-01,2845142533.17214
1974-06-01,2624516371.9899
1974-07-01,2851761240.10398
1974-08-01,2981859406.44411
1974-09-01,2937436841.46312
1974-10-01,2921858182.93139
1974-11-01,2913758893.76384
1974-12-01,2838737722.90142
1975-01-01,2822431454.92629
1975-02-01,2719129729.23349
1975-03-01,2608117473.298
1975-04-01,2639084672.98271
1975-05-01,2668316363.13052
1975-06-01,2750744271.66713
1975-07-01,2650900251.1474
1975-08-01,2566264114.78262
1975-09-01,2796447785.6988
1975-10-01,2770098579.40537
1975-11-01,2859041540.52546
1975-12-01,2926942652.89509
1976-01-01,3002518710.98187
1976-02-01,3120715198.3677
1976-03-01,2978894836.1768
1976-04-01,3191505195.25053
1976-05-01,3196188146.27519
1976-06-01,3369462079.35399
1976-07-01,3334054944.89475
1976-08-01,3458942967.4947
1976-09-01,3407802341.15013
1976-10-01,3279137581.59916
1976-11-01,3268374093.94931
1976-12-01,3348589059.11886
1977-01-01,3343473977.40454
1977-02-01,3355729783.54133
1977-03-01,3586907492.05921
1977-04-01,3490173442.67198
1977-05-01,3464760642.93699
1977-06-01,3519358383.75956
1977-07-01,3657565881.95299
1977-08-01,3548099324.61659
1977-09-01,3340412367.85945
1977-10-01,3680043697.05551
1977-11-01,3154940777.25161
1977-12-01,3871254553.19906
1978-01-01,3310658810.50222
1978-02-01,3886299266.01018
1978-03-01,3464857774.47092
1978-04-01,4342974378.51208
1978-05-01,3812572665.95945
1978-06-01,3788471681.68998
1978-07-01,3818815900.18164
1978-08-01,3743410039.84385
1978-09-01,4186451780.80272
1978-10-01,3895556209.14359
1978-11-01,4274977160.46697
1978-12-01,4156433431.60419
1979-01-01,4299206629.07876
1979-02-01,4037556686.83052
1979-03-01,4489478111.14581
1979-04-01,4383375365.65903
1979-05-01,4581985932.66088
1979-06-01,4366255555.05101
1979-07-01,4649685883.98673
1979-08-01,5100514171.70847
1979-09-01,5164115273.76638
1979-10-01,4989056014.61882
1979-11-01,4836661492.24647
1979-12-01,5191693179.50574
1980-01-01,5148829986.55748
1980-02-01,5427654841.59325
1980-03-01,5469233838.32975
1980-04-01,5304568014.71332
1980-05-01,4857509173.66179
1980-06-01,5370190618.93144
1980-07-01,5451040752.15595
1980-08-01,5500080322.3418
1980-09-01,5366236804.08723
1980-10-01,5772561559.02736
1980-11-01,5730225502.94235
1980-12-01,5533637828.00137
1981-01-01,5865776864.22707
1981-02-01,5610278122.28292
1981-03-01,5645219415.98551
1981-04-01,5834912724.06355
1981-05-01,5864955176.71569
1981-06-01,6103770988.66015
1981-07-01,5803962235.97751
1981-08-01,5571405704.39769
1981-09-01,5710725382.77392
1981-10-01,5765756986.2113
1981-11-01,6160745500.93014
1981-12-01,5893838469.66499
1982-01-01,5438506969.00522
1982-02-01,5923177549.34763
1982-03-01,5869421816.98812
1982-04-01,5774974957.17114
1982-05-01,5804073700.00624
1982-06-01,5680778533.02806
1982-07-01,5776408922.21605
1982-08-01,5763871604.93944
1982-09-01,6137352377.60546
1982-10-01,5323374042.42309
1982-11-01,5341401400.82384
1982-12-01,5707150978.08875
1983-01-01,5598575082.11176
1983-02-01,5906801847.08484
1983-03-01,5721374210.01485
1983-04-01,6055412483.30197
1983-05-01,6014775462.0927
1983-06-01,6101012658.63758
1983-07-01,6002119287.04822
1983-08-01,6176227760.06314
1983-09-01,6186521819.47504
1983-10-01,6493823341.2798
1983-11-01,6626166657.5347
1983-12-01,6730184234.93617
1984-01-01,6994972337.35328
1984-02-01,6825900299.78109
1984-03-01,7086580968.09949
1984-04-01,7038364858.69945
1984-05-01,7237328936.7141
1984-06-01,7231397812.01653
1984-07-01,7442395972.9949
1984-08-01,7480971274.10388
1984-09-01,7488264541.79742
1984-10-01,7174903101.57178
1984-11-01,7298967244.43822
1984-12-01,7267508583.09412
1985-01-01,7118532153.6069
1985-02-01,7134200235.7931
1985-03-01,7548773938.68676
1985-04-01,7316360042.10722
1985-05-01,7211947658.82758
1985-06-01,7292048571.37313
1985-07-01,6578926482.94414
1985-08-01,7349053934.75731
1985-09-01,7583385415.35543
1985-10-01,7563351932.98851
1985-11-01,7352654307.95876
1985-12-01,7316140016.0011
1986-01-01,7496525757.77355
1986-02-01,6991170133.90373
1986-03-01,6733218904.63517
1986-04-01,7369876049.97344
1986-05-01,7105516100.13351
1986-06-01,7015037341.47065
1986-07-01,7613284098.80632
1986-08-01,6911529109.44263
1986-09-01,7357066597.20445
1986-10-01,7506999937.90258
1986-11-01,7393951193.79368
1986-12-01,7358707419.49008
1987-01-01,7099778425.07416
1987-02-01,7759961591.45426
1987-03-01,7705863058.6761
1987-04-01,7566658872.48024
1987-05-01,7622178495.96379
1987-06-01,7497584031.18396
1987-07-01,8054423050.80006
1987-08-01,7692466380.75847
1987-09-01,7971799326.52074
1987-10-01,8211518188.21865
1987-11-01,8446692587.93653
1987-12-01,8733649872.49804
1988-01-01,8737869287.33138
1988-02-01,9077437500.2352
1988-03-01,9337760649.10204
1988-04-01,9252363489.32742
1988-05-01,9308524865.42063
1988-06-01,9861051748.2239
1988-07-01,9271495678.7051
1988-08-01,9162790214.88098
1988-09-01,9428280105.54804
1988-10-01,9535052935.00973
1988-11-01,9769395920.34948
1988-12-01,9810099923.60389
1989-01-01,10207576940.5546
1989-02-01,9932657115.55146
1989-03-01,9450135066.16471
1989-04-01,9689405466.46886
1989-05-01,9775898998.2122
1989-06-01,9356947265.40657
1989-07-01,9577309609.26921
1989-08-01,9456850207.12604
1989-09-01,9791039457.63185
1989-10-01,9728227452.77436
1989-11-01,10145207094.0636
1989-12-01,10038412781.0756
1990-01-01,10137462329.4769
1990-02-01,10115487315.1769
1990-03-01,10567964063.5176
1990-04-01,10564111871.5527
1990-05-01,11003065516.9632
1990-06-01,10570509965.608
1990-07-01,11182831918.9046
1990-08-01,10576628276.3863
1990-09-01,10728230091.3899
1990-10-01,11219733002.8367
1990-11-01,10565085810.9392
1990-12-01,10442434490.9915
1991-01-01,10419122669.0015
1991-02-01,10291136034.0049
1991-03-01,10058335044.0879
1991-04-01,10599848803.3739
1991-05-01,10724414126.9097
1991-06-01,10496300149.9606
1991-07-01,11150479879.8348
1991-08-01,10924279133.2972
1991-09-01,10497121852.7611
1991-10-01,10847842387.9623
1991-11-01,10674207965.1654
1991-12-01,10716712850.9274
1992-01-01,10799404506.7925
1992-02-01,10915721121.5281
1992-03-01,10914444718.5005
1992-04-01,11232025499.423
1992-05-01,11370757744.7279
1992-06-01,10994816238.8714
1992-07-01,11569931681.2604
1992-08-01,11357010054.4654
1992-09-01,11372849396.7994
1992-10-01,11541678684.1111
1992-11-01,11209041917.7135
1992-12-01,11374100005.3715
1993-01-01,11569490532.9803
1993-02-01,11590137103.2994
1993-03-01,12051468299.5139
1993-04-01,12082578202.8493
1993-05-01,12343842762.0381
1993-06-01,12317511114.6396
1993-07-01,12149074525.0845
1993-08-01,11811137758.8941
1993-09-01,12203161595.416
1993-10-01,12549823714.3095
1993-11-01,12524707845.434
1993-12-01,12113080418.8016
1994-01-01,12031382806.3798
1994-02-01,11995350709.356
1994-03-01,12880873007.3902
1994-04-01,12869286524.2368
1994-05-01,12908768535.3292
1994-06-01,13949029613.9061
1994-07-01,14172615972.2618
1994-08-01,14115993081.2273
1994-09-01,14383381427.0978
1994-10-01,14926050129.7333
1994-11-01,15350895664.3703
1994-12-01,15545554508.5264
1995-01-01,15904508824.3182
1995-02-01,15563771646.4172
1995-03-01,15127348860.3519
1995-04-01,15711731345.4828
1995-05-01,15838224503.5051
1995-06-01,15978427654.8445
1995-07-01,14940154638.6813
1995-08-01,16294294736.0339
1995-09-01,16370199797.7176
1995-10-01,16377991557.3602
1995-11-01,16426567043.481
1995-12-01,16603493941.8255
