"Date","COCANZ321"
2012-06-01,100
2012-07-01,102.2
2012-08-01,104.3
2012-09-01,107.5
2012-10-01,108.8
2012-11-01,108.4
2012-12-01,113.2
2013-01-01,120.1
2013-02-01,122.4
2013-03-01,124.6
2013-04-01,129.6
2013-05-01,123.2
2013-06-01,111.9
2013-07-01,103.9
2013-08-01,101
2013-09-01,104.7
2013-10-01,106.2
2013-11-01,107.7
2013-12-01,107.3
2014-01-01,107.3
2014-02-01,108.6
2014-03-01,107.7
2014-04-01,105.8
2014-05-01,104.2
2014-06-01,103.6
2014-07-01,105.3
2014-08-01,105.1
2014-09-01,105.5
2014-10-01,104.1
2014-11-01,102.5
2014-12-01,102.9
2015-01-01,103.3
2015-02-01,101
2015-03-01,96.7
2015-04-01,93.6
2015-05-01,89.7
2015-06-01,93.1
2015-07-01,95.4
2015-08-01,90.8
2015-09-01,85.9
2015-10-01,85.7
2015-11-01,89.7
2015-12-01,89.4
2016-01-01,89.1
2016-02-01,87.6
2016-03-01,88.8
2016-04-01,92.8
2016-05-01,95.1
2016-06-01,96.6
2016-07-01,97.6
2016-08-01,98.8
2016-09-01,97.6
2016-10-01,97.7
2016-11-01,95.6
2016-12-01,98.2
2017-01-01,100.7
2017-02-01,106.1
2017-03-01,109.3
2017-04-01,119.2
2017-05-01,122.2
2017-06-01,118.2
2017-07-01,122.8
2017-08-01,129.1
2017-09-01,127
2017-10-01,132.7
2017-11-01,133.3
2017-12-01,128.8
2018-01-01,126.9
2018-02-01,132.1
2018-03-01,140.5
2018-04-01,143.5
2018-05-01,152.2
2018-06-01,154
2018-07-01,145.7
2018-08-01,134.6
2018-09-01,128.9
2018-10-01,111.5
2018-11-01,105.1
2018-12-01,105.2
