"Date","RNCABIS"
1964-01-01,132.44
1964-02-01,132.29
1964-03-01,132.17
1964-04-01,132.71
1964-05-01,134.07
1964-06-01,133.88
1964-07-01,134.34
1964-08-01,134.82
1964-09-01,134.42
1964-10-01,134.18
1964-11-01,133.98
1964-12-01,134.62
1965-01-01,134.4
1965-02-01,134.12
1965-03-01,133.05
1965-04-01,133.46
1965-05-01,133.4
1965-06-01,134
1965-07-01,133.91
1965-08-01,134.37
1965-09-01,134.42
1965-10-01,134.11
1965-11-01,134.92
1965-12-01,135.15
1966-01-01,135.04
1966-02-01,134.87
1966-03-01,135.29
1966-04-01,135.1
1966-05-01,135.05
1966-06-01,135.45
1966-07-01,135.25
1966-08-01,135.42
1966-09-01,135
1966-10-01,133.83
1966-11-01,133.59
1966-12-01,134.07
1967-01-01,134.2
1967-02-01,133.97
1967-03-01,134.14
1967-04-01,134.41
1967-05-01,134.92
1967-06-01,135.55
1967-07-01,136.26
1967-08-01,136.8
1967-09-01,136.23
1967-10-01,136.14
1967-11-01,135.81
1967-12-01,135.87
1968-01-01,135.25
1968-02-01,134.53
1968-03-01,135.16
1968-04-01,135.3
1968-05-01,135.28
1968-06-01,135.6
1968-07-01,136.75
1968-08-01,137.1
1968-09-01,136.5
1968-10-01,135.83
1968-11-01,136.88
1968-12-01,136.66
1969-01-01,136.17
1969-02-01,135.32
1969-03-01,134.71
1969-04-01,136.17
1969-05-01,135.65
1969-06-01,135.55
1969-07-01,135.29
1969-08-01,135.67
1969-09-01,135.23
1969-10-01,134.08
1969-11-01,133.93
1969-12-01,134.8
1970-01-01,134.98
1970-02-01,134.26
1970-03-01,133.5
1970-04-01,133.13
1970-05-01,132.89
1970-06-01,136.9
1970-07-01,138.31
1970-08-01,139.56
1970-09-01,138.75
1970-10-01,137.18
1970-11-01,136.8
1970-12-01,135.81
1971-01-01,136.77
1971-02-01,137.64
1971-03-01,137.36
1971-04-01,138.06
1971-05-01,137.22
1971-06-01,135.34
1971-07-01,136.5
1971-08-01,138.26
1971-09-01,136.43
1971-10-01,137.49
1971-11-01,137.52
1971-12-01,137.52
1972-01-01,136.51
1972-02-01,136.08
1972-03-01,136.92
1972-04-01,137.58
1972-05-01,138.12
1972-06-01,139.06
1972-07-01,139.94
1972-08-01,140.82
1972-09-01,140.94
1972-10-01,140.58
1972-11-01,139.75
1972-12-01,138.58
1973-01-01,139.01
1973-02-01,137.8
1973-03-01,134.81
1973-04-01,135.15
1973-05-01,134.28
1973-06-01,134.13
1973-07-01,134.42
1973-08-01,134
1973-09-01,133.24
1973-10-01,133.29
1973-11-01,134.91
1973-12-01,134.73
1974-01-01,136.57
1974-02-01,136.62
1974-03-01,136.38
1974-04-01,136.58
1974-05-01,138.3
1974-06-01,138.16
1974-07-01,136.76
1974-08-01,136.9
1974-09-01,135.4
1974-10-01,135.7
1974-11-01,134.62
1974-12-01,135.12
1975-01-01,132.98
1975-02-01,132.1
1975-03-01,131.62
1975-04-01,130.81
1975-05-01,128.88
