"Date","LFAC64FECAM647N"
1976-01-01,3721200
1976-02-01,3751200
1976-03-01,3787200
1976-04-01,3803000
1976-05-01,3884500
1976-06-01,3966500
1976-07-01,4059000
1976-08-01,4050800
1976-09-01,3933500
1976-10-01,3934000
1976-11-01,3943700
1976-12-01,3941700
1977-01-01,3897300
1977-02-01,3948900
1977-03-01,3980900
1977-04-01,3989300
1977-05-01,4058300
1977-06-01,4121200
1977-07-01,4201600
1977-08-01,4193700
1977-09-01,4087200
1977-10-01,4106000
1977-11-01,4090800
1977-12-01,4078900
1978-01-01,4030100
1978-02-01,4095500
1978-03-01,4164400
1978-04-01,4157100
1978-05-01,4250900
1978-06-01,4329000
1978-07-01,4435100
1978-08-01,4433700
1978-09-01,4330800
1978-10-01,4343000
1978-11-01,4350600
1978-12-01,4338100
1979-01-01,4294800
1979-02-01,4350700
1979-03-01,4402200
1979-04-01,4397700
1979-05-01,4453900
1979-06-01,4538400
1979-07-01,4630000
1979-08-01,4640700
1979-09-01,4501000
1979-10-01,4568500
1979-11-01,4559400
1979-12-01,4529200
1980-01-01,4533500
1980-02-01,4546600
1980-03-01,4613100
1980-04-01,4627700
1980-05-01,4693300
1980-06-01,4794200
1980-07-01,4828300
1980-08-01,4832300
1980-09-01,4728400
1980-10-01,4754400
1980-11-01,4719200
1980-12-01,4690800
1981-01-01,4689800
1981-02-01,4764600
1981-03-01,4811000
1981-04-01,4799500
1981-05-01,4931800
1981-06-01,5054100
1981-07-01,5055200
1981-08-01,5054900
1981-09-01,4987200
1981-10-01,4985100
1981-11-01,4967100
1981-12-01,4902600
1982-01-01,4853800
1982-02-01,4884900
1982-03-01,4950800
1982-04-01,4933700
1982-05-01,5024600
1982-06-01,5104300
1982-07-01,5156100
1982-08-01,5127400
1982-09-01,4995900
1982-10-01,5021200
1982-11-01,5016800
1982-12-01,4997900
1983-01-01,4962600
1983-02-01,5000800
1983-03-01,5089400
1983-04-01,5085400
1983-05-01,5185600
1983-06-01,5283400
1983-07-01,5312500
1983-08-01,5310800
1983-09-01,5186700
1983-10-01,5188100
1983-11-01,5159500
1983-12-01,5150000
1984-01-01,5087900
1984-02-01,5157500
1984-03-01,5220700
1984-04-01,5198900
1984-05-01,5336200
1984-06-01,5384800
1984-07-01,5434900
1984-08-01,5430300
1984-09-01,5359100
1984-10-01,5350200
1984-11-01,5353200
1984-12-01,5318500
1985-01-01,5273200
1985-02-01,5332700
1985-03-01,5408300
1985-04-01,5412200
1985-05-01,5500900
1985-06-01,5559500
1985-07-01,5614800
1985-08-01,5623800
1985-09-01,5520500
1985-10-01,5533200
1985-11-01,5538400
1985-12-01,5516500
1986-01-01,5494100
1986-02-01,5529900
1986-03-01,5586200
1986-04-01,5593000
1986-05-01,5660800
1986-06-01,5769200
1986-07-01,5793400
1986-08-01,5781400
1986-09-01,5639800
