"Date","LFUN64TTCAM647S"
1976-01-01,719400
1976-02-01,707100
1976-03-01,652300
1976-04-01,695700
1976-05-01,708900
1976-06-01,734900
1976-07-01,790100
1976-08-01,747900
1976-09-01,752800
1976-10-01,773200
1976-11-01,781900
1976-12-01,795500
1977-01-01,808700
1977-02-01,833500
1977-03-01,818400
1977-04-01,845400
1977-05-01,833900
1977-06-01,847200
1977-07-01,882000
1977-08-01,881700
1977-09-01,896000
1977-10-01,891400
1977-11-01,917500
1977-12-01,922900
1978-01-01,906700
1978-02-01,912600
1978-03-01,939600
1978-04-01,936200
1978-05-01,948900
1978-06-01,937100
1978-07-01,935400
1978-08-01,945000
1978-09-01,945700
1978-10-01,905200
1978-11-01,944600
1978-12-01,933900
1979-01-01,935000
1979-02-01,911100
1979-03-01,896200
1979-04-01,909900
1979-05-01,864600
1979-06-01,850800
1979-07-01,843700
1979-08-01,829900
1979-09-01,832700
1979-10-01,846600
1979-11-01,835600
1979-12-01,848800
1980-01-01,866700
1980-02-01,884000
1980-03-01,886300
1980-04-01,898800
1980-05-01,915600
1980-06-01,919800
1980-07-01,913300
1980-08-01,916000
1980-09-01,897100
1980-10-01,876500
1980-11-01,864700
1980-12-01,879700
1981-01-01,878800
1981-02-01,881600
1981-03-01,878000
1981-04-01,848700
1981-05-01,869000
1981-06-01,883000
1981-07-01,883100
1981-08-01,875700
1981-09-01,1019000
1981-10-01,1023300
1981-11-01,1022500
1981-12-01,1073300
1982-01-01,1053100
1982-02-01,1086400
1982-03-01,1137700
1982-04-01,1201600
1982-05-01,1265500
1982-06-01,1341200
1982-07-01,1456800
1982-08-01,1451400
1982-09-01,1492800
1982-10-01,1554200
1982-11-01,1573400
1982-12-01,1611400
1983-01-01,1595700
1983-02-01,1595900
1983-03-01,1593000
1983-04-01,1570900
1983-05-01,1560600
1983-06-01,1531400
1983-07-01,1483500
1983-08-01,1453000
1983-09-01,1416100
1983-10-01,1401500
1983-11-01,1402900
1983-12-01,1425500
1984-01-01,1425000
1984-02-01,1432700
1984-03-01,1439600
1984-04-01,1457900
1984-05-01,1498500
1984-06-01,1422900
1984-07-01,1413600
1984-08-01,1423100
1984-09-01,1505700
1984-10-01,1450700
1984-11-01,1449200
1984-12-01,1417500
1985-01-01,1376800
1985-02-01,1393100
1985-03-01,1432200
1985-04-01,1402900
1985-05-01,1371700
1985-06-01,1376400
1985-07-01,1349600
1985-08-01,1341200
1985-09-01,1333000
1985-10-01,1354500
1985-11-01,1337500
1985-12-01,1319900
1986-01-01,1297700
1986-02-01,1301300
1986-03-01,1296800
1986-04-01,1277100
1986-05-01,1257900
1986-06-01,1263400
1986-07-01,1269800
1986-08-01,1272700
1986-09-01,1261000
1986-10-01,1257200
1986-11-01,1237600
1986-12-01,1258400
1987-01-01,1271000
1987-02-01,1268600
1987-03-01,1255800
1987-04-01,1230000
1987-05-01,1190800
1987-06-01,1197400
1987-07-01,1177500
1987-08-01,1166000
1987-09-01,1151700
1987-10-01,1143200
1987-11-01,1107300
1987-12-01,1100500
1988-01-01,1088800
1988-02-01,1050500
1988-03-01,1045100
1988-04-01,1043500
1988-05-01,1061500
1988-06-01,1044800
1988-07-01,1066700
1988-08-01,1080700
1988-09-01,1094700
1988-10-01,1094800
1988-11-01,1077100
1988-12-01,1041400
1989-01-01,1034900
1989-02-01,1045500
1989-03-01,1041800
1989-04-01,1079600
1989-05-01,1067800
1989-06-01,1052600
1989-07-01,1034200
1989-08-01,1030400
1989-09-01,1045100
1989-10-01,1043000
1989-11-01,1055600
1989-12-01,1088900
1990-01-01,1109200
1990-02-01,1078100
1990-03-01,1014700
1990-04-01,1064200
1990-05-01,1093600
1990-06-01,1080900
1990-07-01,1121400
1990-08-01,1155700
1990-09-01,1215300
1990-10-01,1273000
1990-11-01,1304500
1990-12-01,1351900
1991-01-01,1404100
1991-02-01,1464600
1991-03-01,1526600
1991-04-01,1474100
1991-05-01,1458000
1991-06-01,1491200
1991-07-01,1496400
1991-08-01,1489200
1991-09-01,1452000
1991-10-01,1470800
1991-11-01,1474300
1991-12-01,1466100
1992-01-01,1490900
1992-02-01,1501100
1992-03-01,1577000
1992-04-01,1529200
1992-05-01,1554700
1992-06-01,1608200
1992-07-01,1605600
1992-08-01,1645600
1992-09-01,1622700
1992-10-01,1606200
1992-11-01,1733400
1992-12-01,1666600
1993-01-01,1602800
1993-02-01,1570400
1993-03-01,1627700
1993-04-01,1660600
1993-05-01,1663500
1993-06-01,1668700
1993-07-01,1670900
1993-08-01,1614900
1993-09-01,1625900
1993-10-01,1605400
1993-11-01,1618800
1993-12-01,1634700
1994-01-01,1648300
1994-02-01,1598900
1994-03-01,1529800
1994-04-01,1581900
1994-05-01,1542400
1994-06-01,1488000
1994-07-01,1453600
1994-08-01,1477400
1994-09-01,1464500
1994-10-01,1449700
1994-11-01,1415400
1994-12-01,1403800
1995-01-01,1399000
1995-02-01,1391600
1995-03-01,1419900
1995-04-01,1380800
1995-05-01,1388400
1995-06-01,1389800
1995-07-01,1411400
1995-08-01,1395300
1995-09-01,1344300
1995-10-01,1363900
1995-11-01,1353300
1995-12-01,1369700
1996-01-01,1393300
1996-02-01,1404100
1996-03-01,1407800
1996-04-01,1368600
1996-05-01,1362200
1996-06-01,1454700
1996-07-01,1442500
1996-08-01,1399300
1996-09-01,1459700
1996-10-01,1465200
1996-11-01,1458400
1996-12-01,1433800
1997-01-01,1411200
1997-02-01,1418800
1997-03-01,1392100
1997-04-01,1412300
1997-05-01,1406800
1997-06-01,1380600
1997-07-01,1352600
1997-08-01,1342900
1997-09-01,1330100
1997-10-01,1337000
1997-11-01,1335100
1997-12-01,1269400
1998-01-01,1328600
1998-02-01,1290000
1998-03-01,1255100
1998-04-01,1258300
1998-05-01,1264900
1998-06-01,1282500
1998-07-01,1270600
1998-08-01,1237500
1998-09-01,1252300
1998-10-01,1221300
1998-11-01,1228900
1998-12-01,1242300
1999-01-01,1216800
1999-02-01,1206200
1999-03-01,1202500
1999-04-01,1277600
1999-05-01,1238100
1999-06-01,1177800
1999-07-01,1181500
1999-08-01,1155300
1999-09-01,1158600
1999-10-01,1123600
1999-11-01,1086100
1999-12-01,1059200
2000-01-01,1053700
2000-02-01,1058400
2000-03-01,1058600
2000-04-01,1059900
2000-05-01,1046600
2000-06-01,1064000
2000-07-01,1066300
2000-08-01,1109500
2000-09-01,1098200
2000-10-01,1118200
2000-11-01,1108000
2000-12-01,1081500
2001-01-01,1097500
2001-02-01,1109600
2001-03-01,1136900
2001-04-01,1141200
2001-05-01,1117700
2001-06-01,1150200
