"Date","LFWATTMACAM647S"
1976-01-01,8334700
1976-02-01,8353300
1976-03-01,8371600
1976-04-01,8390000
1976-05-01,8408400
1976-06-01,8426800
1976-07-01,8445200
1976-08-01,8463700
1976-09-01,8478100
1976-10-01,8492100
1976-11-01,8505700
1976-12-01,8518200
1977-01-01,8533700
1977-02-01,8548800
1977-03-01,8561500
1977-04-01,8575700
1977-05-01,8592600
1977-06-01,8605500
1977-07-01,8618700
1977-08-01,8635700
1977-09-01,8649300
1977-10-01,8662100
1977-11-01,8675000
1977-12-01,8686900
1978-01-01,8701600
1978-02-01,8715700
1978-03-01,8727700
1978-04-01,8740900
1978-05-01,8757600
1978-06-01,8769900
1978-07-01,8781500
1978-08-01,8796900
1978-09-01,8809300
1978-10-01,8821800
1978-11-01,8834000
1978-12-01,8845800
1979-01-01,8860800
1979-02-01,8875300
1979-03-01,8887300
1979-04-01,8903100
1979-05-01,8915700
1979-06-01,8928700
1979-07-01,8943900
1979-08-01,8957200
1979-09-01,8970400
1979-10-01,8987900
1979-11-01,9001700
1979-12-01,9015300
1980-01-01,9031600
1980-02-01,9045000
1980-03-01,9057900
1980-04-01,9073900
1980-05-01,9087900
1980-06-01,9105500
1980-07-01,9118300
1980-08-01,9131600
1980-09-01,9148200
1980-10-01,9161200
1980-11-01,9173500
1980-12-01,9185300
1981-01-01,9199100
1981-02-01,9212600
1981-03-01,9223900
1981-04-01,9235600
1981-05-01,9247600
1981-06-01,9262000
1981-07-01,9273000
1981-08-01,9284400
1981-09-01,9298100
1981-10-01,9309500
1981-11-01,9320400
1981-12-01,9331400
1982-01-01,9344200
1982-02-01,9356300
1982-03-01,9366800
1982-04-01,9377400
1982-05-01,9388400
1982-06-01,9401900
1982-07-01,9409200
1982-08-01,9421800
1982-09-01,9431700
1982-10-01,9441700
1982-11-01,9451300
1982-12-01,9460400
1983-01-01,9470500
1983-02-01,9481000
1983-03-01,9489800
1983-04-01,9498900
1983-05-01,9510400
1983-06-01,9519100
1983-07-01,9526800
1983-08-01,9538000
1983-09-01,9547000
1983-10-01,9556300
1983-11-01,9565700
1983-12-01,9574700
1984-01-01,9585000
1984-02-01,9595800
1984-03-01,9604500
1984-04-01,9615300
1984-05-01,9624800
1984-06-01,9634200
1984-07-01,9644600
1984-08-01,9653600
1984-09-01,9662700
1984-10-01,9674300
1984-11-01,9683400
1984-12-01,9692000
1985-01-01,9702200
1985-02-01,9710700
1985-03-01,9719000
1985-04-01,9730000
1985-05-01,9739200
1985-06-01,9748700
1985-07-01,9760300
1985-08-01,9770000
1985-09-01,9782500
1985-10-01,9792400
1985-11-01,9802300
1985-12-01,9811200
1986-01-01,9822100
1986-02-01,9830500
1986-03-01,9839000
1986-04-01,9850500
1986-05-01,9860300
1986-06-01,9872300
1986-07-01,9881200
1986-08-01,9889700
1986-09-01,9900200
1986-10-01,9908800
1986-11-01,9917100
1986-12-01,9925900
1987-01-01,9936300
1987-02-01,9947000
1987-03-01,9956400
1987-04-01,9966300
1987-05-01,9976400
1987-06-01,9989500
1987-07-01,9999600
1987-08-01,10009600
1987-09-01,10022500
1987-10-01,10032200
1987-11-01,10041900
1987-12-01,10050800
1988-01-01,10061300
1988-02-01,10071500
1988-03-01,10080600
1988-04-01,10090400
1988-05-01,10103600
1988-06-01,10114200
1988-07-01,10124600
1988-08-01,10138000
1988-09-01,10148300
1988-10-01,10158100
1988-11-01,10167700
1988-12-01,10177200
1989-01-01,10190500
1989-02-01,10200000
1989-03-01,10210400
1989-04-01,10221200
1989-05-01,10235400
1989-06-01,10247100
1989-07-01,10259300
1989-08-01,10274700
1989-09-01,10287000
1989-10-01,10301800
1989-11-01,10313400
1989-12-01,10324600
1990-01-01,10337000
1990-02-01,10347700
1990-03-01,10359600
1990-04-01,10376200
1990-05-01,10390000
1990-06-01,10403600
1990-07-01,10420600
1990-08-01,10433200
1990-09-01,10444700
1990-10-01,10458500
1990-11-01,10470100
1990-12-01,10480700
1991-01-01,10493400
1991-02-01,10504300
1991-03-01,10515700
1991-04-01,10530000
1991-05-01,10542100
1991-06-01,10553900
1991-07-01,10567500
1991-08-01,10577200
1991-09-01,10591000
1991-10-01,10601800
1991-11-01,10615000
1991-12-01,10629000
1992-01-01,10643100
1992-02-01,10653200
1992-03-01,10669300
1992-04-01,10682100
1992-05-01,10695500
1992-06-01,10711300
1992-07-01,10721800
1992-08-01,10731800
1992-09-01,10743900
1992-10-01,10753400
1992-11-01,10761800
1992-12-01,10770300
1993-01-01,10780100
1993-02-01,10789200
1993-03-01,10798200
1993-04-01,10806900
1993-05-01,10815800
1993-06-01,10828400
1993-07-01,10838900
1993-08-01,10851500
1993-09-01,10862100
1993-10-01,10871900
1993-11-01,10880600
1993-12-01,10889700
1994-01-01,10899500
1994-02-01,10910100
1994-03-01,10920800
1994-04-01,10932100
1994-05-01,10946300
1994-06-01,10957400
1994-07-01,10969300
1994-08-01,10984200
1994-09-01,10995200
1994-10-01,11006300
1994-11-01,11017000
1994-12-01,11026600
1995-01-01,11041300
1995-02-01,11051800
1995-03-01,11063100
1995-04-01,11075200
1995-05-01,11090400
1995-06-01,11102700
1995-07-01,11114800
1995-08-01,11129800
1995-09-01,11141200
1995-10-01,11153200
1995-11-01,11164300
1995-12-01,11174700
1996-01-01,11185300
1996-02-01,11197300
1996-03-01,11209500
1996-04-01,11221400
1996-05-01,11236600
1996-06-01,11248600
1996-07-01,11263800
1996-08-01,11275900
1996-09-01,11290400
1996-10-01,11301500
1996-11-01,11312800
1996-12-01,11322900
1997-01-01,11334500
1997-02-01,11344600
1997-03-01,11355700
1997-04-01,11370400
1997-05-01,11382300
1997-06-01,11396900
1997-07-01,11409000
1997-08-01,11421400
1997-09-01,11436900
1997-10-01,11449100
1997-11-01,11460500
1997-12-01,11470800
1998-01-01,11483000
1998-02-01,11494800
1998-03-01,11505200
1998-04-01,11516700
1998-05-01,11528600
1998-06-01,11543300
1998-07-01,11552700
1998-08-01,11561700
1998-09-01,11573800
1998-10-01,11583600
1998-11-01,11593100
1998-12-01,11601900
1999-01-01,11612400
1999-02-01,11623000
1999-03-01,11633500
1999-04-01,11644800
1999-05-01,11656700
1999-06-01,11671600
1999-07-01,11683500
1999-08-01,11697900
1999-09-01,11710400
1999-10-01,11723100
1999-11-01,11735500
1999-12-01,11747300
2000-01-01,11759300
2000-02-01,11772900
2000-03-01,11786400
2000-04-01,11800200
2000-05-01,11818100
2000-06-01,11832800
2000-07-01,11846600
2000-08-01,11863700
2000-09-01,11878100
2000-10-01,11892700
2000-11-01,11907000
2000-12-01,11920600
2001-01-01,11924200
