"Date","LFEMTTTTCAM647S"
1960-01-01,5949812.60449051
1960-02-01,5937539.74785154
1960-03-01,5941713.12224831
1960-04-01,5908879.75177071
1960-05-01,5951486.76961683
1960-06-01,5962839.48798649
1960-07-01,5950795.91361272
1960-08-01,5973355.89223033
1960-09-01,5993088.32900189
1960-10-01,6012698.91380466
1960-11-01,6006960.11114043
1960-12-01,5991637.55981223
1961-01-01,5993918.37962278
1961-02-01,5955971.27980729
1961-03-01,5954327.1086763
1961-04-01,6017977.07459134
1961-05-01,6060749.33838168
1961-06-01,6037968.81558795
1961-07-01,6062525.12760351
1961-08-01,6070189.42324736
1961-09-01,6086774.15637112
1961-10-01,6106725.36746247
1961-11-01,6133902.09007418
1961-12-01,6171233.06401921
1962-01-01,6158355.6360778
1962-02-01,6156966.02277669
1962-03-01,6204366.64289086
1962-04-01,6211939.00998657
1962-05-01,6234358.98959982
1962-06-01,6265115.54599493
1962-07-01,6232391.84751308
1962-08-01,6259312.92949782
1962-09-01,6248034.35672297
1962-10-01,6225124.22559332
1962-11-01,6255306.954869
1962-12-01,6248840.05624864
1963-01-01,6251128.74608165
1963-02-01,6270714.97586382
1963-03-01,6269661.32236688
1963-04-01,6306187.67616487
1963-05-01,6295697.92379647
1963-06-01,6353036.23046409
1963-07-01,6397622.72839364
1963-08-01,6412562.03197813
1963-09-01,6437418.04760574
1963-10-01,6484739.57442881
1963-11-01,6488824.98728691
1963-12-01,6521212.96590252
1964-01-01,6535353.64106814
1964-02-01,6552065.43878523
1964-03-01,6588751.71092863
1964-04-01,6578565.92269321
1964-05-01,6593475.80728718
1964-06-01,6577295.37408798
1964-07-01,6610733.02408233
1964-08-01,6613672.90966093
1964-09-01,6634734.27225353
1964-10-01,6621737.34484051
1964-11-01,6695023.13590511
1964-12-01,6709962.08632377
1965-01-01,6758000
1965-02-01,6772000
1965-03-01,6808000
1965-04-01,6795000
1965-05-01,6831000
1965-06-01,6850000
1965-07-01,6866000
1965-08-01,6902000
1965-09-01,6874000
1965-10-01,6926000
1965-11-01,6943000
1965-12-01,7019000
1966-01-01,7130000
1966-02-01,7168000
1966-03-01,7182000
1966-04-01,7221000
1966-05-01,7193000
1966-06-01,7180000
1966-07-01,7235000
1966-08-01,7276000
1966-09-01,7307000
1966-10-01,7349000
1966-11-01,7301000
1966-12-01,7364000
1967-01-01,7375000
1967-02-01,7381000
1967-03-01,7451000
1967-04-01,7382000
1967-05-01,7445000
1967-06-01,7418000
1967-07-01,7487000
1967-08-01,7515000
1967-09-01,7490000
1967-10-01,7446000
1967-11-01,7501000
1967-12-01,7515000
1968-01-01,7476000
1968-02-01,7488000
1968-03-01,7468000
1968-04-01,7516000
1968-05-01,7514000
1968-06-01,7580000
1968-07-01,7585000
1968-08-01,7621000
1968-09-01,7678000
1968-10-01,7702000
1968-11-01,7753000
1968-12-01,7727000
1969-01-01,7798000
1969-02-01,7820000
1969-03-01,7829000
1969-04-01,7878000
1969-05-01,7858000
1969-06-01,7818000
1969-07-01,7822000
1969-08-01,7821000
1969-09-01,7822000
1969-10-01,7817000
1969-11-01,7839000
1969-12-01,7876000
1970-01-01,7860000
1970-02-01,7864000
1970-03-01,7858000
1970-04-01,7890000
1970-05-01,7927000
1970-06-01,7931000
1970-07-01,7911000
1970-08-01,7921000
1970-09-01,7966000
1970-10-01,7976000
1970-11-01,7997000
1970-12-01,7944000
1971-01-01,8009000
1971-02-01,8016000
1971-03-01,7998000
1971-04-01,7952000
1971-05-01,8045000
1971-06-01,8074000
1971-07-01,8138000
1971-08-01,8137000
1971-09-01,8163000
1971-10-01,8221000
1971-11-01,8215000
1971-12-01,8265000
1972-01-01,8254000
1972-02-01,8262000
1972-03-01,8316000
1972-04-01,8297000
1972-05-01,8282000
1972-06-01,8322000
1972-07-01,8367000
1972-08-01,8369000
1972-09-01,8368000
1972-10-01,8367000
1972-11-01,8435000
1972-12-01,8484000
1973-01-01,8531000
1973-02-01,8618000
1973-03-01,8686000
1973-04-01,8744000
1973-05-01,8761000
1973-06-01,8818000
1973-07-01,8736000
1973-08-01,8778000
1973-09-01,8767000
1973-10-01,8843000
1973-11-01,8891000
1973-12-01,8936000
1974-01-01,8998000
1974-02-01,9025000
1974-03-01,9035000
1974-04-01,9097000
1974-05-01,9062000
1974-06-01,9087000
1974-07-01,9142000
1974-08-01,9193000
1974-09-01,9173000
1974-10-01,9204000
1974-11-01,9228000
1974-12-01,9251000
1975-01-01,9158000
1975-02-01,9173000
1975-03-01,9144000
1975-04-01,9184000
1975-05-01,9260000
1975-06-01,9314000
1975-07-01,9291000
1975-08-01,9263000
1975-09-01,9334000
1975-10-01,9366000
1975-11-01,9416000
1975-12-01,9469000
1976-01-01,9636700
1976-02-01,9659800
1976-03-01,9704200
1976-04-01,9738200
1976-05-01,9726100
1976-06-01,9748300
1976-07-01,9759500
1976-08-01,9780500
1976-09-01,9795200
1976-10-01,9782500
1976-11-01,9829000
1976-12-01,9862600
1977-01-01,9869300
1977-02-01,9874200
1977-03-01,9865700
1977-04-01,9892600
1977-05-01,9912000
1977-06-01,9906900
1977-07-01,9911400
1977-08-01,9936600
1977-09-01,9937000
1977-10-01,9962100
1977-11-01,9976300
1977-12-01,10002300
1978-01-01,10013000
1978-02-01,10067500
1978-03-01,10100300
1978-04-01,10128700
1978-05-01,10146700
1978-06-01,10207600
1978-07-01,10255000
1978-08-01,10287500
1978-09-01,10305500
1978-10-01,10368800
1978-11-01,10387200
1978-12-01,10428300
1979-01-01,10483100
1979-02-01,10490000
1979-03-01,10535900
1979-04-01,10560800
1979-05-01,10611400
1979-06-01,10645400
1979-07-01,10702100
1979-08-01,10742100
1979-09-01,10756500
1979-10-01,10809000
1979-11-01,10841300
1979-12-01,10859900
1980-01-01,10882600
1980-02-01,10902900
1980-03-01,10897800
1980-04-01,10938300
1980-05-01,10891600
1980-06-01,10936800
1980-07-01,10935000
1980-08-01,10970300
1980-09-01,11051900
1980-10-01,11083100
1980-11-01,11127000
1980-12-01,11140000
1981-01-01,11206500
1981-02-01,11283300
1981-03-01,11278700
1981-04-01,11315800
1981-05-01,11345800
1981-06-01,11375600
1981-07-01,11336400
1981-08-01,11353800
1981-09-01,11328700
1981-10-01,11300100
1981-11-01,11291500
1981-12-01,11236000
1982-01-01,11205600
1982-02-01,11166900
1982-03-01,11140500
1982-04-01,11076300
1982-05-01,11021900
1982-06-01,10940600
1982-07-01,10893600
1982-08-01,10836300
1982-09-01,10806700
1982-10-01,10787200
1982-11-01,10764100
1982-12-01,10774100
1983-01-01,10801100
1983-02-01,10818200
1983-03-01,10874900
1983-04-01,10932600
1983-05-01,10952500
1983-06-01,11021400
1983-07-01,11073400
1983-08-01,11126600
1983-09-01,11174200
1983-10-01,11163300
1983-11-01,11162000
1983-12-01,11187400
1984-01-01,11168600
1984-02-01,11203900
1984-03-01,11205900
1984-04-01,11198500
1984-05-01,11245500
1984-06-01,11314500
1984-07-01,11356600
1984-08-01,11349300
1984-09-01,11373800
1984-10-01,11387700
1984-11-01,11391100
1984-12-01,11430300
1985-01-01,11481700
1985-02-01,11506300
1985-03-01,11531400
1985-04-01,11571500
1985-05-01,11613700
1985-06-01,11627000
1985-07-01,11681100
1985-08-01,11712100
1985-09-01,11723300
1985-10-01,11754000
1985-11-01,11819000
1985-12-01,11860500
1986-01-01,11903500
1986-02-01,11917900
1986-03-01,11926300
1986-04-01,12008100
1986-05-01,11977200
1986-06-01,12016900
1986-07-01,12017100
1986-08-01,12024700
1986-09-01,12035200
1986-10-01,12059600
1986-11-01,12082000
1986-12-01,12079700
1987-01-01,12102000
1987-02-01,12131400
1987-03-01,12182000
1987-04-01,12229500
1987-05-01,12285700
1987-06-01,12319400
1987-07-01,12345500
1987-08-01,12376200
1987-09-01,12421900
1987-10-01,12487400
1987-11-01,12519400
1987-12-01,12583300
1988-01-01,12601900
1988-02-01,12642600
1988-03-01,12662600
1988-04-01,12676000
1988-05-01,12679700
1988-06-01,12698100
