"Date","IMP0006"
1994-01-01,3446.3
1994-02-01,3262.4
1994-03-01,3886.5
1994-04-01,3557.9
1994-05-01,3645.4
1994-06-01,4191.1
1994-07-01,3632.8
1994-08-01,4096.6
1994-09-01,4421.3
1994-10-01,4603.9
1994-11-01,4875.7
1994-12-01,4291
1995-01-01,4753.2
1995-02-01,4815.9
1995-03-01,4906.5
1995-04-01,4751.9
1995-05-01,5426.5
1995-06-01,5647.9
1995-07-01,3303.9
1995-08-01,6547.2
1995-09-01,6640.9
1995-10-01,6987.7
1995-11-01,7232.2
1995-12-01,6139.4
1996-01-01,6425
1996-02-01,6517.6
1996-03-01,6631
1996-04-01,6985.6
1996-05-01,7454.1
1996-06-01,7490.7
1996-07-01,6255.1
1996-08-01,7212.4
1996-09-01,7606.1
1996-10-01,7120.1
1996-11-01,7631.4
1996-12-01,6916.2
1997-01-01,7068.2
1997-02-01,7095.1
1997-03-01,7569.3
1997-04-01,7490.2
1997-05-01,7552.7
1997-06-01,7498.2
1997-07-01,6726.3
1997-08-01,7289.4
1997-09-01,7417.8
1997-10-01,7975.1
1997-11-01,7497.5
1997-12-01,7769.7
1998-01-01,8194.2
1998-02-01,9138.1
1998-03-01,10011.9
1998-04-01,9716.8
1998-05-01,8505.5
1998-06-01,9097.5
1998-07-01,7093.8
1998-08-01,8638.6
1998-09-01,9956
1998-10-01,10434.2
1998-11-01,10174.9
1998-12-01,9713.2
1999-01-01,8154
1999-02-01,9114.9
1999-03-01,10270.5
1999-04-01,9413.2
1999-05-01,9573.5
1999-06-01,10225.5
1999-07-01,7678.5
1999-08-01,10210.3
1999-09-01,9988.7
1999-10-01,10369.3
1999-11-01,10636.5
1999-12-01,10076.7
2000-01-01,9788.2
2000-02-01,10348.4
2000-03-01,11799.9
2000-04-01,10279.6
2000-05-01,10752.4
2000-06-01,10962.6
2000-07-01,8126.7
2000-08-01,10600.8
2000-09-01,10076.8
2000-10-01,10865.9
2000-11-01,10656.3
2000-12-01,8794.2
2001-01-01,9516.2
2001-02-01,9156.3
2001-03-01,10320.1
2001-04-01,9638.1
2001-05-01,10495.1
2001-06-01,10311.9
2001-07-01,7584.3
2001-08-01,9941.4
2001-09-01,9066.8
2001-10-01,9784.7
2001-11-01,9457.3
2001-12-01,7907.1
2002-01-01,8457.412402
2002-02-01,9032.175844
2002-03-01,9776.448476
2002-04-01,10265.092277
2002-05-01,10583.627833
2002-06-01,9855.109761
2002-07-01,8299.692033
2002-08-01,10439.67584
2002-09-01,9984.124588
2002-10-01,10449.718037
2002-11-01,10003.920101
2002-12-01,8591.587642
2003-01-01,9456.080949
2003-02-01,9481.561161
2003-03-01,10705.069317
2003-04-01,10104.934396
2003-05-01,10390.177521
2003-06-01,10137.360227
2003-07-01,8656.163519
2003-08-01,9581.431271
2003-09-01,10525.258034
2003-10-01,11306.828014
2003-11-01,10371.717049
2003-12-01,9674.227973
2004-01-01,9112.30284
2004-02-01,9977.433127
2004-03-01,11789.328659
2004-04-01,11124.374276
2004-05-01,11009.948824
2004-06-01,12160.735761
2004-07-01,9205.116188
2004-08-01,11651.029693
2004-09-01,11394.56994
2004-10-01,11733.153897
2004-11-01,11851.320513
2004-12-01,10699.742894
2005-01-01,10500.796108
2005-02-01,11058.334913
2005-03-01,12077.94644
2005-04-01,11344.88703
2005-05-01,11801.309919
2005-06-01,12285.319966
2005-07-01,9707.764131
2005-08-01,13339.875369
2005-09-01,13540.231868
2005-10-01,13772.39617
2005-11-01,13608.78709
2005-12-01,12746.079641
