"Date","LFWA25TTCAM647S"
1976-01-01,8619100
1976-02-01,8638400
1976-03-01,8657600
1976-04-01,8676800
1976-05-01,8695800
1976-06-01,8714900
1976-07-01,8734200
1976-08-01,8753400
1976-09-01,8768400
1976-10-01,8783100
1976-11-01,8797600
1976-12-01,8811200
1977-01-01,8828600
1977-02-01,8845700
1977-03-01,8859700
1977-04-01,8875700
1977-05-01,8894900
1977-06-01,8909600
1977-07-01,8918400
1977-08-01,8936800
1977-09-01,8951400
1977-10-01,8965700
1977-11-01,8980300
1977-12-01,8994300
1978-01-01,9012200
1978-02-01,9029900
1978-03-01,9044300
1978-04-01,9059900
1978-05-01,9079400
1978-06-01,9094200
1978-07-01,9101500
1978-08-01,9119400
1978-09-01,9133800
1978-10-01,9148500
1978-11-01,9163100
1978-12-01,9177700
1979-01-01,9196300
1979-02-01,9214600
1979-03-01,9229800
1979-04-01,9249500
1979-05-01,9265200
1979-06-01,9281500
1979-07-01,9294400
1979-08-01,9311000
1979-09-01,9328100
1979-10-01,9350400
1979-11-01,9368600
1979-12-01,9386800
1980-01-01,9408800
1980-02-01,9427100
1980-03-01,9444900
1980-04-01,9467300
1980-05-01,9485700
1980-06-01,9509200
1980-07-01,9519000
1980-08-01,9536900
1980-09-01,9559200
1980-10-01,9577000
1980-11-01,9594400
1980-12-01,9611400
1981-01-01,9632400
1981-02-01,9653100
1981-03-01,9670200
1981-04-01,9688100
1981-05-01,9706300
1981-06-01,9728500
1981-07-01,9738300
1981-08-01,9757100
1981-09-01,9780600
1981-10-01,9800200
1981-11-01,9819900
1981-12-01,9839900
1982-01-01,9864300
1982-02-01,9888200
1982-03-01,9908300
1982-04-01,9928500
1982-05-01,9948900
1982-06-01,9973800
1982-07-01,9983100
1982-08-01,10005900
1982-09-01,10024000
1982-10-01,10042400
1982-11-01,10061000
1982-12-01,10079300
1983-01-01,10101800
1983-02-01,10124400
1983-03-01,10142300
1983-04-01,10160700
1983-05-01,10183500
1983-06-01,10201200
1983-07-01,10211700
1983-08-01,10232900
1983-09-01,10250200
1983-10-01,10267800
1983-11-01,10285900
1983-12-01,10303700
1984-01-01,10325300
1984-02-01,10347400
1984-03-01,10365100
1984-04-01,10387400
1984-05-01,10405900
1984-06-01,10424100
1984-07-01,10441000
1984-08-01,10458900
1984-09-01,10476800
1984-10-01,10499100
1984-11-01,10517000
1984-12-01,10534500
1985-01-01,10556000
1985-02-01,10573600
1985-03-01,10591400
1985-04-01,10613700
1985-05-01,10632200
1985-06-01,10650500
1985-07-01,10667000
1985-08-01,10685300
1985-09-01,10708500
1985-10-01,10727300
1985-11-01,10746300
1985-12-01,10764400
1986-01-01,10787500
1986-02-01,10805900
1986-03-01,10824800
1986-04-01,10848700
1986-05-01,10868300
1986-06-01,10892600
1986-07-01,10907000
1986-08-01,10925800
1986-09-01,10949300
1986-10-01,10968700
1986-11-01,10988100
1986-12-01,11008200
1987-01-01,11032900
1987-02-01,11058500
1987-03-01,11079700
1987-04-01,11101300
1987-05-01,11123300
1987-06-01,11151200
1987-07-01,11173400
1987-08-01,11195400
1987-09-01,11222900
1987-10-01,11244500
1987-11-01,11266300
1987-12-01,11287300
1988-01-01,11313300
1988-02-01,11339400
1988-03-01,11361600
1988-04-01,11384500
1988-05-01,11413400
1988-06-01,11436400
1988-07-01,11459700
1988-08-01,11489200
1988-09-01,11512100
1988-10-01,11534800
1988-11-01,11557500
1988-12-01,11579700
1989-01-01,11612600
1989-02-01,11635100
1989-03-01,11658500
1989-04-01,11681900
1989-05-01,11711600
1989-06-01,11735200
1989-07-01,11758600
1989-08-01,11787100
1989-09-01,11809500
1989-10-01,11837100
1989-11-01,11859200
1989-12-01,11880800
1990-01-01,11906300
1990-02-01,11926600
1990-03-01,11947700
1990-04-01,11975600
1990-05-01,11997900
1990-06-01,12020100
1990-07-01,12047400
1990-08-01,12068100
1990-09-01,12087100
1990-10-01,12109200
1990-11-01,12127600
1990-12-01,12145200
1991-01-01,12165900
1991-02-01,12183100
1991-03-01,12201300
1991-04-01,12223500
1991-05-01,12241500
1991-06-01,12259200
1991-07-01,12278600
1991-08-01,12293200
1991-09-01,12312600
1991-10-01,12328300
1991-11-01,12347600
1991-12-01,12368300
1992-01-01,12390600
1992-02-01,12406200
1992-03-01,12429900
1992-04-01,12448100
1992-05-01,12466900
1992-06-01,12489100
1992-07-01,12504400
1992-08-01,12518900
1992-09-01,12536600
1992-10-01,12550500
1992-11-01,12563900
1992-12-01,12577600
1993-01-01,12593400
1993-02-01,12608800
1993-03-01,12624000
1993-04-01,12638400
1993-05-01,12652600
1993-06-01,12671500
1993-07-01,12685800
1993-08-01,12702500
1993-09-01,12716300
1993-10-01,12729500
1993-11-01,12741600
1993-12-01,12754200
1994-01-01,12768800
1994-02-01,12785000
1994-03-01,12800000
1994-04-01,12815300
1994-05-01,12834600
1994-06-01,12849400
1994-07-01,12864500
1994-08-01,12882800
1994-09-01,12896700
1994-10-01,12910500
1994-11-01,12924200
1994-12-01,12937200
1995-01-01,12956500
1995-02-01,12971100
1995-03-01,12986800
1995-04-01,13003000
1995-05-01,13022800
1995-06-01,13037800
1995-07-01,13052600
1995-08-01,13070600
1995-09-01,13083900
1995-10-01,13098400
1995-11-01,13112200
1995-12-01,13125200
1996-01-01,13153000
1996-02-01,13165400
1996-03-01,13178100
1996-04-01,13190400
1996-05-01,13206200
1996-06-01,13218600
1996-07-01,13234600
1996-08-01,13247100
1996-09-01,13262000
1996-10-01,13273400
1996-11-01,13285100
1996-12-01,13295800
1997-01-01,13308200
1997-02-01,13318900
1997-03-01,13330800
1997-04-01,13345600
1997-05-01,13357300
1997-06-01,13370400
1997-07-01,13380400
1997-08-01,13390300
1997-09-01,13402700
1997-10-01,13412200
1997-11-01,13420900
1997-12-01,13428100
1998-01-01,13436400
1998-02-01,13445600
1998-03-01,13454200
1998-04-01,13463100
1998-05-01,13471900
1998-06-01,13481500
1998-07-01,13487100
1998-08-01,13491800
1998-09-01,13498400
1998-10-01,13504300
1998-11-01,13509700
1998-12-01,13514800
1999-01-01,13520700
1999-02-01,13528100
1999-03-01,13536700
1999-04-01,13545000
1999-05-01,13553800
1999-06-01,13564600
1999-07-01,13572700
1999-08-01,13581400
1999-09-01,13590300
1999-10-01,13599600
1999-11-01,13608700
1999-12-01,13617400
2000-01-01,13626100
2000-02-01,13636800
2000-03-01,13647500
2000-04-01,13658600
2000-05-01,13673000
2000-06-01,13684500
2000-07-01,13694400
2000-08-01,13705200
2000-09-01,13715400
2000-10-01,13725700
2000-11-01,13735800
2000-12-01,13745000
2001-01-01,13748600
2001-02-01,13757700
2001-03-01,13767900
2001-04-01,13781100
2001-05-01,13791700
2001-06-01,13801500
2001-07-01,13811700
2001-08-01,13819400
2001-09-01,13825900
2001-10-01,13831500
2001-11-01,13836600
2001-12-01,13840000
2002-01-01,13843300
2002-02-01,13848500
2002-03-01,13855900
2002-04-01,13865400
2002-05-01,13873300
2002-06-01,13881600
2002-07-01,13888300
2002-08-01,13890100
2002-09-01,13891500
2002-10-01,13892800
2002-11-01,13894500
2002-12-01,13895500
2003-01-01,13895500
2003-02-01,13897500
2003-03-01,13902100
2003-04-01,13907700
2003-05-01,13912300
2003-06-01,13918900
2003-07-01,13924200
2003-08-01,13928500
2003-09-01,13934100
2003-10-01,13938800
2003-11-01,13942700
2003-12-01,13945600
2004-01-01,13947800
2004-02-01,13951400
2004-03-01,13957400
2004-04-01,13963600
2004-05-01,13970400
2004-06-01,13978800
2004-07-01,13985200
2004-08-01,13991900
2004-09-01,13996700
2004-10-01,14001000
2004-11-01,14003900
2004-12-01,14006300
2005-01-01,14008000
2005-02-01,14012200
2005-03-01,14018800
2005-04-01,14025600
2005-05-01,14035100
2005-06-01,14043800
2005-07-01,14052500
2005-08-01,14060600
2005-09-01,14066500
2005-10-01,14070900
2005-11-01,14075700
2005-12-01,14078700
2006-01-01,14080500
2006-02-01,14084000
2006-03-01,14089400
2006-04-01,14095300
2006-05-01,14103400
2006-06-01,14110300
2006-07-01,14118500
2006-08-01,14128800
2006-09-01,14135900
2006-10-01,14142000
2006-11-01,14147800
2006-12-01,14152800
2007-01-01,14154300
2007-02-01,14157500
2007-03-01,14163100
2007-04-01,14169700
2007-05-01,14176100
2007-06-01,14183700
2007-07-01,14193500
2007-08-01,14201200
2007-09-01,14208200
2007-10-01,14214700
2007-11-01,14220800
2007-12-01,14225700
2008-01-01,14227600
2008-02-01,14231900
2008-03-01,14238900
2008-04-01,14247400
2008-05-01,14255700
2008-06-01,14266800
2008-07-01,14276800
2008-08-01,14284700
2008-09-01,14292500
2008-10-01,14299500
2008-11-01,14305700
2008-12-01,14310400
2009-01-01,14312800
2009-02-01,14317500
2009-03-01,14324500
2009-04-01,14332100
2009-05-01,14340100
2009-06-01,14350600
2009-07-01,14359800
2009-08-01,14367200
2009-09-01,14374100
2009-10-01,14379100
2009-11-01,14382700
2009-12-01,14384500
2010-01-01,14383600
2010-02-01,14384600
2010-03-01,14390000
2010-04-01,14395900
2010-05-01,14402800
2010-06-01,14412100
2010-07-01,14420100
2010-08-01,14426700
2010-09-01,14430300
2010-10-01,14433200
2010-11-01,14434600
2010-12-01,14434400
2011-01-01,14430200
2011-02-01,14427300
2011-03-01,14428300
2011-04-01,14430400
2011-05-01,14432900
2011-06-01,14436700
2011-07-01,14439700
2011-08-01,14444300
2011-09-01,14447300
2011-10-01,14449800
2011-11-01,14451600
2011-12-01,14453800
2012-01-01,14452000
2012-02-01,14451100
2012-03-01,14453400
2012-04-01,14458700
2012-05-01,14463200
2012-06-01,14468900
2012-07-01,14474700
2012-08-01,14476300
2012-09-01,14477300
2012-10-01,14479000
2012-11-01,14480300
2012-12-01,14480800
2013-01-01,14475500
2013-02-01,14474300
2013-03-01,14476900
2013-04-01,14480900
2013-05-01,14485700
2013-06-01,14490800
2013-07-01,14496500
2013-08-01,14499500
2013-09-01,14501900
2013-10-01,14504500
2013-11-01,14506300
2013-12-01,14507300
2014-01-01,14504600
2014-02-01,14504500
2014-03-01,14508700
2014-04-01,14514400
2014-05-01,14520000
2014-06-01,14526200
2014-07-01,14530600
2014-08-01,14531700
2014-09-01,14530700
2014-10-01,14528500
2014-11-01,14526500
2014-12-01,14524100
2015-01-01,14516300
2015-02-01,14510300
