"Date","CANLOCOSIORSTM"
1960-01-01,0.14
1960-02-01,0.23
1960-03-01,1.27
1960-04-01,1
1960-05-01,1.43
1960-06-01,1.2
1960-07-01,1.3
1960-08-01,1.96
1960-09-01,2.28
1960-10-01,1.51
1960-11-01,0.99
1960-12-01,0.99
1961-01-01,1.49
1961-02-01,1.64
1961-03-01,1.36
1961-04-01,1.68
1961-05-01,1.39
1961-06-01,1.76
1961-07-01,1.93
1961-08-01,1.71
1961-09-01,1.87
1961-10-01,1.95
1961-11-01,2.02
1961-12-01,1.49
1962-01-01,1.446
1962-02-01,1.5675
1962-03-01,1.57
1962-04-01,1.3925
1962-05-01,1.344
1962-06-01,1.0025
1962-07-01,-0.2875
1962-08-01,-0.278
1962-09-01,-0.0650000000000004
1962-10-01,0.226
1962-11-01,0.68
1962-12-01,0.7975
1963-01-01,0.851999999999999
1963-02-01,0.947500000000001
1963-03-01,0.955
1963-04-01,1.2025
1963-05-01,1.368
1963-06-01,1.3225
1963-07-01,1.254
1963-08-01,1.0525
1963-09-01,1.09
1963-10-01,1.07
1963-11-01,1.025
1963-12-01,0.822500000000001
1964-01-01,0.968
1964-02-01,1.11
1964-03-01,1.05
1964-04-01,1.122
1964-05-01,1.15
1964-06-01,1.18
1964-07-01,1.178
1964-08-01,1.0175
1964-09-01,0.912
1964-10-01,0.81
1964-11-01,0.73
1964-12-01,0.47
1965-01-01,0.617500000000001
1965-02-01,0.63
1965-03-01,0.646
1965-04-01,0.569999999999999
1965-05-01,0.395
1965-06-01,0.334
1965-07-01,0.34
1965-08-01,0.13
1965-09-01,0.0739999999999998
1965-10-01,0.0200000000000005
1965-11-01,-0.23
1965-12-01,-0.54
1966-01-01,-0.6375
1966-02-01,-0.48
1966-03-01,-0.42
1966-04-01,-0.455
1966-05-01,-0.537500000000001
1966-06-01,-0.604
1966-07-01,-0.5975
1966-08-01,-0.464
1966-09-01,-0.615
1966-10-01,-0.6525
1966-11-01,-0.65
1966-12-01,-0.7425
1967-01-01,-0.82
1967-02-01,-0.467499999999999
1967-03-01,-0.0659999999999998
1967-04-01,0.5
1967-05-01,0.674
1967-06-01,0.427499999999999
1967-07-01,0.262499999999999
1967-08-01,0.29
1967-09-01,0.225
1967-10-01,-0.1825
