"Date","RBCABIS"
1994-01-01,109.56
1994-02-01,105.86
1994-03-01,103.52
1994-04-01,101.87
1994-05-01,101.39
1994-06-01,100.89
1994-07-01,100.48
1994-08-01,100.44
1994-09-01,101.74
1994-10-01,101.43
1994-11-01,100.89
1994-12-01,99.81
1995-01-01,98.38
1995-02-01,99.06
1995-03-01,97.82
1995-04-01,98.8
1995-05-01,100.04
1995-06-01,98.53
1995-07-01,100
1995-08-01,100.89
1995-09-01,101.6
1995-10-01,101.41
1995-11-01,101.56
1995-12-01,100.26
1996-01-01,100.31
1996-02-01,99.4
1996-03-01,100.17
1996-04-01,100.52
1996-05-01,99.93
1996-06-01,100.26
1996-07-01,99.79
1996-08-01,99.13
1996-09-01,99.27
1996-10-01,100.8
1996-11-01,101.92
1996-12-01,100.32
1997-01-01,101.54
1997-02-01,101.73
1997-03-01,100.64
1997-04-01,98.86
1997-05-01,99.63
1997-06-01,99.24
1997-07-01,100.1
1997-08-01,99.7
1997-09-01,99.65
1997-10-01,99.57
1997-11-01,98.04
1997-12-01,98.19
1998-01-01,98.44
1998-02-01,98.21
1998-03-01,99.32
1998-04-01,97.99
1998-05-01,97.25
1998-06-01,96.54
1998-07-01,95.2
1998-08-01,92.47
1998-09-01,92.1
1998-10-01,89.95
1998-11-01,90.16
1998-12-01,89.49
1999-01-01,90.82
1999-02-01,92.66
1999-03-01,92.02
1999-04-01,93.62
1999-05-01,95.73
1999-06-01,95.6
1999-07-01,94.4
1999-08-01,93.56
1999-09-01,94.2
1999-10-01,94.02
1999-11-01,94.69
1999-12-01,94.26
2000-01-01,95.45
2000-02-01,95.88
2000-03-01,95.42
2000-04-01,94.73
2000-05-01,93.95
2000-06-01,94.99
2000-07-01,95.15
2000-08-01,94.94
2000-09-01,95.1
2000-10-01,93.84
2000-11-01,92.3
2000-12-01,93.19
2001-01-01,93.69
2001-02-01,92.83
2001-03-01,91.21
2001-04-01,91.75
2001-05-01,93.21
2001-06-01,94.45
2001-07-01,94.34
2001-08-01,93.03
2001-09-01,91.21
2001-10-01,90.82
2001-11-01,88.92
2001-12-01,90.34
2002-01-01,89.33
2002-02-01,90.04
2002-03-01,90.6
2002-04-01,90.9
2002-05-01,92.48
2002-06-01,93.32
2002-07-01,92.42
2002-08-01,91.41
2002-09-01,91.03
2002-10-01,91.14
2002-11-01,91.36
2002-12-01,91.63
2003-01-01,92.63
2003-02-01,94.52
2003-03-01,96.75
2003-04-01,96.94
2003-05-01,101.58
2003-06-01,103.7
2003-07-01,102.13
2003-08-01,101.18
2003-09-01,103.03
2003-10-01,105.2
2003-11-01,106.55
2003-12-01,105.96
2004-01-01,106.37
2004-02-01,103.39
2004-03-01,103.65
2004-04-01,102.94
2004-05-01,101.05
2004-06-01,102.04
2004-07-01,104.7
2004-08-01,105.13
2004-09-01,106.95
2004-10-01,109.8
2004-11-01,114.07
2004-12-01,111.34
2005-01-01,110.79
2005-02-01,109.21
2005-03-01,111.06
2005-04-01,109.48
2005-05-01,108.02
2005-06-01,110.11
2005-07-01,111.91
2005-08-01,112.97
2005-09-01,115.51
2005-10-01,115.46
2005-11-01,115.67
2005-12-01,117.65
2006-01-01,117.27
2006-02-01,117.89
2006-03-01,117.29
2006-04-01,118.09
2006-05-01,121.02
2006-06-01,120.88
2006-07-01,119.07
2006-08-01,119.64
2006-09-01,119.7
2006-10-01,118.62
2006-11-01,117.55
2006-12-01,115.29
2007-01-01,113.02
2007-02-01,113.61
2007-03-01,113.8
2007-04-01,116.65
2007-05-01,120.74
2007-06-01,123.78
2007-07-01,124.79
2007-08-01,123.68
2007-09-01,126.72
2007-10-01,131.86
2007-11-01,132.19
2007-12-01,127.19
2008-01-01,125.03
2008-02-01,125.61
2008-03-01,124.01
2008-04-01,122.26
2008-05-01,124.89
2008-06-01,122.57
2008-07-01,122.39
2008-08-01,118.94
2008-09-01,119.73
2008-10-01,109.52
2008-11-01,107.92
2008-12-01,105.86
2009-01-01,106.35
2009-02-01,106.02
2009-03-01,104.8
2009-04-01,106.54
2009-05-01,113.01
2009-06-01,115.03
2009-07-01,114.7
2009-08-01,117.63
2009-09-01,117.74
2009-10-01,120.01
2009-11-01,119.51
2009-12-01,120.02
2010-01-01,121.49
2010-02-01,120.9
2010-03-01,124.22
2010-04-01,126.66
2010-05-01,124.09
2010-06-01,124.75
2010-07-01,123.66
2010-08-01,123.14
2010-09-01,123.31
2010-10-01,123.82
2010-11-01,124.58
2010-12-01,125.32
2011-01-01,126.34
2011-02-01,126.26
2011-03-01,127.71
2011-04-01,129.11
2011-05-01,128.1
2011-06-01,125.97
2011-07-01,128.69
2011-08-01,125.39
2011-09-01,124.21
2011-10-01,122.61
2011-11-01,122.42
2011-12-01,122.51
2012-01-01,123.61
2012-02-01,124.68
2012-03-01,125.25
2012-04-01,125.72
2012-05-01,124.49
2012-06-01,122.74
2012-07-01,124.31
2012-08-01,126.25
2012-09-01,126.88
2012-10-01,125.72
2012-11-01,124.72
2012-12-01,124.54
2013-01-01,124.01
2013-02-01,122.76
2013-03-01,121.34
2013-04-01,121.72
2013-05-01,121.83
2013-06-01,120.66
2013-07-01,119.78
2013-08-01,119.42
2013-09-01,119.86
2013-10-01,118.97
2013-11-01,118.03
2013-12-01,115.82
2014-01-01,113.13
2014-02-01,112.3
2014-03-01,111.87
2014-04-01,113.05
2014-05-01,114.33
2014-06-01,115.01
2014-07-01,115.94
2014-08-01,114.19
2014-09-01,113.95
2014-10-01,112.53
2014-11-01,112.01
2014-12-01,110.52
2015-01-01,106.77
2015-02-01,103.81
2015-03-01,104.11
2015-04-01,105.7
2015-05-01,107.25
2015-06-01,105.88
2015-07-01,102.43
2015-08-01,100.76
2015-09-01,99.92
2015-10-01,101.16
2015-11-01,100.38
2015-12-01,97.09
2016-01-01,94.61
2016-02-01,96.93
2016-03-01,100.79
2016-04-01,103.34
2016-05-01,103.2
2016-06-01,103.76
2016-07-01,102.87
2016-08-01,102.59
2016-09-01,101.8
2016-10-01,101.19
2016-11-01,100.33
2016-12-01,101.56
2017-01-01,103
2017-02-01,103.17
2017-03-01,100.73
2017-04-01,100.24
2017-05-01,98.58
2017-06-01,100.13
2017-07-01,104.33
2017-08-01,104.38
2017-09-01,106.52
2017-10-01,104.68
2017-11-01,103.56
2017-12-01,102.85
2018-01-01,104.89
2018-02-01,103.26
2018-03-01,100.71
2018-04-01,102.3
2018-05-01,102.28
2018-06-01,100.92
2018-07-01,101.62
2018-08-01,102.58
2018-09-01,101.96
2018-10-01,102.74
2018-11-01,101.45
2018-12-01,99.55
2019-01-01,99.9
2019-02-01,100.91
2019-03-01,100.07
2019-04-01,100.06
2019-05-01,100.2
2019-06-01,101.11
2019-07-01,102.93
2019-08-01,102.1
2019-09-01,101.82
2019-10-01,102
2019-11-01,101.26
2019-12-01,101.53
2020-01-01,101.96
2020-02-01,101.03
2020-03-01,97.05
2020-04-01,96.94
2020-05-01,97.8
2020-06-01,100.28
2020-07-01,99.84
2020-08-01,100.83
2020-09-01,100.44
2020-10-01,100.58
2020-11-01,101.25
2020-12-01,102.01
2021-01-01,102.67
2021-02-01,103.08
2021-03-01,104.74
2021-04-01,105.14
2021-05-01,107.9
2021-06-01,106.93
2021-07-01,105.03
2021-08-01,104.51
2021-09-01,103.79
2021-10-01,105.98
2021-11-01,105.01
2021-12-01,102.89
2022-01-01,104.39
2022-02-01,103.69
2022-03-01,105.09
2022-04-01,105.92
2022-05-01,105.84
2022-06-01,105.93
