"Date","COCANZ31"
2012-06-01,100
2012-07-01,97.1
2012-08-01,98.2
2012-09-01,98.4
2012-10-01,99.5
2012-11-01,103.7
2012-12-01,102.7
2013-01-01,103.7
2013-02-01,101
2013-03-01,100
2013-04-01,100.6
2013-05-01,100.5
2013-06-01,100.7
2013-07-01,100.6
2013-08-01,100.4
2013-09-01,99.9
2013-10-01,99.4
2013-11-01,98.4
2013-12-01,97.9
2014-01-01,98
2014-02-01,98.5
2014-03-01,99.6
2014-04-01,99.2
2014-05-01,97.8
2014-06-01,98.9
2014-07-01,102.3
2014-08-01,103.6
2014-09-01,102.8
2014-10-01,97.4
2014-11-01,96.8
2014-12-01,96.9
2015-01-01,95.9
2015-02-01,98.3
2015-03-01,93.8
2015-04-01,92.1
2015-05-01,94.1
2015-06-01,95.5
2015-07-01,95.9
2015-08-01,95.4
2015-09-01,92.8
2015-10-01,90.2
2015-11-01,90.1
2015-12-01,87
2016-01-01,85.9
2016-02-01,90.8
2016-03-01,89.6
2016-04-01,96.2
2016-05-01,100.9
2016-06-01,103.1
2016-07-01,103.5
2016-08-01,100.2
2016-09-01,99
2016-10-01,99
2016-11-01,101.6
2016-12-01,100
2017-01-01,98.4
2017-02-01,100.3
2017-03-01,100
2017-04-01,98.4
2017-05-01,99.5
2017-06-01,101
2017-07-01,102.1
2017-08-01,103.1
2017-09-01,102.9
2017-10-01,101.4
2017-11-01,101.2
2017-12-01,102.4
2018-01-01,99.8
2018-02-01,101.5
2018-03-01,102.9
2018-04-01,103.6
2018-05-01,105.3
2018-06-01,104.9
2018-07-01,103
2018-08-01,103
2018-09-01,102.6
2018-10-01,102.4
2018-11-01,102.2
2018-12-01,103.1
2019-01-01,103.1
2019-02-01,105
2019-03-01,105.1
2019-04-01,105.9
2019-05-01,106.3
2019-06-01,106.1
2019-07-01,104.4
2019-08-01,105.5
2019-09-01,104.1
2019-10-01,104.8
2019-11-01,105.8
2019-12-01,106.7
2020-01-01,107.8
2020-02-01,108.4
2020-03-01,106.2
2020-04-01,101.4
2020-05-01,101.9
2020-06-01,102.6
2020-07-01,101.9
2020-08-01,104
2020-09-01,104.4
2020-10-01,105.2
2020-11-01,107.9
2020-12-01,110.5
2021-01-01,111
2021-02-01,112.7
2021-03-01,115
2021-04-01,118
2021-05-01,121.1
2021-06-01,127
2021-07-01,130.1
2021-08-01,130.1
2021-09-01,129.8
2021-10-01,131.6
2021-11-01,130.8
2021-12-01,130.7
2022-01-01,134.1
2022-02-01,136.7
2022-03-01,137.6
2022-04-01,139.2
2022-05-01,140.5
2022-06-01,143.4
2022-07-01,142.3
2022-08-01,142.6
2022-09-01,144.4
2022-10-01,142.7
2022-11-01,143
2022-12-01,141.3
2023-01-01,139.7
2023-02-01,138.2
2023-03-01,135.7
2023-04-01,136.9
2023-05-01,135.7
2023-06-01,136
2023-07-01,136.9
2023-08-01,138.9
2023-09-01,133.3
2023-10-01,132.4
2023-11-01,129.6
