"Date","LFUN64FECAM647S"
1976-01-01,312700
1976-02-01,311800
1976-03-01,290400
1976-04-01,312300
1976-05-01,314800
1976-06-01,311100
1976-07-01,337300
1976-08-01,326400
1976-09-01,335200
1976-10-01,330500
1976-11-01,339400
1976-12-01,346400
1977-01-01,353100
1977-02-01,364600
1977-03-01,355400
1977-04-01,374800
1977-05-01,358200
1977-06-01,363000
1977-07-01,375700
1977-08-01,379900
1977-09-01,385900
1977-10-01,403800
1977-11-01,400800
1977-12-01,398500
1978-01-01,392000
1978-02-01,398000
1978-03-01,410100
1978-04-01,398800
1978-05-01,418100
1978-06-01,414900
1978-07-01,415600
1978-08-01,417400
1978-09-01,423100
1978-10-01,411000
1978-11-01,421100
1978-12-01,424000
1979-01-01,417700
1979-02-01,407300
1979-03-01,402200
1979-04-01,403900
1979-05-01,385800
1979-06-01,394700
1979-07-01,390700
1979-08-01,382700
1979-09-01,384400
1979-10-01,391200
1979-11-01,380300
1979-12-01,384100
1980-01-01,394600
1980-02-01,398100
1980-03-01,397700
1980-04-01,399500
1980-05-01,405900
1980-06-01,401200
1980-07-01,396400
1980-08-01,400400
1980-09-01,389700
1980-10-01,386200
1980-11-01,374000
1980-12-01,389400
1981-01-01,392600
1981-02-01,395000
1981-03-01,391900
1981-04-01,384800
1981-05-01,382800
1981-06-01,387200
1981-07-01,383900
1981-08-01,384700
1981-09-01,449900
1981-10-01,451700
1981-11-01,457500
1981-12-01,456100
1982-01-01,435700
1982-02-01,455500
1982-03-01,471800
1982-04-01,495600
1982-05-01,516900
1982-06-01,535500
1982-07-01,579200
1982-08-01,570700
1982-09-01,582800
1982-10-01,606900
1982-11-01,616400
1982-12-01,632400
1983-01-01,629900
1983-02-01,628900
1983-03-01,630800
1983-04-01,619900
1983-05-01,615600
1983-06-01,605900
1983-07-01,587400
1983-08-01,582100
1983-09-01,586300
1983-10-01,582600
1983-11-01,563600
1983-12-01,585000
1984-01-01,582700
1984-02-01,593400
1984-03-01,587500
1984-04-01,594700
1984-05-01,617700
1984-06-01,594800
1984-07-01,597300
1984-08-01,597900
1984-09-01,652000
1984-10-01,627300
1984-11-01,614900
1984-12-01,606100
1985-01-01,561800
1985-02-01,587400
1985-03-01,592300
1985-04-01,605100
1985-05-01,591100
1985-06-01,591400
1985-07-01,584100
1985-08-01,579300
1985-09-01,588600
1985-10-01,579500
1985-11-01,583500
1985-12-01,572900
1986-01-01,568100
1986-02-01,567500
1986-03-01,565900
1986-04-01,563500
1986-05-01,549000
1986-06-01,547000
1986-07-01,548600
1986-08-01,547600
1986-09-01,543600
1986-10-01,554700
1986-11-01,542000
1986-12-01,555000
1987-01-01,562500
1987-02-01,561400
1987-03-01,562600
1987-04-01,555600
1987-05-01,540900
1987-06-01,547700
1987-07-01,532800
1987-08-01,523400
1987-09-01,520800
1987-10-01,518000
1987-11-01,507400
1987-12-01,507500
1988-01-01,501800
1988-02-01,489200
1988-03-01,488300
1988-04-01,481900
1988-05-01,484300
1988-06-01,482800
1988-07-01,499400
1988-08-01,511600
1988-09-01,504000
1988-10-01,489000
1988-11-01,495700
1988-12-01,476200
1989-01-01,478900
1989-02-01,482200
1989-03-01,477500
1989-04-01,498000
1989-05-01,490100
1989-06-01,471700
1989-07-01,464400
1989-08-01,469100
1989-09-01,471900
1989-10-01,463800
1989-11-01,470400
1989-12-01,494600
1990-01-01,490100
1990-02-01,495100
1990-03-01,463000
1990-04-01,479800
1990-05-01,489800
1990-06-01,485400
1990-07-01,490200
1990-08-01,501000
1990-09-01,531800
1990-10-01,556400
1990-11-01,563000
1990-12-01,576800
1991-01-01,596400
1991-02-01,610700
1991-03-01,642400
1991-04-01,613100
1991-05-01,606000
1991-06-01,633700
1991-07-01,632300
1991-08-01,624500
1991-09-01,606600
1991-10-01,619100
1991-11-01,619400
1991-12-01,612500
1992-01-01,614500
1992-02-01,616000
1992-03-01,643500
1992-04-01,622400
1992-05-01,624400
1992-06-01,644400
1992-07-01,658500
1992-08-01,665100
1992-09-01,664800
1992-10-01,647300
1992-11-01,719500
1992-12-01,697100
1993-01-01,667000
1993-02-01,662400
1993-03-01,684400
1993-04-01,711900
1993-05-01,712700
1993-06-01,698500
1993-07-01,706400
1993-08-01,690400
1993-09-01,680600
1993-10-01,681700
1993-11-01,683900
1993-12-01,697900
1994-01-01,689100
1994-02-01,664700
1994-03-01,645600
1994-04-01,667800
