"Date","M0147A43M601NNBR"
1919-01-01,108.1
1919-02-01,86.5
1919-03-01,80.3
1919-04-01,77
1919-05-01,73.2
1919-06-01,67.1
1919-07-01,71.8
1919-08-01,73.3
1919-09-01,73.8
1919-10-01,76.7
1919-11-01,71.3
1919-12-01,68.3
1920-01-01,78.1
1920-02-01,71.1
1920-03-01,76.2
1920-04-01,58.9
1920-05-01,57.1
1920-06-01,54.7
1920-07-01,64.3
1920-08-01,72.6
1920-09-01,71.4
1920-10-01,81.7
1920-11-01,74.9
1920-12-01,74.3
1921-01-01,69.9
1921-02-01,59.2
1921-03-01,58.4
1921-04-01,46.3
1921-05-01,37.2
1921-06-01,41
1921-07-01,35.5
1921-08-01,34.9
1921-09-01,39.3
1921-10-01,35.7
1921-11-01,40.2
1921-12-01,39.6
1922-01-01,45.4
1922-02-01,43.1
1922-03-01,52.1
1922-04-01,54.9
1922-05-01,59.7
1922-06-01,65.9
1922-07-01,68.4
1922-08-01,78.5
1922-09-01,76.1
1922-10-01,81.1
1922-11-01,82.2
1922-12-01,81.4
1923-01-01,88.4
1923-02-01,78.2
1923-03-01,93
1923-04-01,85.5
1923-05-01,92.2
1923-06-01,90.8
1923-07-01,92.2
1923-08-01,102.8
1923-09-01,100.4
1923-10-01,115
1923-11-01,106.8
1923-12-01,118.4
1924-01-01,115.1
1924-02-01,102.4
1924-03-01,109.4
1924-04-01,108.1
1924-05-01,113.3
1924-06-01,102.2
1924-07-01,103.9
1924-08-01,106.3
1924-09-01,106
1924-10-01,111.2
1924-11-01,111.2
1924-12-01,111.2
1925-01-01,109.2
1925-02-01,109.2
1925-03-01,109.2
1925-04-01,112.4
1925-05-01,112.4
1925-06-01,112.4
1925-07-01,114.2
1925-08-01,110
1925-09-01,108.4
1925-10-01,121.6
1925-11-01,113.5
1925-12-01,119.5
1926-01-01,114
1926-02-01,110.5
1926-03-01,121.8
1926-04-01,116.3
1926-05-01,113.9
1926-06-01,116.7
1926-07-01,119
1926-08-01,128.9
1926-09-01,123.4
1926-10-01,123.1
1926-11-01,126.3
1926-12-01,126.4
1927-01-01,133.1
1927-02-01,122.7
1927-03-01,127
1927-04-01,125.8
1927-05-01,125.6
1927-06-01,113.2
1927-07-01,118.1
1927-08-01,119.8
1927-09-01,119.1
1927-10-01,124.9
1927-11-01,118.3
1927-12-01,128.9
1928-01-01,122.7
1928-02-01,124.8
1928-03-01,129
1928-04-01,122.8
1928-05-01,129.2
1928-06-01,131
1928-07-01,135.1
1928-08-01,143.6
1928-09-01,137
1928-10-01,149.2
1928-11-01,155.4
1928-12-01,147.9
1929-01-01,154.5
1929-02-01,141.4
1929-03-01,163.6
1929-04-01,161.3
1929-05-01,161.8
1929-06-01,156.4
1929-07-01,153.5
1929-08-01,148.6
1929-09-01,134.3
1929-10-01,152.8
1929-11-01,145.4
1929-12-01,138.2
1930-01-01,132.4
1930-02-01,121.2
1930-03-01,127.1
1930-04-01,124.5
1930-05-01,132.2
1930-06-01,124.8
1930-07-01,123.2
1930-08-01,120.8
1930-09-01,116
1930-10-01,118.2
1930-11-01,112.6
1930-12-01,106.4
1931-01-01,102.5
1931-02-01,99.9
1931-03-01,102.1
1931-04-01,100.5
1931-05-01,102.7
1931-06-01,98.3
1931-07-01,96.4
1931-08-01,90.2
1931-09-01,86.7
1931-10-01,90.5
1931-11-01,80.8
1931-12-01,86.2
1932-01-01,68.4
1932-02-01,62.4
1932-03-01,55.4
1932-04-01,54.6
1932-05-01,56.3
1932-06-01,54.9
1932-07-01,53.8
1932-08-01,45.8
1932-09-01,45.6
1932-10-01,56.8
1932-11-01,50.9
1932-12-01,49.1
1933-01-01,44.2
1933-02-01,48.8
1933-03-01,45.6
1933-04-01,46.3
1933-05-01,51.7
1933-06-01,52.5
1933-07-01,57.2
1933-08-01,61.9
1933-09-01,65.8
1933-10-01,64.2
1933-11-01,67.1
1933-12-01,63.7
1934-01-01,64
1934-02-01,71.1
1934-03-01,76.3
1934-04-01,70
1934-05-01,73.2
1934-06-01,72.2
1934-07-01,76.1
1934-08-01,80.2
1934-09-01,78.2
1934-10-01,88.8
1934-11-01,83.4
1934-12-01,83.6
1935-01-01,88.7
1935-02-01,83.8
1935-03-01,92.3
1935-04-01,100.3
1935-05-01,96.8
1935-06-01,92.4
1935-07-01,88.4
1935-08-01,85.6
1935-09-01,88.8
1935-10-01,93.6
1935-11-01,101.2
1935-12-01,105.8
1936-01-01,111
1936-02-01,102.3
1936-03-01,112.1
1936-04-01,102.8
1936-05-01,105.1
1936-06-01,104.3
1936-07-01,104.2
1936-08-01,109.8
1936-09-01,111.1
1936-10-01,126
1936-11-01,126.6
1936-12-01,127
1937-01-01,134.1
1937-02-01,133
1937-03-01,154.3
1937-04-01,160.6
1937-05-01,168.8
1937-06-01,160.6
1937-07-01,155
1937-08-01,149.3
1937-09-01,161.4
1937-10-01,150.7
1937-11-01,144.1
1937-12-01,135.9
1938-01-01,133
1938-02-01,120.3
1938-03-01,126.2
1938-04-01,122.9
1938-05-01,111.4
1938-06-01,104.9
1938-07-01,98.5
1938-08-01,107.1
1938-09-01,117.6
1938-10-01,120.7
1938-11-01,138.4
1938-12-01,137.3
1939-01-01,84.6
1939-02-01,80.9
1939-03-01,89.7
1939-04-01,85.2
1939-05-01,89.3
1939-06-01,86.3
1939-07-01,80.5
1939-08-01,84.2
1939-09-01,88.5
1939-10-01,95.4
1939-11-01,106.1
1939-12-01,115.9
1940-01-01,120.6
1940-02-01,115.5
1940-03-01,117.6
1940-04-01,113.6
1940-05-01,118.9
1940-06-01,110.1
1940-07-01,109.5
1940-08-01,117.7
1940-09-01,104
1940-10-01,119.3
1940-11-01,121.1
1940-12-01,125.3
1941-01-01,126.2
1941-02-01,122.1
1941-03-01,127.2
1941-04-01,127.1
1941-05-01,132.9
1941-06-01,115.4
1941-07-01,127.1
1941-08-01,118.5
1941-09-01,118.3
1941-10-01,119
1941-11-01,119
1941-12-01,122.3
1942-01-01,118
1942-02-01,108.1
1942-03-01,122.5
1942-04-01,123.7
1942-05-01,122
1942-06-01,125.9
1942-07-01,135
1942-08-01,128.6
1942-09-01,128.3
1942-10-01,132.9
1942-11-01,128.1
1942-12-01,129.3
1943-01-01,128.4
1943-02-01,122.8
1943-03-01,144.9
1943-04-01,128.5
1943-05-01,135.2
1943-06-01,122.1
1943-07-01,129.7
1943-08-01,121.4
1943-09-01,121.8
1943-10-01,122.6
1943-11-01,117.6
1943-12-01,126.1
1944-01-01,120.3
1944-02-01,111.1
1944-03-01,122.4
1944-04-01,120.2
1944-05-01,127.8
1944-06-01,117.8
1944-07-01,116
1944-08-01,105.7
1944-09-01,105.6
1944-10-01,100.5
1944-11-01,101.2
1944-12-01,98.3
1945-01-01,95.3
1945-02-01,92.2
1945-03-01,112.4
1945-04-01,107.1
1945-05-01,112
1945-06-01,104.3
1945-07-01,100
1945-08-01,91.5
1945-09-01,83.5
1945-10-01,91.9
1945-11-01,99.1
1945-12-01,93.1
1946-01-01,98.9
1946-02-01,87.3
1946-03-01,32.5
1946-04-01,31.4
1946-05-01,32
1946-06-01,44.2
1946-07-01,85.3
1946-08-01,105.8
1946-09-01,103.6
1946-10-01,117.6
1946-11-01,104.5
1946-12-01,118.8
