"Date","XTEXVA01CAM664S"
1973-04-01,2093681713.34252
1973-05-01,2045749328.6032
1973-06-01,2050896242.63498
1973-07-01,2155314539.48229
1973-08-01,2025161483.89125
1973-09-01,2110718865.37356
1973-10-01,2265537030.99728
1973-11-01,2383503313.33364
1973-12-01,2311865416.77469
1974-01-01,2410198183.98769
1974-02-01,2433819664.68789
1974-03-01,2629200821.23221
1974-04-01,2559756809.52283
1974-05-01,2737045489.11025
1974-06-01,2535749791.73476
1974-07-01,2780926543.89619
1974-08-01,2921168635.62699
1974-09-01,2896928269.76911
1974-10-01,2871881127.01448
1974-11-01,2875390218.89235
1974-12-01,2803905562.90401
1975-01-01,2806551871.93113
1975-02-01,2720380452.90926
1975-03-01,2608609305.75712
1975-04-01,2667941813.6754
1975-05-01,2743791988.76078
1975-06-01,2822246352.90298
1975-07-01,2731654051.17481
1975-08-01,2656301716.22559
1975-09-01,2870445877.93906
1975-10-01,2838635559.94599
1975-11-01,2898530842.57235
1975-12-01,2966918718.4376
1976-01-01,3023585635.59521
1976-02-01,3100291192.48077
1976-03-01,2936206591.26651
1976-04-01,3137603741.5702
1976-05-01,3131648614.2646
1976-06-01,3280352323.06881
1976-07-01,3240176113.19956
1976-08-01,3408188228.86434
1976-09-01,3322005830.75688
1976-10-01,3188794645.46271
1976-11-01,3219401765.80299
1976-12-01,3410768134.06558
1977-01-01,3378304754.32815
1977-02-01,3452333970.20025
1977-03-01,3769771839.21801
1977-04-01,3668188055.52228
1977-05-01,3632411922.4451
1977-06-01,3721834898.31035
1977-07-01,3882065407.92612
1977-08-01,3812853082.89977
1977-09-01,3585143191.74898
1977-10-01,4044887723.67707
1977-11-01,3497922690.7423
1977-12-01,4246361771.575
1978-01-01,3645420679.99136
1978-02-01,4325461335.12679
1978-03-01,3900401388.19574
1978-04-01,4954583830.40399
1978-05-01,4262596857.23413
1978-06-01,4247030624.64064
1978-07-01,4293679782.69379
1978-08-01,4282959158.02785
1978-09-01,4882819330.61517
1978-10-01,4601947454.65392
1978-11-01,5011508516.84622
1978-12-01,4904212581.03367
1979-01-01,5114226630.70481
1979-02-01,4819470841.01762
1979-03-01,5268358101.06686
1979-04-01,5022657817.0651
1979-05-01,5293836860.08484
1979-06-01,5116513788.39704
1979-07-01,5411698930.17573
1979-08-01,5965814206.83069
1979-09-01,6016532877.2532
1979-10-01,5864742926.46704
1979-11-01,5704427017.45591
1979-12-01,6070798783.97411
1980-01-01,5992021110.28062
1980-02-01,6271512404.71302
1980-03-01,6420099244.32226
1980-04-01,6290030500.60232
1980-05-01,5699454319.55774
1980-06-01,6183544358.43631
1980-07-01,6282745699.50268
1980-08-01,6375064573.05096
1980-09-01,6248153428.6582
1980-10-01,6750459752.80648
1980-11-01,6800193458.79451
1980-12-01,6622531961.14237
1981-01-01,6986196129.10929
1981-02-01,6724042971.23505
1981-03-01,6724046487.48013
