"Date","LFWA25MACAM647N"
1976-01-01,4325500
1976-02-01,4335500
1976-03-01,4345500
1976-04-01,4355500
1976-05-01,4365300
1976-06-01,4375200
1976-07-01,4385200
1976-08-01,4395200
1976-09-01,4403100
1976-10-01,4410800
1976-11-01,4418500
1976-12-01,4425500
1977-01-01,4434700
1977-02-01,4443600
1977-03-01,4451100
1977-04-01,4459300
1977-05-01,4469400
1977-06-01,4477000
1977-07-01,4480900
1977-08-01,4490500
1977-09-01,4498000
1977-10-01,4505500
1977-11-01,4513000
1977-12-01,4520300
1978-01-01,4529600
1978-02-01,4538700
1978-03-01,4546100
1978-04-01,4554200
1978-05-01,4564400
1978-06-01,4572000
1978-07-01,4575000
1978-08-01,4584100
1978-09-01,4591400
1978-10-01,4598900
1978-11-01,4606300
1978-12-01,4613800
1979-01-01,4623300
1979-02-01,4632700
1979-03-01,4640400
1979-04-01,4650500
1979-05-01,4658500
1979-06-01,4666800
1979-07-01,4672400
1979-08-01,4680600
1979-09-01,4689100
1979-10-01,4700300
1979-11-01,4709400
1979-12-01,4718600
1980-01-01,4729600
1980-02-01,4738700
1980-03-01,4747700
1980-04-01,4758900
1980-05-01,4768200
1980-06-01,4780000
1980-07-01,4784100
1980-08-01,4793000
1980-09-01,4804300
1980-10-01,4813300
1980-11-01,4822100
1980-12-01,4830700
1981-01-01,4841400
1981-02-01,4851800
1981-03-01,4860500
1981-04-01,4869400
1981-05-01,4878600
1981-06-01,4889500
1981-07-01,4893500
1981-08-01,4902900
1981-09-01,4914600
1981-10-01,4924400
1981-11-01,4934200
1981-12-01,4944200
1982-01-01,4956400
1982-02-01,4968200
1982-03-01,4978100
1982-04-01,4988100
1982-05-01,4998300
1982-06-01,5010600
1982-07-01,5012900
1982-08-01,5024000
1982-09-01,5032800
1982-10-01,5041900
1982-11-01,5051000
1982-12-01,5059900
1983-01-01,5071000
1983-02-01,5082000
1983-03-01,5090800
1983-04-01,5099800
1983-05-01,5111000
1983-06-01,5119600
1983-07-01,5123200
1983-08-01,5133500
1983-09-01,5141900
1983-10-01,5150500
1983-11-01,5159300
1983-12-01,5168000
1984-01-01,5178400
1984-02-01,5189200
1984-03-01,5197900
1984-04-01,5208800
1984-05-01,5217900
1984-06-01,5226700
1984-07-01,5233800
1984-08-01,5242600
1984-09-01,5251300
1984-10-01,5262200
1984-11-01,5270900
1984-12-01,5279500
1985-01-01,5290200
1985-02-01,5298800
1985-03-01,5307500
1985-04-01,5318600
1985-05-01,5327800
1985-06-01,5336800
1985-07-01,5344900
1985-08-01,5354000
1985-09-01,5365500
1985-10-01,5374900
1985-11-01,5384300
1985-12-01,5393300
1986-01-01,5404800
1986-02-01,5413900
1986-03-01,5423300
1986-04-01,5435200
1986-05-01,5445000
1986-06-01,5457100
1986-07-01,5464100
1986-08-01,5473300
1986-09-01,5484800
1986-10-01,5494200
1986-11-01,5503700
1986-12-01,5513700
1987-01-01,5525800
1987-02-01,5538300
1987-03-01,5548700
1987-04-01,5559400
1987-05-01,5570200
1987-06-01,5584000
1987-07-01,5594900
1987-08-01,5605700
1987-09-01,5619300
1987-10-01,5629900
1987-11-01,5640800
1987-12-01,5651000
1988-01-01,5663700
1988-02-01,5676600
1988-03-01,5687500
1988-04-01,5698700
1988-05-01,5713000
1988-06-01,5724300
1988-07-01,5735700
1988-08-01,5750200
1988-09-01,5761200
1988-10-01,5772200
1988-11-01,5783200
1988-12-01,5794100
1989-01-01,5810100
1989-02-01,5821100
1989-03-01,5832500
1989-04-01,5843800
1989-05-01,5858200
1989-06-01,5869600
1989-07-01,5881200
1989-08-01,5895300
1989-09-01,5906300
1989-10-01,5919800
1989-11-01,5930800
1989-12-01,5941600
1990-01-01,5954200
1990-02-01,5964200
1990-03-01,5974600
1990-04-01,5988400
1990-05-01,5999400
1990-06-01,6010200
1990-07-01,6023200
1990-08-01,6032700
1990-09-01,6041400
1990-10-01,6051300
1990-11-01,6059700
1990-12-01,6067700
1991-01-01,6076800
1991-02-01,6084500
1991-03-01,6092700
1991-04-01,6102500
1991-05-01,6110600
1991-06-01,6118300
1991-07-01,6128400
1991-08-01,6136500
1991-09-01,6147400
1991-10-01,6156100
1991-11-01,6166800
1991-12-01,6178200
1992-01-01,6190300
1992-02-01,6199000
1992-03-01,6212000
1992-04-01,6222000
1992-05-01,6232200
1992-06-01,6244300
1992-07-01,6251100
1992-08-01,6257200
1992-09-01,6264800
1992-10-01,6270800
1992-11-01,6276300
1992-12-01,6282000
1993-01-01,6288500
