"Date","M0534C44M601NNBR"
1937-01-01,189.9
1937-02-01,247.4
1937-03-01,268.2
1937-04-01,252.5
1937-05-01,275.8
1937-06-01,278.5
1937-07-01,299.3
1937-08-01,299.6
1937-09-01,313.9
1937-10-01,285.7
1937-11-01,208.1
1937-12-01,111.8
1938-01-01,185.2
1938-02-01,232.2
1938-03-01,285
1938-04-01,279.3
1938-05-01,294.9
1938-06-01,287.4
1938-07-01,272.6
1938-08-01,281.8
1938-09-01,271.9
1938-10-01,268.9
1938-11-01,245.4
1938-12-01,226.8
1939-01-01,245.8
1939-02-01,277.1
1939-03-01,298.1
1939-04-01,311.5
1939-05-01,285.4
1939-06-01,292
1939-07-01,303
1939-08-01,301.4
1939-09-01,282.4
1939-10-01,286.1
1939-11-01,289.3
1939-12-01,271
1940-01-01,284.6
1940-02-01,312.5
1940-03-01,319.7
1940-04-01,320.4
1940-05-01,301.1
1940-06-01,269.4
1940-07-01,249.8
1940-08-01,248.8
1940-09-01,247.3
1940-10-01,273.6
1940-11-01,273.9
1940-12-01,237.6
1941-01-01,262.7
1941-02-01,274.9
1941-03-01,293.6
1941-04-01,279.8
1941-05-01,280.2
1941-06-01,271.6
1941-07-01,258.4
1941-08-01,255.1
1941-09-01,252.2
1941-10-01,257
1941-11-01,232.7
1941-12-01,200.8
1942-01-01,229.8
1942-02-01,255.7
1942-03-01,247.5
1942-04-01,287.4
1942-05-01,284
1942-06-01,269.9
1942-07-01,265.7
1942-08-01,254.8
1942-09-01,207.9
1942-10-01,177.8
1942-11-01,165.9
1942-12-01,168.4
1943-01-01,188.4
1943-02-01,189.1
1943-03-01,189.6
1943-04-01,165.5
1943-05-01,166.2
1943-06-01,142.5
1943-07-01,116.7
1943-08-01,113
1943-09-01,117.4
1943-10-01,129.5
1943-11-01,122
1943-12-01,115.6
1944-01-01,155.3
1944-02-01,174
1944-03-01,190.9
1944-04-01,164.8
1944-05-01,160.8
1944-06-01,131
1944-07-01,117.1
1944-08-01,117.7
1944-09-01,103.8
1944-10-01,89.4
1944-11-01,99.6
1944-12-01,105.1
1945-01-01,144.3
1945-02-01,168.1
1945-03-01,169
1945-04-01,161.7
1945-05-01,163.8
1945-06-01,163.9
1945-07-01,145.6
1945-08-01,121.2
1945-09-01,117.8
1945-10-01,130.3
1945-11-01,134
1945-12-01,143.1
1946-01-01,157.9
1946-02-01,189.9
1946-03-01,208.8
1946-04-01,196.3
1946-05-01,190.9
1946-06-01,199.5
1946-07-01,199.3
1946-08-01,206.5
1946-09-01,204.6
1946-10-01,203.6
1946-11-01,174.8
1946-12-01,161.7
1947-01-01,195.6
1947-02-01,222.6
1947-03-01,229
1947-04-01,219
1947-05-01,204.2
1947-06-01,165.8
1947-07-01,163.8
1947-08-01,156.6
1947-09-01,144.8
1947-10-01,146.6
1947-11-01,119.5
1947-12-01,101.7
1948-01-01,129.1
1948-02-01,147.6
1948-03-01,159.5
1948-04-01,169.3
1948-05-01,148.2
1948-06-01,140
1948-07-01,155.6
1948-08-01,156.2
1948-09-01,131.9
1948-10-01,148
1948-11-01,138.6
1948-12-01,118.1
1949-01-01,129.4
1949-02-01,150.4
1949-03-01,187.5
1949-04-01,202.5
1949-05-01,185.9
1949-06-01,177
1949-07-01,185.4
1949-08-01,199.2
1949-09-01,177.7
1949-10-01,178.7
1949-11-01,144.2
1949-12-01,132
1950-01-01,144.2
1950-02-01,165
1950-03-01,191.2
1950-04-01,185.5
1950-05-01,169.3
1950-06-01,168
1950-07-01,144.6
1950-08-01,193.4
1950-09-01,146.4
1950-10-01,135.2
1950-11-01,118
1950-12-01,97.5
1951-01-01,126.8
1951-02-01,150.5
1951-03-01,153.3
1951-04-01,153.8
1951-05-01,156.1
1951-06-01,142.5
1951-07-01,153.6
1951-08-01,159.1
1951-09-01,160.7
1951-10-01,158.3
1951-11-01,135.6
1951-12-01,109.5
1952-01-01,136.9
1952-02-01,151.2
1952-03-01,175.4
1952-04-01,179.2
1952-05-01,182.3
1952-06-01,151.4
1952-07-01,152.9
1952-08-01,149.7
1952-09-01,150.4
1952-10-01,166.4
1952-11-01,130.3
1952-12-01,134.2
1953-01-01,140.1
1953-02-01,170.4
1953-03-01,219.5
1953-04-01,191.2
1953-05-01,205
1953-06-01,182.9
1953-07-01,177.3
1953-08-01,161.8
1953-09-01,146.8
1953-10-01,151.8
1953-11-01,135.4
1953-12-01,119.3
1954-01-01,144.1
1954-02-01,166.2
1954-03-01,197.8
1954-04-01,195.5
1954-05-01,193.1
1954-06-01,160.3
1954-07-01,182.3
1954-08-01,167.6
1954-09-01,174.6
1954-10-01,161.7
1954-11-01,139.4
1954-12-01,131.2
1955-01-01,157.5
1955-02-01,172
1955-03-01,199.5
1955-04-01,177.4
1955-05-01,176.1
1955-06-01,138.3
1955-07-01,129.2
1955-08-01,132
1955-09-01,134.3
1955-10-01,126.4
1955-11-01,121.7
1955-12-01,88.4
1956-01-01,108.4
