"Date","LFEM64FECAM647S"
1976-01-01,3503700
1976-02-01,3516000
1976-03-01,3535100
1976-04-01,3546000
1976-05-01,3563400
1976-06-01,3581800
1976-07-01,3583700
1976-08-01,3602700
1976-09-01,3600900
1976-10-01,3610600
1976-11-01,3629900
1976-12-01,3651600
1977-01-01,3652400
1977-02-01,3659700
1977-03-01,3663100
1977-04-01,3671100
1977-05-01,3691200
1977-06-01,3687700
1977-07-01,3686900
1977-08-01,3691600
1977-09-01,3705700
1977-10-01,3712000
1977-11-01,3719100
1977-12-01,3741600
1978-01-01,3753800
1978-02-01,3773700
1978-03-01,3791000
1978-04-01,3816100
1978-05-01,3822100
1978-06-01,3844200
1978-07-01,3879700
1978-08-01,3894000
1978-09-01,3914500
1978-10-01,3943900
1978-11-01,3962000
1978-12-01,3982600
1979-01-01,4001000
1979-02-01,4022100
1979-03-01,4035300
1979-04-01,4041000
1979-05-01,4053100
1979-06-01,4072000
1979-07-01,4105100
1979-08-01,4135000
1979-09-01,4126900
1979-10-01,4171100
1979-11-01,4195500
1979-12-01,4204100
1980-01-01,4227300
1980-02-01,4229500
1980-03-01,4248300
1980-04-01,4277700
1980-05-01,4267500
1980-06-01,4285200
1980-07-01,4296500
1980-08-01,4308000
1980-09-01,4342400
1980-10-01,4369100
1980-11-01,4369200
1980-12-01,4370900
1981-01-01,4401200
1981-02-01,4460100
1981-03-01,4455200
1981-04-01,4464700
1981-05-01,4522700
1981-06-01,4556000
1981-07-01,4535700
1981-08-01,4545600
1981-09-01,4545300
1981-10-01,4540700
1981-11-01,4538900
1981-12-01,4521700
1982-01-01,4531400
1982-02-01,4519700
1982-03-01,4512600
1982-04-01,4488700
1982-05-01,4475500
1982-06-01,4456800
1982-07-01,4441500
1982-08-01,4434700
1982-09-01,4425100
1982-10-01,4428500
1982-11-01,4434700
1982-12-01,4444700
1983-01-01,4454700
1983-02-01,4460900
1983-03-01,4489500
1983-04-01,4516300
1983-05-01,4531200
1983-06-01,4567800
1983-07-01,4588500
1983-08-01,4607400
1983-09-01,4616900
1983-10-01,4626600
1983-11-01,4635000
1983-12-01,4646700
1984-01-01,4634500
1984-02-01,4650300
1984-03-01,4660200
1984-04-01,4645200
1984-05-01,4678500
1984-06-01,4690400
1984-07-01,4705200
1984-08-01,4711900
1984-09-01,4729800
1984-10-01,4730900
1984-11-01,4764700
1984-12-01,4780800
1985-01-01,4808300
1985-02-01,4826300
1985-03-01,4841200
1985-04-01,4849000
1985-05-01,4869600
1985-06-01,4876000
1985-07-01,4896400
1985-08-01,4924000
1985-09-01,4945600
1985-10-01,4965700
1985-11-01,4984900
1985-12-01,5014000
1986-01-01,5027900
1986-02-01,5039300
1986-03-01,5045400
1986-04-01,5073300
1986-05-01,5071000
1986-06-01,5100700
1986-07-01,5109800
1986-08-01,5111800
1986-09-01,5112300
1986-10-01,5113900
1986-11-01,5122800
1986-12-01,5124400
1987-01-01,5142100
1987-02-01,5160900
1987-03-01,5191200
1987-04-01,5210600
1987-05-01,5236000
1987-06-01,5242900
1987-07-01,5266100
1987-08-01,5279900
1987-09-01,5302500
1987-10-01,5331600
1987-11-01,5354500
1987-12-01,5391800
1988-01-01,5387500
1988-02-01,5418300
1988-03-01,5432300
1988-04-01,5449600
1988-05-01,5466700
1988-06-01,5473400
1988-07-01,5483200
1988-08-01,5485200
1988-09-01,5506200
1988-10-01,5544300
1988-11-01,5546000
1988-12-01,5571400
1989-01-01,5595700
1989-02-01,5592700
1989-03-01,5621600
1989-04-01,5612800
1989-05-01,5608000
1989-06-01,5615200
1989-07-01,5628800
1989-08-01,5653800
1989-09-01,5668000
1989-10-01,5680400
1989-11-01,5696900
1989-12-01,5713200
1990-01-01,5720900
1990-02-01,5738700
1990-03-01,5734700
1990-04-01,5753700
1990-05-01,5749200
1990-06-01,5775700
1990-07-01,5776300
1990-08-01,5769300
1990-09-01,5760000
1990-10-01,5745200
1990-11-01,5734400
1990-12-01,5720100
1991-01-01,5709800
1991-02-01,5705100
1991-03-01,5711200
1991-04-01,5730700
1991-05-01,5749000
1991-06-01,5750000
1991-07-01,5747900
1991-08-01,5755400
1991-09-01,5744100
1991-10-01,5746600
1991-11-01,5728400
1991-12-01,5726800
1992-01-01,5728000
1992-02-01,5739800
1992-03-01,5707400
1992-04-01,5718900
1992-05-01,5709700
1992-06-01,5702000
1992-07-01,5707200
1992-08-01,5702900
1992-09-01,5691900
1992-10-01,5710900
1992-11-01,5711900
1992-12-01,5715500
1993-01-01,5714700
1993-02-01,5717500
1993-03-01,5721600
