"Date","LFUN55TTCAM647S"
1976-01-01,36100
1976-02-01,26600
1976-03-01,6600
1976-04-01,27400
1976-05-01,33600
1976-06-01,52100
1976-07-01,57100
1976-08-01,50400
1976-09-01,65100
1976-10-01,38500
1976-11-01,50600
1976-12-01,49400
1977-01-01,49100
1977-02-01,48600
1977-03-01,34300
1977-04-01,52000
1977-05-01,50700
1977-06-01,60800
1977-07-01,64400
1977-08-01,56900
1977-09-01,50900
1977-10-01,36700
1977-11-01,62900
1977-12-01,62000
1978-01-01,59900
1978-02-01,59100
1978-03-01,61700
1978-04-01,66200
1978-05-01,57800
1978-06-01,60500
1978-07-01,66500
1978-08-01,61000
1978-09-01,64100
1978-10-01,46600
1978-11-01,59800
1978-12-01,57500
1979-01-01,57900
1979-02-01,48700
1979-03-01,50000
1979-04-01,54600
1979-05-01,50100
1979-06-01,53800
1979-07-01,60800
1979-08-01,62300
1979-09-01,70400
1979-10-01,54500
1979-11-01,49700
1979-12-01,53200
1980-01-01,44400
1980-02-01,48800
1980-03-01,45400
1980-04-01,45700
1980-05-01,50500
1980-06-01,50600
1980-07-01,58200
1980-08-01,63400
1980-09-01,65100
1980-10-01,60800
1980-11-01,58500
1980-12-01,59300
1981-01-01,38600
1981-02-01,37200
1981-03-01,28300
1981-04-01,34800
1981-05-01,41500
1981-06-01,48300
1981-07-01,56300
1981-08-01,63300
1981-09-01,71600
1981-10-01,56199.9999999999
1981-11-01,60600
1981-12-01,66200
1982-01-01,59800.0000000001
1982-02-01,58500
1982-03-01,66900
1982-04-01,66400
1982-05-01,73300
1982-06-01,63700
1982-07-01,81800
1982-08-01,66100
1982-09-01,61200
1982-10-01,57500
1982-11-01,83800
1982-12-01,92600
1983-01-01,127500
1983-02-01,125600
1983-03-01,140700
1983-04-01,117900
1983-05-01,109800
1983-06-01,79900
1983-07-01,91000
1983-08-01,80300
1983-09-01,74900
1983-10-01,75400
1983-11-01,79000
1983-12-01,98800
1984-01-01,98300
1984-02-01,98700
1984-03-01,103300
1984-04-01,95600
1984-05-01,99700
1984-06-01,73200
1984-07-01,86700
1984-08-01,82700
1984-09-01,87500
1984-10-01,99400
1984-11-01,94600
1984-12-01,92200
1985-01-01,109800
1985-02-01,107900
1985-03-01,117200
1985-04-01,107700
1985-05-01,101700
1985-06-01,79700
1985-07-01,92000
1985-08-01,94300
1985-09-01,97100
1985-10-01,104900
1985-11-01,86500
1985-12-01,92300
1986-01-01,87400
1986-02-01,93900
1986-03-01,90600
1986-04-01,80000
1986-05-01,88000
1986-06-01,81600
1986-07-01,79000
1986-08-01,93500
1986-09-01,87700
1986-10-01,92100
1986-11-01,73900
1986-12-01,86100
1987-01-01,91000
1987-02-01,78600
1987-03-01,86000
1987-04-01,87800
1987-05-01,80400
1987-06-01,82800
1987-07-01,86800
1987-08-01,84000
1987-09-01,85500
1987-10-01,96100
1987-11-01,74800
1987-12-01,87700
1988-01-01,69600
1988-02-01,63800
1988-03-01,57899.9999999999
1988-04-01,62400
1988-05-01,70600
1988-06-01,74800
1988-07-01,74800
1988-08-01,85600
1988-09-01,88600
1988-10-01,87100
1988-11-01,76300
1988-12-01,82600.0000000001
1989-01-01,57400.0000000001
1989-02-01,62900
1989-03-01,60500
1989-04-01,74300
1989-05-01,62200
1989-06-01,80400
1989-07-01,65000
1989-08-01,74200.0000000001
