"Date","CANLOCODWORMLSAM"
1960-01-01,9833.33333333334
1960-02-01,7558.33333333333
1960-03-01,7041.66666666667
1960-04-01,7658.33333333333
1960-05-01,7850
1960-06-01,8841.66666666667
1960-07-01,10158.3333333333
1960-08-01,8666.66666666666
1960-09-01,9608.33333333334
1960-10-01,9991.66666666666
1960-11-01,9416.66666666666
1960-12-01,10700
1961-01-01,10408.3333333333
1961-02-01,12100
1961-03-01,11716.6666666667
1961-04-01,10775
1961-05-01,10100
1961-06-01,10816.6666666667
1961-07-01,9858.33333333334
1961-08-01,11008.3333333333
1961-09-01,10858.3333333333
1961-10-01,9791.66666666666
1961-11-01,10058.3333333333
1961-12-01,9058.33333333333
1962-01-01,10425
1962-02-01,10075
1962-03-01,10625
1962-04-01,11600
1962-05-01,10575
1962-06-01,11433.3333333333
1962-07-01,11000
1962-08-01,10925
1962-09-01,10675
1962-10-01,11283.3333333333
1962-11-01,10225
1962-12-01,10058.3333333333
1963-01-01,10250
1963-02-01,11125
1963-03-01,11600
1963-04-01,11216.6666666667
1963-05-01,12683.3333333333
1963-06-01,11591.6666666667
1963-07-01,12950
1963-08-01,12533.3333333333
1963-09-01,12900
1963-10-01,12658.3333333333
1963-11-01,12116.6666666667
1963-12-01,15308.3333333333
1964-01-01,14533.3333333333
1964-02-01,15025
1964-03-01,12483.3333333333
1964-04-01,12450
1964-05-01,12225
1964-06-01,12316.6666666667
1964-07-01,14058.3333333333
1964-08-01,13625
1964-09-01,13541.6666666667
1964-10-01,15191.6666666667
1964-11-01,16950
1964-12-01,13816.6666666667
1965-01-01,12133.3333333333
1965-02-01,13558.3333333333
1965-03-01,13950
1965-04-01,14125
1965-05-01,14083.3333333333
1965-06-01,14516.6666666667
1965-07-01,13683.3333333333
1965-08-01,16800
1965-09-01,13091.6666666667
1965-10-01,13025
1965-11-01,13700
1965-12-01,13516.6666666667
1966-01-01,13983.3333333333
1966-02-01,13141.6666666667
1966-03-01,12833.3333333333
1966-04-01,10191.6666666667
1966-05-01,10725
1966-06-01,10066.6666666667
1966-07-01,10366.6666666667
1966-08-01,9975
1966-09-01,11616.6666666667
1966-10-01,12533.3333333333
1966-11-01,11166.6666666667
1966-12-01,10833.3333333333
1967-01-01,10025
1967-02-01,9325
1967-03-01,10241.6666666667
1967-04-01,12575
1967-05-01,16316.6666666667
1967-06-01,15875
1967-07-01,15258.3333333333
1967-08-01,15050
1967-09-01,15100
1967-10-01,14333.3333333333
1967-11-01,12491.6666666667
1967-12-01,11550
1968-01-01,14350
1968-02-01,15941.6666666667
1968-03-01,15933.3333333333
1968-04-01,16383.3333333333
1968-05-01,17316.6666666667
1968-06-01,16800
1968-07-01,15983.3333333333
1968-08-01,15933.3333333333
1968-09-01,13308.3333333333
1968-10-01,17050
1968-11-01,18583.3333333333
1968-12-01,18066.6666666667
1969-01-01,20900
1969-02-01,25358.3333333333
1969-03-01,20691.6666666667
1969-04-01,20566.6666666667
1969-05-01,18441.6666666667
1969-06-01,18475
1969-07-01,16541.6666666667
1969-08-01,18058.3333333333
1969-09-01,15816.6666666667
1969-10-01,15175
1969-11-01,13341.6666666667
1969-12-01,14800
1970-01-01,14300
1970-02-01,13450
1970-03-01,14141.6666666667
1970-04-01,13408.3333333333
1970-05-01,10491.6666666667
1970-06-01,12333.3333333333
1970-07-01,15475
1970-08-01,15483.3333333333
1970-09-01,16050
1970-10-01,21516.6666666667
1970-11-01,20050
1970-12-01,20525
1971-01-01,16716.6666666667
1971-02-01,17750
1971-03-01,16841.6666666667
1971-04-01,21208.3333333333
1971-05-01,17991.6666666667
1971-06-01,19216.6666666667
1971-07-01,19616.6666666667
1971-08-01,20083.3333333333
1971-09-01,20183.3333333333
1971-10-01,19866.6666666667
1971-11-01,20966.6666666667
1971-12-01,20891.6666666667
1972-01-01,18250
1972-02-01,24141.6666666667
1972-03-01,21800
1972-04-01,19433.3333333333
1972-05-01,22875
1972-06-01,22000
1972-07-01,20483.3333333333
1972-08-01,20841.6666666667
1972-09-01,21733.3333333333
1972-10-01,20758.3333333333
1972-11-01,19483.3333333333
1972-12-01,18425
1973-01-01,22075
1973-02-01,21191.6666666667
1973-03-01,21841.6666666667
1973-04-01,24183.3333333333
1973-05-01,22158.3333333333
1973-06-01,22591.6666666667
1973-07-01,23658.3333333333
1973-08-01,21991.6666666667
1973-09-01,21783.3333333333
1973-10-01,22575
1973-11-01,21525
1973-12-01,21958.3333333333
1974-01-01,23875
1974-02-01,22808.3333333333
1974-03-01,22891.6666666667
1974-04-01,20458.3333333333
1974-05-01,21225
1974-06-01,20275
1974-07-01,17458.3333333333
1974-08-01,17250
1974-09-01,16291.6666666667
1974-10-01,14783.3333333333
1974-11-01,14875
1974-12-01,14800
1975-01-01,14658.3333333333
1975-02-01,13600
1975-03-01,12458.3333333333
1975-04-01,15766.6666666667
1975-05-01,17550
1975-06-01,16850
1975-07-01,19925
1975-08-01,20441.6666666667
1975-09-01,21325
1975-10-01,23908.3333333333
1975-11-01,22258.3333333333
1975-12-01,26091.6666666667
1976-01-01,23100
1976-02-01,25891.6666666667
1976-03-01,23150
1976-04-01,22550
1976-05-01,23541.6666666667
1976-06-01,23150
1976-07-01,22608.3333333333
1976-08-01,20325
1976-09-01,22358.3333333333
1976-10-01,19783.3333333333
1976-11-01,25016.6666666667
1976-12-01,23091.6666666667
1977-01-01,19275
1977-02-01,19366.6666666667
1977-03-01,18458.3333333333
1977-04-01,20616.6666666667
1977-05-01,21508.3333333333
1977-06-01,22216.6666666667
1977-07-01,21716.6666666667
1977-08-01,20908.3333333333
1977-09-01,21416.6666666667
1977-10-01,19025
1977-11-01,19358.3333333333
1977-12-01,21991.6666666667
1978-01-01,22200
1978-02-01,23483.3333333333
1978-03-01,24300
1978-04-01,16991.6666666667
1978-05-01,16658.3333333333
1978-06-01,16925
1978-07-01,18166.6666666667
1978-08-01,18208.3333333333
1978-09-01,17133.3333333333
1978-10-01,17783.3333333333
1978-11-01,19575
1978-12-01,16083.3333333333
1979-01-01,18216.6666666667
1979-02-01,15216.6666666667
1979-03-01,15341.6666666667
1979-04-01,15641.6666666667
1979-05-01,17150
1979-06-01,15858.3333333333
1979-07-01,15033.3333333333
1979-08-01,16950
1979-09-01,15600
1979-10-01,18133.3333333333
1979-11-01,17325
1979-12-01,16433.3333333333
1980-01-01,14600
1980-02-01,12408.3333333333
1980-03-01,11233.3333333333
1980-04-01,12225
1980-05-01,10541.6666666667
1980-06-01,12391.6666666667
1980-07-01,13358.3333333333
1980-08-01,13400
1980-09-01,14475
1980-10-01,16483.3333333333
1980-11-01,14225
1980-12-01,13375
1981-01-01,13850
1981-02-01,13883.3333333333
1981-03-01,14716.6666666667
1981-04-01,18216.6666666667
1981-05-01,17158.3333333333
1981-06-01,17200
1981-07-01,15608.3333333333
1981-08-01,15025
1981-09-01,15891.6666666667
1981-10-01,10575
1981-11-01,10933.3333333333
1981-12-01,15108.3333333333
1982-01-01,13141.6666666667
1982-02-01,13516.6666666667
1982-03-01,12033.3333333333
1982-04-01,9966.66666666667
1982-05-01,8183.33333333333
1982-06-01,8933.33333333333
1982-07-01,8833.33333333334
1982-08-01,7558.33333333333
1982-09-01,7758.33333333333
1982-10-01,10950
1982-11-01,12608.3333333333
1982-12-01,12500
1983-01-01,13991.6666666667
1983-02-01,13525
1983-03-01,14250
1983-04-01,14616.6666666667
1983-05-01,20666.6666666667
1983-06-01,16241.6666666667
1983-07-01,11925
1983-08-01,11058.3333333333
1983-09-01,11708.3333333333
1983-10-01,11050
1983-11-01,11675
1983-12-01,11708.3333333333
1984-01-01,13016.6666666667
1984-02-01,13283.3333333333
1984-03-01,10975
1984-04-01,10275
1984-05-01,10616.6666666667
1984-06-01,11208.3333333333
1984-07-01,10883.3333333333
1984-08-01,12608.3333333333
1984-09-01,11466.6666666667
1984-10-01,10266.6666666667
1984-11-01,9858.33333333334
1984-12-01,10825
1985-01-01,11341.6666666667
1985-02-01,11683.3333333333
1985-03-01,11583.3333333333
1985-04-01,12958.3333333333
1985-05-01,13108.3333333333
1985-06-01,12866.6666666667
1985-07-01,13958.3333333333
1985-08-01,14333.3333333333
1985-09-01,15483.3333333333
1985-10-01,16175
1985-11-01,16550
1985-12-01,15883.3333333333
1986-01-01,14558.3333333333
1986-02-01,16200
1986-03-01,14433.3333333333
1986-04-01,17208.3333333333
1986-05-01,16108.3333333333
1986-06-01,16800
1986-07-01,16700
1986-08-01,15925
1986-09-01,18900
1986-10-01,17866.6666666667
1986-11-01,17191.6666666667
1986-12-01,17875
1987-01-01,21341.6666666667
1987-02-01,19216.6666666667
1987-03-01,21800
1987-04-01,19900
1987-05-01,21458.3333333333
1987-06-01,21850
1987-07-01,21916.6666666667
1987-08-01,21691.6666666667
1987-09-01,19650
1987-10-01,18983.3333333333
1987-11-01,19866.6666666667
1987-12-01,18358.3333333333
1988-01-01,17925
1988-02-01,17933.3333333333
1988-03-01,18125
1988-04-01,18725
1988-05-01,19683.3333333333
1988-06-01,18175
1988-07-01,17300
1988-08-01,19366.6666666667
1988-09-01,18291.6666666667
1988-10-01,18516.6666666667
1988-11-01,19633.3333333333
1988-12-01,18750
1989-01-01,20266.6666666667
1989-02-01,19366.6666666667
1989-03-01,18608.3333333333
1989-04-01,18000
1989-05-01,16966.6666666667
1989-06-01,16575
1989-07-01,16416.6666666667
1989-08-01,16616.6666666667
1989-09-01,18966.6666666667
1989-10-01,17491.6666666667
1989-11-01,17508.3333333333
1989-12-01,18425
1990-01-01,23035.6666666667
1990-02-01,21324.4166666667
1990-03-01,21224.4166666667
1990-04-01,17988.25
1990-05-01,17842.5833333333
1990-06-01,15401.5833333333
1990-07-01,14190.8333333333
1990-08-01,13719.8333333333
1990-09-01,11997.75
1990-10-01,12216.0833333333
