"Date","LFEASETTCAM647S"
1970-01-01,4835959.11632348
1970-02-01,4839908.17450898
1970-03-01,4872682.12339838
1970-04-01,4921680.20218346
1970-05-01,4949141.05629203
1970-06-01,4954719.56323952
1970-07-01,4944918.2371051
1970-08-01,4975174.56413271
1970-09-01,5025315.5895397
1970-10-01,5044129.51753671
1970-11-01,5061846.67569941
1970-12-01,5021912.44504561
1971-01-01,5045335.65754706
1971-02-01,5053408.96472417
1971-03-01,5045202.98939564
1971-04-01,4985831.14539571
1971-05-01,5077906.37516473
1971-06-01,5113489.26416403
1971-07-01,5142392.61745058
1971-08-01,5108173.64508959
1971-09-01,5153156.82528404
1971-10-01,5180620.53411276
1971-11-01,5176941.4636814
1971-12-01,5257298.47251764
1972-01-01,5204448.78378091
1972-02-01,5225888.56291496
1972-03-01,5274382.18387936
1972-04-01,5262569.28640033
1972-05-01,5249973.34887081
1972-06-01,5269465.74128273
1972-07-01,5344181.67667475
1972-08-01,5383325.55106574
1972-09-01,5381349.29904541
1972-10-01,5379834.29084013
1972-11-01,5419201.65833912
1972-12-01,5468954.30898054
1973-01-01,5468110.63947216
1973-02-01,5526784.65351112
1973-03-01,5514293.99213728
1973-04-01,5539017.00805982
1973-05-01,5573300.38950267
1973-06-01,5623615.3637501
1973-07-01,5561474.64467728
1973-08-01,5580092.74316516
1973-09-01,5601005.17631742
1973-10-01,5653890.45492296
1973-11-01,5676738.13751516
1973-12-01,5712331.96512925
1974-01-01,5719782.81837269
1974-02-01,5714324.68455086
1974-03-01,5718882.11069943
1974-04-01,5786344.4738519
1974-05-01,5811301.97689391
1974-06-01,5814479.30320164
1974-07-01,5851332.23231273
1974-08-01,5928441.48496192
1974-09-01,5866605.18570464
1974-10-01,5881869.84259971
1974-11-01,5952431.2771172
1974-12-01,5969593.88049122
1975-01-01,5844170.66315049
1975-02-01,5881544.05584702
1975-03-01,5904954.89778966
1975-04-01,5905241.54514686
1975-05-01,5946842.09733089
1975-06-01,5976398.14485794
1975-07-01,5973711.10820356
1975-08-01,5979385.65278118
1975-09-01,6035270.69991148
1975-10-01,6062633.13211753
1975-11-01,6052862.29318946
1975-12-01,6075904.32705949
1976-01-01,6337074.80336649
1976-02-01,6321370.33393241
1976-03-01,6374783.04847104
1976-04-01,6365041.92034366
1976-05-01,6350831.95040838
1976-06-01,6359503.08090845
1976-07-01,6366143.95666918
1976-08-01,6372388.29447351
1976-09-01,6398249.21538592
1976-10-01,6409707.96714048
1976-11-01,6425337.89773522
1976-12-01,6456916.72170878
1977-01-01,6476272.59883142
1977-02-01,6476300.18083266
1977-03-01,6504414.34851682
1977-04-01,6521569.11312485
1977-05-01,6564239.9578429
1977-06-01,6554279.51056112
1977-07-01,6574574.63224004
1977-08-01,6611553.69363954
1977-09-01,6597967.69970767
1977-10-01,6614985.01815551
1977-11-01,6597664.96783513
1977-12-01,6616781.15157588
1978-01-01,6646195.51433818
1978-02-01,6685930.7217829
1978-03-01,6709074.82616762
1978-04-01,6725070.14237356
1978-05-01,6740620.73758936
1978-06-01,6770833.52290971
1978-07-01,6836842.79758055
1978-08-01,6864098.2371934
1978-09-01,6886245.3659795
