"Date","CANPRCNTO01MLSAM"
1969-07-01,4176060024.38812
1969-08-01,4223619410.92503
1969-09-01,4233823061.12749
1969-10-01,4250771497.05701
1969-11-01,4262704579.49718
1969-12-01,4287089574.04883
1970-01-01,4284495425.69227
1970-02-01,4351597396.51525
1970-03-01,4318911127.22262
1970-04-01,4268930535.55292
1970-05-01,4301616804.84556
1970-06-01,4251290326.72832
1970-07-01,4264952841.4062
1970-08-01,4270832911.0144
1970-09-01,4341566689.53656
1970-10-01,4328423004.53
1970-11-01,4379960085.21363
1970-12-01,4329460663.87262
1971-01-01,4130748899.76023
1971-02-01,4170007011.55615
1971-03-01,4187301333.93321
1971-04-01,4308534533.79638
1971-05-01,4300752088.72671
1971-06-01,4356439806.78083
1971-07-01,4394314372.78659
1971-08-01,4429594790.43579
1971-09-01,4388607246.40216
1971-10-01,4378230652.97592
1971-11-01,4349867964.27755
1971-12-01,4310091022.81032
1972-01-01,4301443861.62179
1972-02-01,4269449365.22423
1972-03-01,4262185749.82587
1972-04-01,4451904466.30219
1972-05-01,4338280768.28492
1972-06-01,4304210953.20212
1972-07-01,4324618253.60704
1972-08-01,4348484418.48738
1972-09-01,4291240211.41932
1972-10-01,4217566398.09306
1972-11-01,4249733837.71438
1972-12-01,4229153594.08569
1973-01-01,4331017152.88656
1973-02-01,4301270918.39802
1973-03-01,4334994847.03328
1973-04-01,4384975438.70298
1973-05-01,4417834651.21939
1973-06-01,4377192993.6333
1973-07-01,4420947629.24726
1973-08-01,4403134477.19889
1973-09-01,4443257305.11366
1973-10-01,4498426193.49647
1973-11-01,4511569878.50304
1973-12-01,4533360724.69813
1974-01-01,4627268895.20555
1974-02-01,4609455743.15719
1974-03-01,4616200528.88424
1974-04-01,4559648094.71126
1974-05-01,4455709217.22514
1974-06-01,4388953132.8497
1974-07-01,4472311766.70712
1974-08-01,4496696761.25877
1974-09-01,4542007885.88666
1974-10-01,4608245140.59079
1974-11-01,4620869995.92604
1974-12-01,4656150413.57524
1975-01-01,4759916347.83759
1975-02-01,4801768607.99007
1975-03-01,4639201977.64572
1975-04-01,4826326545.76549
1975-05-01,4916775851.7975
1975-06-01,4900173302.31552
1975-07-01,5049769190.87707
1975-08-01,5205418092.27059
1975-09-01,5289295555.79932
1975-10-01,5424018327.1166
1975-11-01,5463968211.8076
1975-12-01,5586239071.0134
1976-01-01,5557876382.31503
1976-02-01,5622903034.45276
1976-03-01,5733240811.21839
1976-04-01,5840984439.62746
1976-05-01,5848939827.92091
1976-06-01,5929185483.75046
1976-07-01,5751053963.26676
1976-08-01,5676169547.3741
1976-09-01,5499940402.35188
1976-10-01,5558741098.43388
1976-11-01,5652130439.26999
1976-12-01,5718886523.64544
1977-01-01,5730646662.86184
1977-02-01,5850323373.71107
1977-03-01,5927801937.96029
1977-04-01,5996114511.34967
1977-05-01,6035545566.36936
1977-06-01,6086044987.71037
1977-07-01,6097805126.92677
1977-08-01,6100572218.5071
1977-09-01,6001475751.28656
1977-10-01,6065291800.8579
1977-11-01,5954089307.97342
1977-12-01,5848248055.02583
1978-01-01,5627745444.71834
1978-02-01,5782702573.21678
1978-03-01,5796019201.44711
1978-04-01,5843232701.53648
1978-05-01,5717330034.6315
1978-06-01,5705224008.96756
1978-07-01,5607511087.53718
1978-08-01,5648325688.34704
1978-09-01,5635700833.01179
1978-10-01,5576035420.81094
1978-11-01,5605608712.07571
1978-12-01,5547845675.33634
1979-01-01,5624805409.91424
1979-02-01,5602495734.04784
1979-03-01,5572057726.66422
1979-04-01,5492157957.28221
1979-05-01,5554244574.61585
1979-06-01,5724074820.35855
1979-07-01,5745692723.32988
1979-08-01,5775093071.37087
1979-09-01,5833547881.00533
1979-10-01,5908951126.5693
1979-11-01,5970691857.4554
1979-12-01,6167328302.88254
1980-01-01,6218346553.89486
1980-02-01,6096421581.1366
1980-03-01,6019634789.78247
1980-04-01,6103512253.3112
1980-05-01,6085872044.4866
1980-06-01,5970864800.67916
1980-07-01,6043673897.88658
1980-08-01,6097632183.703
1980-09-01,6205375812.11207
1980-10-01,6381604957.13428
1980-11-01,6470151887.70482
1980-12-01,6590866257.89668
1981-01-01,6441789199.00645
1981-02-01,6425186649.52447
1981-03-01,6379356695.22527
1981-04-01,6483468515.93516
1981-05-01,6540712723.00322
1981-06-01,6552645805.44339
1981-07-01,6586369734.07865
1981-08-01,6630124369.6926
1981-09-01,6702760523.67625
1981-10-01,6584294415.3934
1981-11-01,6701722864.33362
1981-12-01,6613694763.4344
1982-01-01,6661772979.64262
1982-02-01,6722648994.40986
1982-03-01,6714693606.11642
1982-04-01,6699647545.64838
1982-05-01,6621650151.72785
1982-06-01,6564924774.3311
1982-07-01,6433314981.04169
1982-08-01,6379875524.89658
1982-09-01,6291501537.54982
1982-10-01,6165080040.97352
1982-11-01,6139138557.40794
1982-12-01,6249649277.39734
1983-01-01,6307239370.91294
1983-02-01,6365521237.32362
1983-03-01,6391116834.44167
1983-04-01,6363100032.19083
1983-05-01,6542096268.79338
1983-06-01,6582219096.70816
1983-07-01,6424321933.40562
1983-08-01,6311735894.73097
1983-09-01,6293058026.56375
1983-10-01,6235986762.71946
1983-11-01,6223188964.16044
1983-12-01,6203473436.65059
1984-01-01,6075841337.5079
1984-02-01,6009258196.35623
1984-03-01,6133777317.47105
1984-04-01,6014619436.29312
1984-05-01,5986775577.26606
1984-06-01,5984354372.13327
1984-07-01,6066156516.97676
1984-08-01,6133085544.57597
1984-09-01,6085699101.26283
1984-10-01,5994212135.88819
1984-11-01,6001302808.06279
1984-12-01,6014100606.62181
1985-01-01,6079991974.8784
1985-02-01,6154011674.65221
1985-03-01,6234257330.48175
1985-04-01,6152628128.86204
1985-05-01,6333699684.14984
1985-06-01,6443691574.46792
1985-07-01,6374168398.51215
1985-08-01,6447323382.1671
1985-09-01,6566654206.5688
1985-10-01,6561984739.527
1985-11-01,6707429990.71805
1985-12-01,6741326862.57708
1986-01-01,7143246914.61991
1986-02-01,7149645813.89942
1986-03-01,7001087584.68049
1986-04-01,6769516608.05169
1986-05-01,6652434045.55901
1986-06-01,6523245457.40239
1986-07-01,6479490821.78843
1986-08-01,6393538039.57446
1986-09-01,6320037169.47196
1986-10-01,6332316138.35967
1986-11-01,6276974306.75309
1986-12-01,6320728942.36704
1987-01-01,6415847715.44086
1987-02-01,6523937230.29747
1987-03-01,6649666953.97868
1987-04-01,6810504152.08532
1987-05-01,6935023273.20013
1987-06-01,7086175650.77562
1987-07-01,7109522985.98464
1987-08-01,7150337586.7945
1987-09-01,7182505026.41583
1987-10-01,7144803403.63384
1987-11-01,7174376694.89861
1987-12-01,7133043264.41744
1988-01-01,7056948245.95839
1988-02-01,6919804269.50832
1988-03-01,7012155951.00181
1988-04-01,7058158848.52478
1988-05-01,7117305431.05432
1988-06-01,7095168698.41169
1988-07-01,7121456068.42481
1988-08-01,7137539788.23548
1988-09-01,7273991991.79046
1988-10-01,7271051956.98636
1988-11-01,7192535733.39452
1988-12-01,7338326871.03312
1989-01-01,7371359026.7733
1989-02-01,7530293849.41846
1989-03-01,7418399583.63889
1989-04-01,7363922468.15116
1989-05-01,7399894658.69544
1989-06-01,7294572235.41916
1989-07-01,7377239096.3815
1989-08-01,7489998078.27991
1989-09-01,7580274441.08815
1989-10-01,7681619170.21771
1989-11-01,7660693040.14147
1989-12-01,7668129598.76361
1990-01-01,7669340201.33
1990-02-01,7676603816.72837
1990-03-01,7745262276.56528
1990-04-01,7690093388.18247
1990-05-01,7642361058.42179
1990-06-01,7718110190.4333
1990-07-01,7568514301.87176
1990-08-01,7572837882.46602
1990-09-01,7424452596.47086
1990-10-01,7291286314.16752
1990-11-01,7194783995.30354
1990-12-01,7088942742.35594
1991-01-01,7065768350.37069
1991-02-01,7004546449.1559
1991-03-01,6858755311.51731
1991-04-01,6826933758.34352
1991-05-01,6933812670.63374
1991-06-01,6986387410.65999
1991-07-01,6895765161.40421
1991-08-01,6881756760.27879
1991-09-01,6913405370.22881
1991-10-01,6993996912.5059
1991-11-01,7050376403.45511
1991-12-01,6943670434.38866
1992-01-01,6754124661.13611
1992-02-01,6525147832.86386
1992-03-01,6572361332.95323
1992-04-01,6464444761.32039
1992-05-01,6394575698.91708
1992-06-01,6411005305.17528
1992-07-01,6432450264.92284
1992-08-01,6417923034.12611
1992-09-01,6397515733.72118
1992-10-01,6288561502.74572
1992-11-01,6181163760.78419
1992-12-01,6179953158.21779
1993-01-01,6179088442.09894
1993-02-01,6198458083.16124
1993-03-01,6171305997.02926
1993-04-01,6174591918.28091
1993-05-01,6173727202.16205
1993-06-01,6181682590.4555
1993-07-01,6200187515.39895
1993-08-01,6142597421.88335
1993-09-01,6178396669.20386
1993-10-01,6193442729.6719
1993-11-01,6257431722.46701
1993-12-01,6191540354.21042
1994-01-01,6295825118.14408
1994-02-01,6256394063.12439
1994-03-01,6208142903.6924
1994-04-01,6285621467.94162
1994-05-01,6373130739.16953
1994-06-01,6423111330.83922
1994-07-01,6451992849.20891
1994-08-01,6469978944.48105
1994-09-01,6432796151.37038
1994-10-01,6502319327.32615
1994-11-01,6406508781.35725
1994-12-01,6431931435.25152
1995-01-01,6384109379.17314
1995-02-01,6416146356.75142
1995-03-01,6242909366.88374
1995-04-01,6177055579.63952
1995-05-01,6099929522.50666
1995-06-01,6064036242.07174
1995-07-01,6043419853.72277
1995-08-01,6079164814.81704
1995-09-01,6099929522.50666
1995-10-01,6139382467.11693
1995-11-01,6137454315.68861
1995-12-01,6124402213.71228
1996-01-01,6182691714.58385
1996-02-01,6092365236.13401
1996-03-01,6209092557.21779
1996-04-01,6271238360.94601
1996-05-01,6325819878.30157
1996-06-01,6416146356.75142
1996-07-01,6500836700.25693
1996-08-01,6540437964.20784
1996-09-01,6521601407.94655
1996-10-01,6510329138.0579
1996-11-01,6515965273.00222
1996-12-01,6566690487.50114
1997-01-01,6621583333.33333
1997-02-01,6669500000
1997-03-01,6671500000
1997-04-01,6757833333.33333
1997-05-01,6839750000
1997-06-01,6942500000
1997-07-01,6985833333.33333
1997-08-01,7027666666.66667
1997-09-01,7065166666.66667
1997-10-01,7058083333.33333
1997-11-01,7064333333.33333
1997-12-01,6979083333.33333
1998-01-01,7.057e+09
1998-02-01,7043750000
1998-03-01,6.977e+09
1998-04-01,6998750000
1998-05-01,6977500000
1998-06-01,6956500000
1998-07-01,6943916666.66667
1998-08-01,6917416666.66667
1998-09-01,6874166666.66667
1998-10-01,6843500000
