"Date","LFEM24MACAM647S"
1976-01-01,1351700
1976-02-01,1358200
1976-03-01,1367300
1976-04-01,1375400
1976-05-01,1370700
1976-06-01,1374500
1976-07-01,1377100
1976-08-01,1375300
1976-09-01,1381100
1976-10-01,1378400
1976-11-01,1386600
1976-12-01,1393500
1977-01-01,1397900
1977-02-01,1396100
1977-03-01,1392600
1977-04-01,1399000
1977-05-01,1393100
1977-06-01,1388900
1977-07-01,1383700
1977-08-01,1393900
1977-09-01,1378300
1977-10-01,1384500
1977-11-01,1382400
1977-12-01,1382200
1978-01-01,1371600
1978-02-01,1395600
1978-03-01,1404700
1978-04-01,1402400
1978-05-01,1413900
1978-06-01,1422600
1978-07-01,1435300
1978-08-01,1439200
1978-09-01,1425500
1978-10-01,1443900
1978-11-01,1446600
1978-12-01,1452600
1979-01-01,1463400
1979-02-01,1457100
1979-03-01,1469600
1979-04-01,1474600
1979-05-01,1492400
1979-06-01,1498200
1979-07-01,1505200
1979-08-01,1512000
1979-09-01,1521200
1979-10-01,1525100
1979-11-01,1529200
1979-12-01,1533100
1980-01-01,1528400
1980-02-01,1540700
1980-03-01,1518300
1980-04-01,1519000
1980-05-01,1495400
1980-06-01,1505900
1980-07-01,1490700
1980-08-01,1498900
1980-09-01,1519200
1980-10-01,1526100
1980-11-01,1534000
1980-12-01,1531300
1981-01-01,1550200
1981-02-01,1553000
1981-03-01,1548700
1981-04-01,1555100
1981-05-01,1545600
1981-06-01,1535800
1981-07-01,1524700
1981-08-01,1521000
1981-09-01,1499900
1981-10-01,1482100
1981-11-01,1470000
1981-12-01,1461400
1982-01-01,1428800
1982-02-01,1416400
1982-03-01,1401000
1982-04-01,1379300
1982-05-01,1356500
1982-06-01,1323900
1982-07-01,1306200
1982-08-01,1288300
1982-09-01,1288900
1982-10-01,1281900
1982-11-01,1275000
1982-12-01,1267800
1983-01-01,1270200
1983-02-01,1267400
1983-03-01,1267000
1983-04-01,1264600
1983-05-01,1265800
1983-06-01,1287700
1983-07-01,1301400
1983-08-01,1305500
1983-09-01,1326200
1983-10-01,1303700
1983-11-01,1299100
1983-12-01,1298300
1984-01-01,1296100
1984-02-01,1303700
1984-03-01,1302000
1984-04-01,1296500
1984-05-01,1302700
1984-06-01,1323100
1984-07-01,1340200
1984-08-01,1325500
1984-09-01,1332600
1984-10-01,1330200
1984-11-01,1305400
1984-12-01,1322300
1985-01-01,1323600
1985-02-01,1325500
1985-03-01,1326200
1985-04-01,1327500
1985-05-01,1335600
1985-06-01,1330800
1985-07-01,1337500
1985-08-01,1342300
1985-09-01,1316100
1985-10-01,1318600
1985-11-01,1325100
1985-12-01,1332200
1986-01-01,1334400
1986-02-01,1330500
1986-03-01,1336100
1986-04-01,1375100
1986-05-01,1350800
1986-06-01,1345700
1986-07-01,1336900
1986-08-01,1336400
1986-09-01,1334900
1986-10-01,1343000
1986-11-01,1347000
1986-12-01,1336500
1987-01-01,1332100
1987-02-01,1328500
1987-03-01,1324800
1987-04-01,1340100
1987-05-01,1342200
1987-06-01,1349000
1987-07-01,1340800
1987-08-01,1337600
1987-09-01,1349500
1987-10-01,1358600
1987-11-01,1352700
1987-12-01,1363400
1988-01-01,1364800
1988-02-01,1363900
1988-03-01,1362500
1988-04-01,1349700
1988-05-01,1338800
1988-06-01,1329000
1988-07-01,1331600
1988-08-01,1325700
1988-09-01,1314600
1988-10-01,1304300
1988-11-01,1312400
1988-12-01,1311300
1989-01-01,1332100
1989-02-01,1327700
1989-03-01,1333600
1989-04-01,1323100
1989-05-01,1319700
1989-06-01,1308800
1989-07-01,1314300
1989-08-01,1317100
1989-09-01,1308200
1989-10-01,1296500
1989-11-01,1301900
1989-12-01,1294500
1990-01-01,1299800
1990-02-01,1298900
1990-03-01,1306200
1990-04-01,1282800
1990-05-01,1259300
1990-06-01,1255600
1990-07-01,1239100
1990-08-01,1227000
1990-09-01,1228700
1990-10-01,1218500
1990-11-01,1205500
1990-12-01,1188200
1991-01-01,1159900
1991-02-01,1148700
1991-03-01,1134400
1991-04-01,1136700
1991-05-01,1135100
1991-06-01,1134900
1991-07-01,1130100
1991-08-01,1129700
1991-09-01,1117700
1991-10-01,1130600
1991-11-01,1117600
1991-12-01,1115100
