"Date","CANODCNPI03MLM"
1986-04-01,1518469000
1986-05-01,1476916000
1986-06-01,1349177000
1986-07-01,1298865000
1986-08-01,1363344000
1986-09-01,1364940000
1986-10-01,1434153000
1986-11-01,1144010000
1986-12-01,899078000
1987-01-01,815559000
1987-02-01,1007513000
1987-03-01,1923356000
1987-04-01,2132644000
1987-05-01,2055983000
1987-06-01,2003076000
1987-07-01,1673804000
1987-08-01,1640492000
1987-09-01,1797441000
1987-10-01,1552879000
1987-11-01,1263138000
1987-12-01,966600000
1988-01-01,791203000
1988-02-01,1068256000
1988-03-01,1890564000
1988-04-01,2148433000
1988-05-01,2249774000
1988-06-01,2240666000
1988-07-01,1701749000
1988-08-01,1900677000
1988-09-01,1947571000
1988-10-01,1468500000
1988-11-01,1490185000
1988-12-01,1221080000
1989-01-01,974492000
1989-02-01,1307281000
1989-03-01,2031721000
1989-04-01,2403794000
1989-05-01,2353465000
1989-06-01,2148502000
1989-07-01,1918609000
1989-08-01,1957086000
1989-09-01,1848798000
1989-10-01,1817612000
1989-11-01,1738768000
1989-12-01,1206865000
1990-01-01,1300972000
1990-02-01,1380877000
1990-03-01,2168216000
1990-04-01,2182877000
1990-05-01,2095192000
1990-06-01,1639552000
1990-07-01,1316283000
1990-08-01,1411076000
1990-09-01,1175787000
1990-10-01,1360152000
1990-11-01,919590000
1990-12-01,563963000
1991-01-01,480244000
1991-02-01,681572000
1991-03-01,1115773000
1991-04-01,1857380000
1991-05-01,1944539000
1991-06-01,1751573000
1991-07-01,1743405000
1991-08-01,1511527000
1991-09-01,1636896000
1991-10-01,1637753000
1991-11-01,1529849000
1991-12-01,746321000
1992-01-01,758868000
1992-02-01,997542000
1992-03-01,1677070000
1992-04-01,1832467000
1992-05-01,1887941000
1992-06-01,1848679000
1992-07-01,1541830000
1992-08-01,1423799000
1992-09-01,1534218000
1992-10-01,1576819000
1992-11-01,1204376000
1992-12-01,877207000
1993-01-01,663559000
1993-02-01,839635000
1993-03-01,1473236000
1993-04-01,1768268000
1993-05-01,1731419000
1993-06-01,1778597000
1993-07-01,1552358000
1993-08-01,1525873000
1993-09-01,1545636000
1993-10-01,1339802000
1993-11-01,1310192000
1993-12-01,903946000
1994-01-01,673921000
1994-02-01,877845000
1994-03-01,1638312000
1994-04-01,1943922000
1994-05-01,2179390000
1994-06-01,2074694000
1994-07-01,1661531000
1994-08-01,1570867000
1994-09-01,1495769000
1994-10-01,1330604000
1994-11-01,1203538000
1994-12-01,939777000
1995-01-01,698824000
1995-02-01,704823000
1995-03-01,1218102000
1995-04-01,1325329000
1995-05-01,1553415000
1995-06-01,1403156000
1995-07-01,1169628000
1995-08-01,1284436000
1995-09-01,1148289000
1995-10-01,1189279000
1995-11-01,931753000
1995-12-01,612133000
1996-01-01,620907000
1996-02-01,925414000
1996-03-01,1294775000
1996-04-01,1532969000
1996-05-01,1835870000
1996-06-01,1637310000
1996-07-01,1661083000
1996-08-01,1391717000
1996-09-01,1322671000
1996-10-01,1389189000
1996-11-01,1222173000
1996-12-01,884166000
1997-01-01,887256000
1997-02-01,992353000
1997-03-01,1449975000
1997-04-01,2033092000
1997-05-01,2132641000
1997-06-01,1823964000
1997-07-01,1925778000
1997-08-01,1521706000
1997-09-01,1738660000
1997-10-01,1592462000
1997-11-01,1269623000
1997-12-01,949937000
1998-01-01,806201000
1998-02-01,940457000
1998-03-01,1723444000
1998-04-01,2022688000
1998-05-01,1893327000
1998-06-01,1830667000
1998-07-01,1691795000
1998-08-01,1555183000
1998-09-01,1604238000
1998-10-01,1420485000
1998-11-01,1422513000
1998-12-01,1034421000
1999-01-01,788786000
1999-02-01,992946000
1999-03-01,1764308000
1999-04-01,1977652000
1999-05-01,2156179000
1999-06-01,2153494000
1999-07-01,1931073000
