"Date","EXPCA"
1985-01-01,3779.6
1985-02-01,3706.6
1985-03-01,4246.2
1985-04-01,4171.7
1985-05-01,4467.5
1985-06-01,4570.5
1985-07-01,3720.9
1985-08-01,3502
1985-09-01,4030
1985-10-01,4085.3
1985-11-01,3695.7
1985-12-01,3275
1986-01-01,3999.1
1986-02-01,3786
1986-03-01,3659.2
1986-04-01,4057.3
1986-05-01,3780.9
1986-06-01,3857.5
1986-07-01,3172.4
1986-08-01,3094.7
1986-09-01,4119.4
1986-10-01,4175.9
1986-11-01,3911.1
1986-12-01,3719
1987-01-01,4152.3
1987-02-01,4762.8
1987-03-01,5258.9
1987-04-01,4928.3
1987-05-01,5055.1
1987-06-01,5605.7
1987-07-01,4715
1987-08-01,4165.8
1987-09-01,4844.7
1987-10-01,5273.1
1987-11-01,5511.8
1987-12-01,5540.8
1988-01-01,5311.4
1988-02-01,5710.4
1988-03-01,6696.4
1988-04-01,5988
1988-05-01,6597.3
1988-06-01,6373.5
1988-07-01,4740.2
1988-08-01,5861.4
1988-09-01,6159.7
1988-10-01,6358.7
1988-11-01,6307.2
1988-12-01,5517.8
1989-01-01,6101.7
1989-02-01,6512
1989-03-01,7264.1
1989-04-01,7027.8
1989-05-01,7448.3
1989-06-01,6983.3
1989-07-01,5172.1
1989-08-01,6289.3
1989-09-01,6440.9
1989-10-01,6976.1
1989-11-01,6627.5
1989-12-01,5965.8
1990-01-01,6377.5
1990-02-01,6749.7
1990-03-01,8074.9
1990-04-01,7367.6
1990-05-01,7933.3
1990-06-01,7553
1990-07-01,6126.6
1990-08-01,6767.5
1990-09-01,6385.8
1990-10-01,7460.1
1990-11-01,6916.2
1990-12-01,5961.6
1991-01-01,6800.8
1991-02-01,6422.5
1991-03-01,7008.1
1991-04-01,7587.1
1991-05-01,7662.1
1991-06-01,7422.9
1991-07-01,6420.5
1991-08-01,6794.2
1991-09-01,7318.9
1991-10-01,8231
1991-11-01,7402.7
1991-12-01,6079
1992-01-01,6921.5
1992-02-01,7040.3
1992-03-01,8204.3
1992-04-01,7826.3
1992-05-01,7679.2
1992-06-01,8428.6
1992-07-01,6877
1992-08-01,7034.6
1992-09-01,7849.7
1992-10-01,8009.4
1992-11-01,7662.5
1992-12-01,7060.9
1993-01-01,6878.4
1993-02-01,7746.7
1993-03-01,9497.9
1993-04-01,8780.6
1993-05-01,8791.6
1993-06-01,9070
1993-07-01,7057.9
1993-08-01,8327
1993-09-01,8571.5
1993-10-01,8906.2
1993-11-01,8910.7
1993-12-01,7905.7
1994-01-01,7578.1
1994-02-01,8182.6
1994-03-01,10409.4
1994-04-01,9383.2
1994-05-01,10018.2
1994-06-01,10187.7
1994-07-01,7642.1
1994-08-01,9912.4
1994-09-01,10219.8
1994-10-01,10490.3
1994-11-01,10590.1
1994-12-01,9824.7
1995-01-01,10101.3
1995-02-01,10161.6
1995-03-01,11718.5
1995-04-01,10601.3
1995-05-01,11419.9
1995-06-01,10937.5
1995-07-01,8435.4
1995-08-01,10833.8
1995-09-01,10777.8
1995-10-01,11429
1995-11-01,11077.8
1995-12-01,9732.1
1996-01-01,10301.2
1996-02-01,11211.5
1996-03-01,11599.8
