"Date","NBCABIS"
1994-01-01,91.86
1994-02-01,90.05
1994-03-01,88.54
1994-04-01,87.53
1994-05-01,87.62
1994-06-01,87.41
1994-07-01,86.98
1994-08-01,87.3
1994-09-01,88.66
1994-10-01,88.74
1994-11-01,87.91
1994-12-01,86.96
1995-01-01,85.91
1995-02-01,86.52
1995-03-01,85.62
1995-04-01,86.68
1995-05-01,87.86
1995-06-01,86.76
1995-07-01,87.86
1995-08-01,89.14
1995-09-01,90
1995-10-01,90.19
1995-11-01,90.05
1995-12-01,89.17
1996-01-01,89.57
1996-02-01,89.03
1996-03-01,89.77
1996-04-01,90.36
1996-05-01,89.75
1996-06-01,90.13
1996-07-01,89.83
1996-08-01,89.5
1996-09-01,89.87
1996-10-01,91.31
1996-11-01,92.09
1996-12-01,90.78
1997-01-01,92.02
1997-02-01,92.34
1997-03-01,91.45
1997-04-01,90.11
1997-05-01,90.74
1997-06-01,90.32
1997-07-01,91.18
1997-08-01,90.93
1997-09-01,91.21
1997-10-01,91.33
1997-11-01,90
1997-12-01,90.23
1998-01-01,90.23
1998-02-01,90.18
1998-03-01,91.32
1998-04-01,90.42
1998-05-01,89.61
1998-06-01,88.96
1998-07-01,87.78
1998-08-01,85.39
1998-09-01,85.52
1998-10-01,83.39
1998-11-01,83.64
1998-12-01,83.3
1999-01-01,84.58
1999-02-01,86.36
1999-03-01,85.61
1999-04-01,87.16
1999-05-01,88.94
1999-06-01,88.6
1999-07-01,87.47
1999-08-01,86.75
1999-09-01,87.5
1999-10-01,87.41
1999-11-01,88.16
1999-12-01,87.71
2000-01-01,89.3
2000-02-01,89.61
2000-03-01,89.04
2000-04-01,88.76
2000-05-01,87.75
2000-06-01,88.52
2000-07-01,88.54
2000-08-01,88.51
2000-09-01,88.79
2000-10-01,87.57
2000-11-01,85.97
2000-12-01,86.74
2001-01-01,88
2001-02-01,86.99
2001-03-01,85.4
2001-04-01,85.66
2001-05-01,86.64
2001-06-01,87.81
2001-07-01,87.75
2001-08-01,86.58
2001-09-01,85.06
2001-10-01,84.98
2001-11-01,83.85
2001-12-01,84.8
2002-01-01,83.89
2002-02-01,84.35
2002-03-01,84.6
2002-04-01,84.79
2002-05-01,86.11
2002-06-01,86.75
2002-07-01,85.42
2002-08-01,84.39
2002-09-01,84.24
2002-10-01,84.24
2002-11-01,84.24
2002-12-01,84.79
2003-01-01,85.32
2003-02-01,86.92
2003-03-01,89.15
2003-04-01,89.86
2003-05-01,93.91
2003-06-01,95.86
2003-07-01,94.34
2003-08-01,93.51
2003-09-01,95.39
2003-10-01,97.7
2003-11-01,98.58
2003-12-01,97.96
2004-01-01,98.67
2004-02-01,96.12
2004-03-01,96.51
2004-04-01,96
2004-05-01,93.83
2004-06-01,94.85
2004-07-01,97.33
2004-08-01,98.05
2004-09-01,99.83
2004-10-01,102.75
2004-11-01,106.38
2004-12-01,103.82
2005-01-01,103.57
2005-02-01,102.32
2005-03-01,104.02
2005-04-01,102.77
2005-05-01,101.27
2005-06-01,102.99
2005-07-01,104.85
2005-08-01,105.86
2005-09-01,108.32
2005-10-01,109
2005-11-01,108.85
2005-12-01,110.64
2006-01-01,110.31
2006-02-01,111.37
2006-03-01,110.57
2006-04-01,111.49
2006-05-01,114.15
2006-06-01,114.34
2006-07-01,112.72
2006-08-01,113.31
2006-09-01,113.77
2006-10-01,112.59
2006-11-01,111.33
2006-12-01,109.31
2007-01-01,107.37
2007-02-01,107.69
2007-03-01,107.66
2007-04-01,110.45
2007-05-01,114.33
2007-06-01,117.64
2007-07-01,118.58
2007-08-01,117.93
2007-09-01,120.99
2007-10-01,126.61
2007-11-01,127.31
2007-12-01,122.53
2008-01-01,121.19
2008-02-01,122.07
2008-03-01,120.8
2008-04-01,118.75
2008-05-01,120.89
2008-06-01,118.72
2008-07-01,118.61
2008-08-01,115.21
2008-09-01,115.88
2008-10-01,106.5
2008-11-01,103.98
2008-12-01,101.97
2009-01-01,102.98
2009-02-01,102.33
2009-03-01,101.16
2009-04-01,103.15
2009-05-01,108.81
2009-06-01,110.91
2009-07-01,110.84
2009-08-01,114
2009-09-01,114.26
2009-10-01,116.67
2009-11-01,115.76
2009-12-01,116.72
2010-01-01,118.19
2010-02-01,117.44
2010-03-01,121.03
2010-04-01,123.26
2010-05-01,120.51
2010-06-01,121.08
2010-07-01,119.44
2010-08-01,119.31
2010-09-01,119.51
2010-10-01,119.81
2010-11-01,120.71
2010-12-01,121.76
2011-01-01,122.94
2011-02-01,123.27
2011-03-01,124.18
2011-04-01,125.75
2011-05-01,124.31
2011-06-01,123.02
2011-07-01,125.6
2011-08-01,122.4
2011-09-01,121.26
2011-10-01,119.5
2011-11-01,119.22
2011-12-01,120
2012-01-01,121.07
2012-02-01,122.05
2012-03-01,122.85
2012-04-01,123.12
2012-05-01,121.87
2012-06-01,120.45
2012-07-01,121.98
2012-08-01,124.2
2012-09-01,125.17
2012-10-01,123.87
2012-11-01,122.88
2012-12-01,123.43
2013-01-01,123.07
2013-02-01,121.33
2013-03-01,119.93
2013-04-01,120.49
2013-05-01,120.37
2013-06-01,119.43
2013-07-01,118.5
2013-08-01,118.37
2013-09-01,118.98
2013-10-01,118.26
2013-11-01,117.25
2013-12-01,115.46
2014-01-01,112.71
2014-02-01,111.42
2014-03-01,110.84
2014-04-01,111.92
2014-05-01,112.92
2014-06-01,113.63
2014-07-01,114.7
2014-08-01,112.95
2014-09-01,112.83
2014-10-01,111.22
2014-11-01,110.79
2014-12-01,109.82
2015-01-01,105.81
2015-02-01,102.5
2015-03-01,102.5
2015-04-01,104.31
2015-05-01,105.59
2015-06-01,104.24
2015-07-01,100.77
2015-08-01,99.15
2015-09-01,98.46
2015-10-01,99.6
2015-11-01,98.78
2015-12-01,95.9
2016-01-01,93.22
2016-02-01,95.65
2016-03-01,99.13
2016-04-01,101.61
2016-05-01,101.3
2016-06-01,101.84
2016-07-01,101.03
2016-08-01,101.01
2016-09-01,100.47
2016-10-01,99.81
2016-11-01,99.31
2016-12-01,100.82
2017-01-01,101.83
2017-02-01,102.16
2017-03-01,99.7
2017-04-01,99.1
2017-05-01,97.42
2017-06-01,99.09
2017-07-01,103.22
2017-08-01,103.51
2017-09-01,105.87
2017-10-01,104.03
2017-11-01,102.68
2017-12-01,102.48
2018-01-01,104.12
2018-02-01,102.45
2018-03-01,99.69
2018-04-01,101.22
2018-05-01,101.44
2018-06-01,100.08
2018-07-01,100.32
2018-08-01,101.57
2018-09-01,101.61
2018-10-01,102.29
2018-11-01,101.2
2018-12-01,99.22
2019-01-01,99.43
2019-02-01,100.27
