"Date","CANEMPFEMMDSMEI"
1956-01-01,1285.109
1956-02-01,1293.262
1956-03-01,1307.53
1956-04-01,1304.664
1956-05-01,1302.255
1956-06-01,1307.401
1956-07-01,1320.625
1956-08-01,1321.985
1956-09-01,1327.083
1956-10-01,1336.51
1956-11-01,1356.591
1956-12-01,1373.583
1957-01-01,1381.537
1957-02-01,1370.299
1957-03-01,1375.839
1957-04-01,1365.943
1957-05-01,1398.142
1957-06-01,1404.299
1957-07-01,1389.817
1957-08-01,1387.868
1957-09-01,1438.984
1957-10-01,1414.032
1957-11-01,1429.065
1957-12-01,1443.776
1958-01-01,1407.501
1958-02-01,1411.524
1958-03-01,1416.408
1958-04-01,1441.604
1958-05-01,1432.537
1958-06-01,1437.07
1958-07-01,1447.454
1958-08-01,1453.274
1958-09-01,1455.97
1958-10-01,1462.034
1958-11-01,1452.037
1958-12-01,1458.321
1959-01-01,1474.341
1959-02-01,1496.061
1959-03-01,1485.74
1959-04-01,1488.095
1959-05-01,1489.842
1959-06-01,1497.208
1959-07-01,1504.664
1959-08-01,1506.607
1959-09-01,1514.412
1959-10-01,1520.389
1959-11-01,1525.655
1959-12-01,1525.317
1960-01-01,1549.458
1960-02-01,1565.628
1960-03-01,1580.375
1960-04-01,1539.901
1960-05-01,1591.035
1960-06-01,1574.5
1960-07-01,1580.256
1960-08-01,1606.122
1960-09-01,1614.089
1960-10-01,1634.42
1960-11-01,1628.561
1960-12-01,1649.079
1961-01-01,1654.441
1961-02-01,1652.907
1961-03-01,1635.967
1961-04-01,1673.594
1961-05-01,1695.186
1961-06-01,1672.94
1961-07-01,1674.354
1961-08-01,1656.071
1961-09-01,1667.184
1961-10-01,1672.44
1961-11-01,1686.234
1961-12-01,1703.656
1962-01-01,1699.562
1962-02-01,1687.358
1962-03-01,1722.348
1962-04-01,1722.613
1962-05-01,1725.261
1962-06-01,1752.406
1962-07-01,1742.614
1962-08-01,1751.837
1962-09-01,1745.034
1962-10-01,1728.72
1962-11-01,1746.083
1962-12-01,1732.311
1963-01-01,1733.961
1963-02-01,1731.507
1963-03-01,1732.665
1963-04-01,1737.234
1963-05-01,1754.793
1963-06-01,1777.913
1963-07-01,1816.598
1963-08-01,1825.426
1963-09-01,1840.552
1963-10-01,1863.939
1963-11-01,1856.841
1963-12-01,1872.2
1964-01-01,1886.176
1964-02-01,1891.994
1964-03-01,1909.784
1964-04-01,1900.465
1964-05-01,1914.084
1964-06-01,1896.443
1964-07-01,1906.652
1964-08-01,1901.034
1964-09-01,1916.808
1964-10-01,1921.571
1964-11-01,1943.092
1964-12-01,1941.733
1965-01-01,1970.186
1965-02-01,1966.314
1965-03-01,1982.127
1965-04-01,2006.81
