"Date","LFEM55FECAM647S"
1995-01-01,422287.394995899
1995-02-01,417889.084582231
1995-03-01,416329.056443397
1995-04-01,402983.42901566
1995-05-01,409985.762120669
1995-06-01,414470.851587536
1995-07-01,413713.781978141
1995-08-01,419673.229234891
1995-09-01,424318.79854522
1995-10-01,422748.525646834
1995-11-01,417301.821083686
1995-12-01,412035.345842962
1996-01-01,421213.877002167
1996-02-01,423097.388806064
1996-03-01,423734.885678122
1996-04-01,419811.383294531
1996-05-01,430965.376957687
1996-06-01,439027.268616298
1996-07-01,431563.691555862
1996-08-01,437562.555791461
1996-09-01,426543.025568126
1996-10-01,420804.777227558
1996-11-01,420736.168744371
1996-12-01,415434.874231121
1997-01-01,417798.32352708
1997-02-01,428706.567002734
1997-03-01,434541.355435757
1997-04-01,436168.69579012
1997-05-01,433822.248037723
1997-06-01,441279.530517135
1997-07-01,442081.995075698
1997-08-01,446394.924398448
1997-09-01,438495.147241165
1997-10-01,446790.641378609
1997-11-01,456240.83358118
1997-12-01,462666.227791234
1998-01-01,454543.961495224
1998-02-01,475011.108205892
1998-03-01,474127.213609429
1998-04-01,468823.896493736
1998-05-01,462328.160525104
1998-06-01,475398.254501481
1998-07-01,480145.016778811
1998-08-01,476857.705136175
1998-09-01,489189.199050439
1998-10-01,490949.0876437
1998-11-01,496420.387532887
1998-12-01,490272.840869002
1999-01-01,485902.215912148
1999-02-01,493890.301854181
1999-03-01,497816.871188207
1999-04-01,508818.567282764
1999-05-01,505448.50760933
1999-06-01,500466.767892733
1999-07-01,511349.929277925
1999-08-01,509084.267175759
1999-09-01,513065.873619836
1999-10-01,511419.153016311
1999-11-01,518995.698587514
1999-12-01,536046.63324777
2000-01-01,545658.077467948
2000-02-01,543416.790471274
2000-03-01,536247.727951454
2000-04-01,543723.184317001
2000-05-01,541184.044305778
2000-06-01,535347.552060583
2000-07-01,544659.041541522
2000-08-01,558261.161328996
2000-09-01,544946.757286248
2000-10-01,556946.889730527
2000-11-01,564042.061174633
2000-12-01,564532.794600043
2001-01-01,559939.623830368
2001-02-01,558451.5168038
2001-03-01,573577.504855768
2001-04-01,569447.21809882
2001-05-01,565835.570823736
2001-06-01,570108.625915558
2001-07-01,567428.079651166
2001-08-01,568684.207621181
2001-09-01,576076.071643987
2001-10-01,579799.73863246
2001-11-01,585828.254087008
2001-12-01,608289.629850642
2002-01-01,613302.413633186
2002-02-01,602983.569322942
2002-03-01,603592.975538276
2002-04-01,607030.597710433
2002-05-01,610327.787054819
2002-06-01,618791.309296504
2002-07-01,629626.144467549
2002-08-01,651741.912099918
2002-09-01,651068.599160019
2002-10-01,672157.471526201
2002-11-01,679872.467626499
2002-12-01,702683.619458096
2003-01-01,716409.867886245
2003-02-01,717096.979484628
2003-03-01,722472.459420258
2003-04-01,712190.865759148
2003-05-01,723926.476978018
