"Date","M0501BUSM391NNBR"
1884-02-01,34.6
1884-03-01,31.94
1884-04-01,23.9
1884-05-01,18.91
1884-06-01,15.44
1884-07-01,14.1
1884-08-01,17.77
1884-09-01,23.95
1884-10-01,36.1
1884-11-01,43.15
1884-12-01,47.99
1885-01-01,47.91
1885-02-01,48.44
1885-03-01,48.09
1885-04-01,43.65
1885-05-01,40.71
1885-06-01,41.33
1885-07-01,40.26
1885-08-01,43.14
1885-09-01,45.14
1885-10-01,51.7
1885-11-01,55.54
1885-12-01,58.43
1886-01-01,54.99
1886-02-01,52.15
1886-03-01,48.97
1886-04-01,43.25
1886-05-01,34.89
1886-06-01,28.22
1886-07-01,34.66
1886-08-01,41.3
1886-09-01,51.22
1886-10-01,56.15
1886-11-01,59.57
1886-12-01,62.73
1887-01-01,61.89
1887-02-01,57.63
1887-03-01,51.59
1887-04-01,47.17
1887-05-01,43.21
1887-06-01,34.41
1887-07-01,33.14
1887-08-01,30.69
1887-09-01,30.6
1887-10-01,33.93
1887-11-01,40.26
1887-12-01,44.42
1888-01-01,41.76
1888-02-01,37.52
1888-03-01,34.39
1888-04-01,32.46
1888-05-01,26.42
1888-06-01,23.62
1888-07-01,22.19
1888-08-01,29.27
1888-09-01,31.44
1888-10-01,33.69
1888-11-01,36.08
1888-12-01,38.32
1889-01-01,34.87
1889-02-01,32
1889-03-01,29.44
1889-04-01,26.05
1889-05-01,20.21
1889-06-01,15.3
1889-07-01,12.69
1889-08-01,14.39
1889-09-01,17.85
1889-10-01,25.71
1889-11-01,31.47
1889-12-01,33.97
