"Date","LFUN55FECAM647N"
1976-01-01,18200
1976-02-01,17300
1976-03-01,14600
1976-04-01,14900
1976-05-01,11400
1976-06-01,12700
1976-07-01,13100
1976-08-01,12700
1976-09-01,16700
1976-10-01,15000
1976-11-01,13700
1976-12-01,13100
1977-01-01,15700
1977-02-01,20400
1977-03-01,17700
1977-04-01,18900
1977-05-01,15600
1977-06-01,16300
1977-07-01,14300
1977-08-01,15300
1977-09-01,15500
1977-10-01,17200
1977-11-01,21900
1977-12-01,20800
1978-01-01,18800
1978-02-01,18300
1978-03-01,20500
1978-04-01,20100
1978-05-01,18400
1978-06-01,16200
1978-07-01,17400
1978-08-01,18000
1978-09-01,18800
1978-10-01,20400
1978-11-01,16400
1978-12-01,16700
1979-01-01,20200
1979-02-01,16700
1979-03-01,18100
1979-04-01,16700
1979-05-01,14900
1979-06-01,15700
1979-07-01,15000
1979-08-01,20600
1979-09-01,16400
1979-10-01,19500
1979-11-01,16200
1979-12-01,17000
1980-01-01,20500
1980-02-01,21000
1980-03-01,24000
1980-04-01,17500
1980-05-01,17100
1980-06-01,16700
1980-07-01,15700
1980-08-01,20300
1980-09-01,14800
1980-10-01,17200
1980-11-01,16600
1980-12-01,20300
1981-01-01,16900
1981-02-01,15600
1981-03-01,16400
1981-04-01,17600
1981-05-01,11000
1981-06-01,15200
1981-07-01,15500
1981-08-01,15400
1981-09-01,19100
1981-10-01,16300
1981-11-01,18300
1981-12-01,18500
1982-01-01,22700
1982-02-01,21800
1982-03-01,21700
1982-04-01,24600
1982-05-01,21600.0000000001
1982-06-01,23600
1982-07-01,26000
1982-08-01,23900
1982-09-01,24800
1982-10-01,25300
1982-11-01,31400
1982-12-01,32100
1983-01-01,31100
1983-02-01,32500
1983-03-01,33600
1983-04-01,31100
1983-05-01,30900
1983-06-01,29800
1983-07-01,29700
1983-08-01,31400
1983-09-01,33200
1983-10-01,30000
1983-11-01,29100
1983-12-01,31700
1984-01-01,31300
1984-02-01,29600
1984-03-01,31100
1984-04-01,32800
1984-05-01,30300
1984-06-01,28400
1984-07-01,29100
1984-08-01,27100
1984-09-01,28700
1984-10-01,26400
1984-11-01,29100
1984-12-01,25900
1985-01-01,29200
1985-02-01,31900
1985-03-01,36000
1985-04-01,37900
1985-05-01,29800
1985-06-01,27600
1985-07-01,30000
1985-08-01,28400
1985-09-01,31800
1985-10-01,31300
1985-11-01,29800
1985-12-01,31800
1986-01-01,29800
1986-02-01,30900
1986-03-01,31700
1986-04-01,28400
1986-05-01,30000
1986-06-01,25600
1986-07-01,23800
1986-08-01,31300
1986-09-01,28900
1986-10-01,30600
1986-11-01,31400
1986-12-01,28400
1987-01-01,33300
1987-02-01,30300
1987-03-01,31300
1987-04-01,36200
1987-05-01,31500
1987-06-01,30000
1987-07-01,29500
1987-08-01,31700
1987-09-01,32499.9999999999
1987-10-01,29700
1987-11-01,31100
1987-12-01,33700
1988-01-01,32700
1988-02-01,26200
1988-03-01,29300.0000000001
1988-04-01,25900
1988-05-01,24700
1988-06-01,23600
1988-07-01,22700
1988-08-01,28100
1988-09-01,24300
1988-10-01,19000
1988-11-01,23700
1988-12-01,27100
1989-01-01,28900
1989-02-01,29800
1989-03-01,26000
1989-04-01,28300
1989-05-01,21900
1989-06-01,16800
1989-07-01,21700
1989-08-01,23200
1989-09-01,22500
1989-10-01,24100
1989-11-01,29200
1989-12-01,27100
1990-01-01,27400
1990-02-01,24500
1990-03-01,27500
1990-04-01,23500
1990-05-01,20900
1990-06-01,19400
1990-07-01,21400
