"Date","CANCP120000IXNBM"
2014-12-01,100
2015-01-01,100.3192808
2015-02-01,100.8090531
2015-03-01,100.5958539
2015-04-01,100.853137
2015-05-01,101.0286542
2015-06-01,101.3953874
2015-07-01,101.6245529
2015-08-01,101.9313491
2015-09-01,102.2154032
2015-10-01,102.3127239
2015-11-01,102.7420152
2015-12-01,102.6964695
2016-01-01,102.268861
2016-02-01,102.1335987
2016-03-01,102.2936955
2016-04-01,102.4766717
2016-05-01,103.380714
2016-06-01,103.2677044
2016-07-01,103.4403939
2016-08-01,103.7888487
2016-09-01,103.600732
2016-10-01,104.1288604
2016-11-01,104.1750691
2016-12-01,104
2017-01-01,104.5
2017-02-01,104.5
2017-03-01,104.6
2017-04-01,104.8
2017-05-01,105
2017-06-01,105
2017-07-01,104.9
2017-08-01,105.5
2017-09-01,105.3
2017-10-01,105.6
2017-11-01,105.3
2017-12-01,105.3
2018-01-01,105.7
2018-02-01,105.9
2018-03-01,106.6
2018-04-01,106.6
2018-05-01,106.9
2018-06-01,107.3
2018-07-01,107.4
2018-08-01,108
2018-09-01,106.9
2018-10-01,108.1
2018-11-01,108.4
2018-12-01,108.5
2019-01-01,108.8
2019-02-01,109.4
2019-03-01,109.6
2019-04-01,110
2019-05-01,111
2019-06-01,111.7
2019-07-01,111.9
2019-08-01,112.1
2019-09-01,111
2019-10-01,112.3
2019-11-01,112.6
2019-12-01,112.6
2020-01-01,113.3
2020-02-01,113.7
2020-03-01,114.1
2020-04-01,114.2
2020-05-01,114.9
2020-06-01,115.1
2020-07-01,115.105667488746
2020-08-01,116.1
2020-09-01,116
2020-10-01,116.5
2020-11-01,116.8
2020-12-01,116.6
2021-01-01,116.7
2021-02-01,117
2021-03-01,117.1
2021-04-01,117.3
2021-05-01,116.7
2021-06-01,117.8
2021-07-01,118.2
2021-08-01,118.6
2021-09-01,119.2
2021-10-01,119.4
2021-11-01,119.6
2021-12-01,120.1
2022-01-01,120.7
2022-02-01,120.9
2022-03-01,122.2
2022-04-01,123.8
2022-05-01,124.7
2022-06-01,124.5
2022-07-01,124.9
2022-08-01,125
2022-09-01,125.2
2022-10-01,125.2
2022-11-01,125.3
2022-12-01,125.7
2023-01-01,125.7
2023-02-01,126
2023-03-01,126.3
2023-04-01,127
2023-05-01,127.7
2023-06-01,128.4
2023-07-01,128.7
2023-08-01,129.6
2023-09-01,130
2023-10-01,130
