"Date","CANWSCNDW01IXOBSAM"
1960-01-01,60.9512002995906
1960-02-01,46.8497785353633
1960-03-01,43.647257841656
1960-04-01,47.4696212502744
1960-05-01,48.6576531205207
1960-06-01,54.8044267100556
1960-07-01,62.9656891230517
1960-08-01,53.7197019589612
1960-09-01,59.5565541910407
1960-10-01,61.9326179315332
1960-11-01,58.3685223207944
1960-12-01,66.3231704954868
1961-01-01,64.5152959103294
1961-02-01,75.000968504242
1961-03-01,72.6249047637495
1961-04-01,66.7880525316701
1961-05-01,62.6041142060202
1961-06-01,67.0463203295497
1961-07-01,61.1061609783184
1961-08-01,68.234352199796
1961-09-01,67.3045881274293
1961-10-01,60.692932501711
1961-11-01,62.3458464081406
1961-12-01,56.1474192590297
1962-01-01,64.6186030294813
1962-02-01,62.4491535272924
1962-03-01,65.8582884593034
1962-04-01,71.9017549296866
1962-05-01,65.5483671018479
1962-06-01,70.8686837381681
1962-07-01,68.18269864022
1962-08-01,67.7178166040367
1962-09-01,66.168209816759
1962-10-01,69.9389196658015
1962-11-01,63.3789175996591
1962-12-01,62.3458464081406
1963-01-01,63.5338782783869
1963-02-01,68.9575020338589
1963-03-01,71.9017549296866
1963-04-01,69.5256911891941
1963-05-01,78.6167176745567
1963-06-01,71.8501013701107
1963-07-01,80.2696315809863
1963-08-01,77.6869536021901
1963-09-01,79.9597102235308
1963-10-01,78.461756995829
1963-11-01,75.1042756233939
1963-12-01,94.8875889409729
1964-01-01,90.0838079004119
1964-02-01,93.1313679153915
1964-03-01,77.3770322447346
1964-04-01,77.1704180064309
1964-05-01,75.7757718978809
1964-06-01,76.3439610532161
1964-07-01,87.1395550045842
1964-08-01,84.4535699066362
1964-09-01,83.9370343108769
1964-10-01,94.16443910691
1964-11-01,105.06334017743
1964-12-01,85.6416017768824
1965-01-01,75.2075827425457
1965-02-01,84.0403414300288
1965-03-01,86.4680587300972
1965-04-01,87.5527834811916
1965-05-01,87.294515683312
1965-06-01,89.9805007812601
1965-07-01,84.8151448236677
1965-08-01,104.133576105063
1965-09-01,81.147742093777
1965-10-01,80.7345136171696
1965-11-01,84.9184519428195
1965-12-01,83.7820736321492
1966-01-01,86.6746729684009
1966-02-01,81.4576634512326
1966-03-01,79.5464817469234
1966-04-01,63.1723033613554
1966-05-01,66.4781311742145
1966-06-01,62.3974999677165
1966-07-01,64.2570281124498
1966-08-01,61.8293108123814
1966-09-01,72.0050620488384
1966-10-01,77.6869536021901
1966-11-01,69.2157698317385
1966-12-01,67.1496274487016
1967-01-01,62.1392321698369
1967-02-01,57.8003331654593
1967-03-01,63.4822247188109
1967-04-01,77.9452214000697
1967-05-01,101.13766964966
1967-06-01,98.4000309921357
1967-07-01,94.5776675835174
1967-08-01,93.2863285941192
1967-09-01,93.5962499515748
1967-10-01,88.8441224705898
1967-11-01,77.4286858043105
1967-12-01,71.591833572231
1968-01-01,88.9474295897416
1968-02-01,98.8132594687431
1968-03-01,98.7616059091672
1968-04-01,101.550898126267
1968-05-01,107.336096798771
1968-06-01,104.133576105063
1968-07-01,99.0715272666228
1968-08-01,98.7616059091672
1968-09-01,82.4907346427511
1968-10-01,105.683182892341
1968-11-01,115.187437854311
1968-12-01,111.984917160604
1969-01-01,129.547127416418
1969-02-01,157.181781789538
1969-03-01,128.25578842702
1969-04-01,127.480985033381
1969-05-01,114.30932734152
1969-06-01,114.515941579824
1969-07-01,102.53231575821
1969-08-01,111.933263601028
1969-09-01,98.0384560751043
1969-10-01,94.0611319877581
1969-11-01,82.6973488810548
1969-12-01,91.7367218068415
1970-01-01,88.637508232286
1970-02-01,83.3688451555418
1970-03-01,87.6560906003435
1970-04-01,83.1105773576622
1970-05-01,65.0318315060887
1970-06-01,76.4472681723679
1970-07-01,95.9206601324914
1970-08-01,95.9723136920673
1970-09-01,99.4847557432302
1970-10-01,133.369490825036
1970-11-01,124.278464339674
1970-12-01,127.222717235501
1971-01-01,103.617040509304
1971-02-01,110.022081896719
1971-03-01,104.391843902943
1971-04-01,131.458309120727
1971-05-01,111.52003512442
1971-06-01,119.113108382081
1971-07-01,121.592479241726
1971-08-01,124.485078577978
1971-09-01,125.104921292889
1971-10-01,123.142086029003
1971-11-01,129.960355893025
1971-12-01,129.495473856842
1972-01-01,113.121295471274
1972-02-01,149.640362091453
1972-03-01,135.125711850618
1972-04-01,120.456100931055
1972-05-01,141.789021035912
1972-06-01,136.36539728044
1972-07-01,126.964449437622
1972-08-01,129.185552499387
1972-09-01,134.71248337401
1972-10-01,128.669016903627
1972-11-01,120.766022288511
1972-12-01,114.206020222369
1973-01-01,136.830279316623
1973-02-01,131.355002001575
1973-03-01,135.383979648498
1973-04-01,149.898629889332
1973-05-01,137.346814912383
1973-06-01,140.032800010331
1973-07-01,146.644455636049
1973-08-01,136.313743720864
1973-09-01,135.022404731466
1973-10-01,139.929492891179
1973-11-01,133.421144384612
1973-12-01,136.10712948256
1974-01-01,147.987448185023
1974-02-01,141.375792559305
1974-03-01,141.892328155064
1974-04-01,126.809488758894
1974-05-01,131.561616239879
1974-06-01,125.673110448224
1974-07-01,108.214207311561
1974-08-01,106.922868322163
1974-09-01,100.982708970932
1974-10-01,91.6334146876897
1974-11-01,92.2016038430248
1974-12-01,91.7367218068415
1975-01-01,90.8586112940508
1975-02-01,84.2986092279084
1975-03-01,77.2220715660068
1975-04-01,97.7285347176487
1975-05-01,108.782396466897
1975-06-01,104.443497462519
1975-07-01,123.503660946035
1975-08-01,126.706181639742
1975-09-01,132.18145895479
1975-10-01,148.194062423327
