"Date","LFAC55MACAM647S"
1999-02-01,778300
1999-03-01,777900
1999-04-01,800899.999999999
1999-05-01,799200
1999-06-01,795300
1999-07-01,801500
1999-08-01,808200
1999-09-01,801600
1999-10-01,820200.000000001
1999-11-01,813300
1999-12-01,803800
2000-01-01,816300
2000-02-01,813200
2000-03-01,810000.000000001
2000-04-01,813000
2000-05-01,829100
2000-06-01,831200
2000-07-01,824300
2000-08-01,834300
2000-09-01,829900
2000-10-01,835700
2000-11-01,840900
2000-12-01,834400
2001-01-01,841700
2001-02-01,835400
2001-03-01,865800
2001-04-01,846100
2001-05-01,856400
2001-06-01,863200
2001-07-01,877900
2001-08-01,876600
2001-09-01,875600
2001-10-01,873000
2001-11-01,872100
2001-12-01,881700
2002-01-01,929300
2002-02-01,919400
2002-03-01,927800
2002-04-01,937900
2002-05-01,937800
2002-06-01,939100
2002-07-01,948900
2002-08-01,950600
2002-09-01,958800
2002-10-01,954500
2002-11-01,983400
2002-12-01,983400
2003-01-01,1002800
2003-02-01,999000
2003-03-01,1003700
2003-04-01,1028100
2003-05-01,1019600
2003-06-01,1029400
2003-07-01,1022800
2003-08-01,1037300
2003-09-01,1045400
2003-10-01,1049900
2003-11-01,1052700
2003-12-01,1058600
2004-01-01,1063000
2004-02-01,1088300
2004-03-01,1079700
2004-04-01,1078600
2004-05-01,1090700
2004-06-01,1088000
2004-07-01,1078700
2004-08-01,1079700
2004-09-01,1087800
2004-10-01,1099600
2004-11-01,1115600
2004-12-01,1117900
2005-01-01,1136000
2005-02-01,1135800
2005-03-01,1137600
2005-04-01,1143600
2005-05-01,1132900
2005-06-01,1141500
2005-07-01,1148600
2005-08-01,1147900
2005-09-01,1157000
2005-10-01,1157700
2005-11-01,1161500
2005-12-01,1158100
2006-01-01,1164100
2006-02-01,1162900
2006-03-01,1167900
2006-04-01,1162800
2006-05-01,1174900
2006-06-01,1187100
2006-07-01,1199400
2006-08-01,1194600
2006-09-01,1189900
2006-10-01,1200600
2006-11-01,1216000
2006-12-01,1226600
2007-01-01,1209300
2007-02-01,1231200
2007-03-01,1220100
2007-04-01,1228900
2007-05-01,1234700
2007-06-01,1242600
2007-07-01,1251300
2007-08-01,1256900
2007-09-01,1245700
2007-10-01,1260500
2007-11-01,1259500
2007-12-01,1276800
2008-01-01,1277300
2008-02-01,1275500
2008-03-01,1269700
2008-04-01,1247200
2008-05-01,1277500
2008-06-01,1293800
2008-07-01,1287100
2008-08-01,1296300
2008-09-01,1295400
2008-10-01,1302900
2008-11-01,1308500
2008-12-01,1322400
2009-01-01,1355500
2009-02-01,1363200
2009-03-01,1358500
2009-04-01,1352200
2009-05-01,1338500
2009-06-01,1325500
2009-07-01,1342200
2009-08-01,1341700
2009-09-01,1333500
2009-10-01,1334700
2009-11-01,1374300
2009-12-01,1391400
2010-01-01,1410400
2010-02-01,1426800
2010-03-01,1409500
2010-04-01,1400100
2010-05-01,1406700
2010-06-01,1398400
2010-07-01,1405500
2010-08-01,1406600
2010-09-01,1436700
2010-10-01,1439600
2010-11-01,1465900
2010-12-01,1469000
2011-01-01,1467100
2011-02-01,1482200
2011-03-01,1476100
2011-04-01,1473400
2011-05-01,1447800
2011-06-01,1463400
2011-07-01,1466700
2011-08-01,1466900
2011-09-01,1474400
2011-10-01,1469200
2011-11-01,1479800
2011-12-01,1501300
2012-01-01,1507200
2012-02-01,1506100
2012-03-01,1501700
2012-04-01,1502600
2012-05-01,1501500
2012-06-01,1503200
2012-07-01,1504800
2012-08-01,1531200
2012-09-01,1539100
2012-10-01,1560400
2012-11-01,1551600
2012-12-01,1556100
2013-01-01,1569300
2013-02-01,1559000
2013-03-01,1563500
2013-04-01,1572400
2013-05-01,1576600
2013-06-01,1570000
2013-07-01,1576700
2013-08-01,1584400
2013-09-01,1573200
2013-10-01,1581400
2013-11-01,1593600
2013-12-01,1575500
2014-01-01,1588500
2014-02-01,1596600
2014-03-01,1610300
2014-04-01,1610800
2014-05-01,1625000
2014-06-01,1641600
2014-07-01,1634700
2014-08-01,1608800
2014-09-01,1616400
2014-10-01,1629300
2014-11-01,1623300
2014-12-01,1606300
2015-01-01,1634700
2015-02-01,1657200
2015-03-01,1653700
2015-04-01,1656800
2015-05-01,1678800
2015-06-01,1684600
2015-07-01,1694200
2015-08-01,1687600
2015-09-01,1679500
2015-10-01,1667000
2015-11-01,1689000
2015-12-01,1697700
2016-01-01,1715100
2016-02-01,1732100
2016-03-01,1721200
2016-04-01,1725100
2016-05-01,1706100
2016-06-01,1711100
2016-07-01,1714700
2016-08-01,1727800
2016-09-01,1735200
2016-10-01,1751300
2016-11-01,1733800
2016-12-01,1750300
2017-01-01,1762800
2017-02-01,1749900
2017-03-01,1747600
2017-04-01,1742300
2017-05-01,1750400
2017-06-01,1742800
2017-07-01,1740900
2017-08-01,1763800
2017-09-01,1759900
2017-10-01,1779000
2017-11-01,1782800
2017-12-01,1781700
2018-01-01,1770000
2018-02-01,1758100
2018-03-01,1785000
2018-04-01,1774700
2018-05-01,1807300
2018-06-01,1823000
2018-07-01,1821600
2018-08-01,1818400
2018-09-01,1822900
2018-10-01,1822300
2018-11-01,1849400
2018-12-01,1840800
2019-01-01,1851300
2019-02-01,1835500
2019-03-01,1839000
2019-04-01,1847900
2019-05-01,1881800
2019-06-01,1867100
2019-07-01,1866800
2019-08-01,1865500
2019-09-01,1860700
2019-10-01,1849800
2019-11-01,1851500
2019-12-01,1850800
2020-01-01,1880100
2020-02-01,1859500
2020-03-01,1857500
2020-04-01,1825400
2020-05-01,1807900
2020-06-01,1793200
2020-07-01,1806600
2020-08-01,1825900
2020-09-01,1837600
2020-10-01,1863000
2020-11-01,1863100
2020-12-01,1893400
2021-01-01,1950900
2021-02-01,1901500
2021-03-01,1918400
2021-04-01,1887700
2021-05-01,1914500
2021-06-01,1908200
2021-07-01,1888300
2021-08-01,1883800
2021-09-01,1872500
2021-10-01,1882100
2021-11-01,1885300
2021-12-01,1860500
2022-01-01,1894500
2022-02-01,1853900
2022-03-01,1850900
2022-04-01,1842700
2022-05-01,1853500
2022-06-01,1832200
2022-07-01,1841400
2022-08-01,1820500
2022-09-01,1832600
2022-10-01,1835600
2022-11-01,1843000
2022-12-01,1839400
2023-01-01,1860500
2023-02-01,1844000
2023-03-01,1848800
2023-04-01,1838000
2023-05-01,1856100
2023-06-01,1842800
2023-07-01,1845000
2023-08-01,1834200
2023-09-01,1825400
2023-10-01,1861300
2023-11-01,1862000
