"Date","MAM2A3CAM189S"
1983-07-01,2.3676e+11
1983-08-01,2.38587e+11
1983-09-01,2.39795e+11
1983-10-01,2.40881e+11
1983-11-01,2.41731e+11
1983-12-01,2.4251e+11
1984-01-01,2.43439e+11
1984-02-01,2.45046e+11
1984-03-01,2.45781e+11
1984-04-01,2.47239e+11
1984-05-01,2.49494e+11
1984-06-01,2.51406e+11
1984-07-01,2.53431e+11
1984-08-01,2.54998e+11
1984-09-01,2.56755e+11
1984-10-01,2.58975e+11
1984-11-01,2.59393e+11
1984-12-01,2.62896e+11
1985-01-01,2.65725e+11
1985-02-01,2.67342e+11
1985-03-01,2.69418e+11
1985-04-01,2.71585e+11
1985-05-01,2.74453e+11
1985-06-01,2.76096e+11
1985-07-01,2.7833e+11
1985-08-01,2.80554e+11
1985-09-01,2.83336e+11
1985-10-01,2.86209e+11
1985-11-01,2.87978e+11
1985-12-01,2.90087e+11
1986-01-01,2.92948e+11
1986-02-01,2.93799e+11
1986-03-01,2.95876e+11
1986-04-01,2.99754e+11
1986-05-01,3.0248e+11
1986-06-01,3.04801e+11
1986-07-01,3.07735e+11
1986-08-01,3.09956e+11
1986-09-01,3.1204e+11
1986-10-01,3.15618e+11
1986-11-01,3.19324e+11
1986-12-01,3.23292e+11
1987-01-01,3.25725e+11
1987-02-01,3.295e+11
1987-03-01,3.32278e+11
1987-04-01,3.36298e+11
1987-05-01,3.38662e+11
1987-06-01,3.41787e+11
1987-07-01,3.44533e+11
1987-08-01,3.46518e+11
1987-09-01,3.49332e+11
1987-10-01,3.5139e+11
1987-11-01,3.47397e+11
1987-12-01,3.50424e+11
1988-01-01,3.52655e+11
1988-02-01,3.55847e+11
1988-03-01,3.59589e+11
1988-04-01,3.62079e+11
1988-05-01,3.64941e+11
1988-06-01,3.70937e+11
1988-07-01,3.7487e+11
1988-08-01,3.80038e+11
1988-09-01,3.839e+11
1988-10-01,3.87483e+11
1988-11-01,3.92833e+11
1988-12-01,3.96348e+11
1989-01-01,3.99917e+11
1989-02-01,4.04181e+11
1989-03-01,4.09052e+11
1989-04-01,4.12353e+11
1989-05-01,4.18335e+11
1989-06-01,4.23313e+11
1989-07-01,4.27116e+11
1989-08-01,4.31853e+11
1989-09-01,4.37146e+11
1989-10-01,4.41924e+11
1989-11-01,4.47654e+11
1989-12-01,4.52688e+11
1990-01-01,4.57855e+11
1990-02-01,4.6265e+11
1990-03-01,4.65123e+11
1990-04-01,4.69479e+11
1990-05-01,4.72184e+11
1990-06-01,4.74499e+11
1990-07-01,4.76613e+11
1990-08-01,4.79846e+11
1990-09-01,4.83611e+11
1990-10-01,4.88581e+11
1990-11-01,4.91908e+11
1990-12-01,4.95901e+11
1991-01-01,5.00149e+11
1991-02-01,5.03556e+11
1991-03-01,5.08297e+11
1991-04-01,5.11203e+11
1991-05-01,5.1443e+11
1991-06-01,5.16282e+11
1991-07-01,5.19573e+11
1991-08-01,5.20683e+11
1991-09-01,5.23004e+11
1991-10-01,5.2514e+11
1991-11-01,5.27586e+11
1991-12-01,5.30684e+11
1992-01-01,5.32995e+11
1992-02-01,5.36165e+11
1992-03-01,5.37771e+11
1992-04-01,5.41526e+11
1992-05-01,5.43525e+11
1992-06-01,5.45271e+11
1992-07-01,5.49216e+11
1992-08-01,5.52269e+11
1992-09-01,5.56045e+11
1992-10-01,5.54207e+11
1992-11-01,5.58744e+11
1992-12-01,5.57966e+11
1993-01-01,5.57397e+11
1993-02-01,5.60084e+11
1993-03-01,5.61213e+11
1993-04-01,5.65042e+11
1993-05-01,5.6809e+11
1993-06-01,5.71641e+11
1993-07-01,5.71647e+11
1993-08-01,5.72852e+11
1993-09-01,5.74158e+11
1993-10-01,5.75145e+11
1993-11-01,5.76426e+11
1993-12-01,5.7759e+11
1994-01-01,5.78229e+11
1994-02-01,5.78816e+11
1994-03-01,5.7592e+11
1994-04-01,5.75597e+11
1994-05-01,5.74929e+11
1994-06-01,5.76503e+11
1994-07-01,5.79074e+11
1994-08-01,5.80656e+11
1994-09-01,5.82478e+11
1994-10-01,5.85256e+11
1994-11-01,5.86283e+11
1994-12-01,5.87363e+11
1995-01-01,5.89405e+11
1995-02-01,5.90294e+11
1995-03-01,5.92961e+11
1995-04-01,5.9657e+11
1995-05-01,5.98085e+11
1995-06-01,6.02156e+11
1995-07-01,6.05098e+11
1995-08-01,6.07101e+11
1995-09-01,6.09642e+11
1995-10-01,6.11532e+11
1995-11-01,6.12844e+11
1995-12-01,6.14517e+11
1996-01-01,6.16671e+11
1996-02-01,6.21546e+11
1996-03-01,6.24137e+11
1996-04-01,6.25421e+11
1996-05-01,6.2781e+11
1996-06-01,6.30261e+11
1996-07-01,6.298e+11
1996-08-01,6.31059e+11
1996-09-01,6.32451e+11
1996-10-01,6.35047e+11
1996-11-01,6.34998e+11
1996-12-01,6.35818e+11
1997-01-01,6.37019e+11
1997-02-01,6.37684e+11
1997-03-01,6.38036e+11
1997-04-01,6.36805e+11
1997-05-01,6.36364e+11
1997-06-01,6.3588e+11
1997-07-01,6.33786e+11
1997-08-01,6.328e+11
1997-09-01,6.31055e+11
1997-10-01,6.3016e+11
1997-11-01,6.30084e+11
1997-12-01,6.28058e+11
1998-01-01,6.26894e+11
1998-02-01,6.23753e+11
1998-03-01,6.20769e+11
1998-04-01,6.21067e+11
1998-05-01,6.21463e+11
1998-06-01,6.21637e+11
1998-07-01,6.23672e+11
1998-08-01,6.26712e+11
1998-09-01,6.28356e+11
1998-10-01,6.31444e+11
1998-11-01,6.32299e+11
1998-12-01,6.34062e+11
1999-01-01,6.38373e+11
1999-02-01,6.39991e+11
1999-03-01,6.42127e+11
1999-04-01,6.4515e+11
1999-05-01,6.48363e+11
1999-06-01,6.50073e+11
1999-07-01,6.53588e+11
1999-08-01,6.56829e+11
1999-09-01,6.59075e+11
