"Date","LFUN55MACAM647N"
1976-01-01,33700
1976-02-01,34700
1976-03-01,38600
1976-04-01,33100
1976-05-01,26400
1976-06-01,19000
1976-07-01,24700
1976-08-01,22300
1976-09-01,24000
1976-10-01,24700
1976-11-01,26200
1976-12-01,32900
1977-01-01,41400
1977-02-01,42500
1977-03-01,42700
1977-04-01,44400
1977-05-01,33800
1977-06-01,30200
1977-07-01,31000
1977-08-01,30600
1977-09-01,29300
1977-10-01,30000
1977-11-01,35500
1977-12-01,41000
1978-01-01,42100
1978-02-01,48300
1978-03-01,55700
1978-04-01,52300
1978-05-01,39700
1978-06-01,36900
1978-07-01,36400
1978-08-01,32500
1978-09-01,36500
1978-10-01,33700
1978-11-01,33500
1978-12-01,40800
1979-01-01,41400
1979-02-01,42000
1979-03-01,51000
1979-04-01,48600
1979-05-01,36700
1979-06-01,32000
1979-07-01,24700
1979-08-01,23400
1979-09-01,26200
1979-10-01,25200
1979-11-01,27900
1979-12-01,33900
1980-01-01,40000
1980-02-01,40400
1980-03-01,43800
1980-04-01,44500
1980-05-01,36300
1980-06-01,25000
1980-07-01,26300
1980-08-01,27100
1980-09-01,25200
1980-10-01,29600
1980-11-01,27800
1980-12-01,31600
1981-01-01,39700
1981-02-01,42100
1981-03-01,43700
1981-04-01,42600
1981-05-01,33700
1981-06-01,31500
1981-07-01,28800
1981-08-01,26500
1981-09-01,29600
1981-10-01,27500
1981-11-01,31100
1981-12-01,42400
1982-01-01,45100
1982-02-01,46100
1982-03-01,56700
1982-04-01,51700
1982-05-01,49700
1982-06-01,50700
1982-07-01,51500
1982-08-01,52800
1982-09-01,60700
1982-10-01,63800
1982-11-01,67400
1982-12-01,66500
1983-01-01,74600
1983-02-01,76000.0000000001
1983-03-01,82400
1983-04-01,82499.9999999999
1983-05-01,69800
1983-06-01,65300
1983-07-01,58700
1983-08-01,55400
1983-09-01,48300
1983-10-01,51200
1983-11-01,55000
1983-12-01,66000
1984-01-01,64800
1984-02-01,64900
1984-03-01,68700
1984-04-01,67600
1984-05-01,62800
1984-06-01,57400
1984-07-01,55800
1984-08-01,56500
1984-09-01,68100
1984-10-01,65800
1984-11-01,71700
1984-12-01,73800
1985-01-01,75900
1985-02-01,74000
1985-03-01,82500
1985-04-01,80100
1985-05-01,68900
1985-06-01,57700
1985-07-01,56100
1985-08-01,60600
1985-09-01,54300
1985-10-01,62000
1985-11-01,62700
1985-12-01,64400
1986-01-01,62700
1986-02-01,68700
1986-03-01,72100
1986-04-01,66500
1986-05-01,56600
1986-06-01,51400
1986-07-01,45700
1986-08-01,55700
1986-09-01,50800
1986-10-01,45100
1986-11-01,47400
1986-12-01,61000
1987-01-01,61700
1987-02-01,57900
1987-03-01,70600
1987-04-01,65500
1987-05-01,52500
1987-06-01,44900
1987-07-01,45700
1987-08-01,42200
1987-09-01,37100
1987-10-01,40100
1987-11-01,41600
1987-12-01,49600
1988-01-01,52300
1988-02-01,60900
1988-03-01,61800
1988-04-01,55800
1988-05-01,49700
1988-06-01,41400.0000000001
1988-07-01,45100
1988-08-01,42400
1988-09-01,43000
1988-10-01,38400
1988-11-01,43700
1988-12-01,46700
1989-01-01,48600
1989-02-01,55300
1989-03-01,63400
1989-04-01,61300
1989-05-01,48900
1989-06-01,53800
1989-07-01,46900
1989-08-01,42000
1989-09-01,44500
1989-10-01,40600
1989-11-01,42400
1989-12-01,42600
1990-01-01,52500
1990-02-01,53500
1990-03-01,50300
1990-04-01,48400
1990-05-01,47100
1990-06-01,42900
1990-07-01,36300
1990-08-01,40600
1990-09-01,39100
1990-10-01,41400
1990-11-01,52600
1990-12-01,60900
1991-01-01,61600
1991-02-01,66500
1991-03-01,74000
1991-04-01,71500
1991-05-01,70000
1991-06-01,65100
1991-07-01,54900
1991-08-01,58600
1991-09-01,51900
1991-10-01,53600
1991-11-01,54900
1991-12-01,58400
1992-01-01,66900
1992-02-01,70300
1992-03-01,83900
1992-04-01,72700
1992-05-01,67400
1992-06-01,69800
1992-07-01,64100
1992-08-01,63400
1992-09-01,65100
1992-10-01,70500
1992-11-01,78200
1992-12-01,75700
1993-01-01,73600
1993-02-01,80400
1993-03-01,83400
1993-04-01,74300
1993-05-01,77300
1993-06-01,69700
1993-07-01,63800
1993-08-01,70300
1993-09-01,65900
1993-10-01,66000
1993-11-01,73300
1993-12-01,78200
1994-01-01,78400
1994-02-01,85800
1994-03-01,84700
1994-04-01,87900
1994-05-01,73800
1994-06-01,62200
1994-07-01,65300
1994-08-01,62600
1994-09-01,55600
1994-10-01,54500
1994-11-01,56700
1994-12-01,64800
1995-01-01,78100
1995-02-01,72800
1995-03-01,72200
1995-04-01,67900
1995-05-01,59400
1995-06-01,56200
1995-07-01,56700
1995-08-01,53000
1995-09-01,45200
1995-10-01,51600
1995-11-01,57000
1995-12-01,53800
1996-01-01,64900
1996-02-01,64000
1996-03-01,61100
1996-04-01,57500
1996-05-01,46899.9999999999
1996-06-01,48600
1996-07-01,46400
1996-08-01,47800
1996-09-01,53800
1996-10-01,57100
1996-11-01,66600
1996-12-01,70500
1997-01-01,69800
1997-02-01,68600
1997-03-01,64000
1997-04-01,61700
1997-05-01,54300
1997-06-01,48100
1997-07-01,52400
1997-08-01,50400
1997-09-01,50100
1997-10-01,51200
1997-11-01,59000
1997-12-01,49600
1998-01-01,56900
1998-02-01,59200
1998-03-01,61600
1998-04-01,60400
1998-05-01,45500
1998-06-01,43100
1998-07-01,48400
1998-08-01,51500
1998-09-01,43500
1998-10-01,47600
1998-11-01,55700
1998-12-01,57300
1999-01-01,55000
1999-02-01,63800
1999-03-01,67900
1999-04-01,64900
1999-05-01,53900
1999-06-01,46000
1999-07-01,46900
1999-08-01,50300
1999-09-01,40000
1999-10-01,39200
1999-11-01,41200
1999-12-01,40200
2000-01-01,48600
2000-02-01,51300
2000-03-01,51500
2000-04-01,52500
2000-05-01,41100
2000-06-01,43800
2000-07-01,35200
2000-08-01,46200
2000-09-01,45500
2000-10-01,41500
2000-11-01,43100
2000-12-01,40800
2001-01-01,60500
2001-02-01,56900
2001-03-01,60600
2001-04-01,53100
2001-05-01,50400
2001-06-01,47400
2001-07-01,40900
2001-08-01,48500
2001-09-01,41700
2001-10-01,42900
2001-11-01,53600
2001-12-01,59900
2002-01-01,75800
2002-02-01,70500
2002-03-01,66900
2002-04-01,65300
2002-05-01,61900
2002-06-01,51300
2002-07-01,55300
2002-08-01,55700
2002-09-01,56200
2002-10-01,56300
2002-11-01,62900
2002-12-01,70800
2003-01-01,80900
2003-02-01,85700
2003-03-01,79200
2003-04-01,79700
2003-05-01,67700
2003-06-01,65400
2003-07-01,56300
2003-08-01,62200
2003-09-01,64000
2003-10-01,63600
2003-11-01,68400
2003-12-01,71700
2004-01-01,76600
2004-02-01,79600
2004-03-01,81900
2004-04-01,73800
2004-05-01,63900
2004-06-01,63500
2004-07-01,55100
2004-08-01,61800
2004-09-01,51600
2004-10-01,52900
2004-11-01,63300
2004-12-01,72300
2005-01-01,71900
2005-02-01,72200
2005-03-01,74100
2005-04-01,71500
2005-05-01,58400
2005-06-01,50200
2005-07-01,56400
2005-08-01,57500
2005-09-01,54000
2005-10-01,55300
2005-11-01,62400
2005-12-01,58600
2006-01-01,71700
2006-02-01,66100
2006-03-01,83000
2006-04-01,72700
2006-05-01,62300
2006-06-01,59100
2006-07-01,63400
2006-08-01,62400
2006-09-01,53800
2006-10-01,54200
2006-11-01,64400
2006-12-01,70300
2007-01-01,84400
2007-02-01,81600
2007-03-01,84600
2007-04-01,79400
2007-05-01,61000
2007-06-01,63800
2007-07-01,58700
2007-08-01,56200
2007-09-01,46100
2007-10-01,55100
2007-11-01,58200
2007-12-01,65100
2008-01-01,82100
2008-02-01,77300
2008-03-01,90800
2008-04-01,75200
2008-05-01,73900
2008-06-01,68800
2008-07-01,69400
2008-08-01,69900
2008-09-01,67600
2008-10-01,74900
2008-11-01,78700
2008-12-01,90600
2009-01-01,101600
2009-02-01,123600
2009-03-01,132600
2009-04-01,121600
2009-05-01,110900
2009-06-01,99600
2009-07-01,108800
2009-08-01,108400
2009-09-01,100300
2009-10-01,101700
