"Date","LFIN25TTCAM647N"
1976-01-01,2367200
1976-02-01,2354500
1976-03-01,2343700
1976-04-01,2318600
1976-05-01,2287300
1976-06-01,2280600
1976-07-01,2310400
1976-08-01,2303400
1976-09-01,2266000
1976-10-01,2269000
1976-11-01,2288300
1976-12-01,2333500
1977-01-01,2393300
1977-02-01,2351300
1977-03-01,2317400
1977-04-01,2312600
1977-05-01,2274900
1977-06-01,2275100
1977-07-01,2341400
1977-08-01,2310600
1977-09-01,2251500
1977-10-01,2260900
1977-11-01,2290700
1977-12-01,2312500
1978-01-01,2369300
1978-02-01,2324400
1978-03-01,2258800
1978-04-01,2258900
1978-05-01,2208600
1978-06-01,2191400
1978-07-01,2231800
1978-08-01,2193300
1978-09-01,2138600
1978-10-01,2146900
1978-11-01,2169700
1978-12-01,2218900
1979-01-01,2262300
1979-02-01,2256300
1979-03-01,2208400
1979-04-01,2220800
1979-05-01,2182600
1979-06-01,2179000
1979-07-01,2196000
1979-08-01,2169100
1979-09-01,2134800
1979-10-01,2119500
1979-11-01,2148100
1979-12-01,2218200
1980-01-01,2233000
1980-02-01,2213000
1980-03-01,2188600
1980-04-01,2165900
1980-05-01,2148400
1980-06-01,2141200
1980-07-01,2194600
1980-08-01,2148400
1980-09-01,2079900
1980-10-01,2097800
1980-11-01,2113200
1980-12-01,2178400
1981-01-01,2191300
1981-02-01,2145700
1981-03-01,2102200
1981-04-01,2100200
1981-05-01,2050400
1981-06-01,2016800
1981-07-01,2090400
1981-08-01,2067600
1981-09-01,1973800
1981-10-01,1983300
1981-11-01,2045200
1981-12-01,2130000
1982-01-01,2206400
1982-02-01,2188100
1982-03-01,2120400
1982-04-01,2147000
1982-05-01,2090700
1982-06-01,2082800
1982-07-01,2133700
1982-08-01,2126100
1982-09-01,2094300
1982-10-01,2097600
1982-11-01,2141800
1982-12-01,2193300
1983-01-01,2242700
1983-02-01,2211200
1983-03-01,2121700
1983-04-01,2115200
1983-05-01,2056700
1983-06-01,2023200
1983-07-01,2088000
1983-08-01,2064600
1983-09-01,2025200
1983-10-01,2061800
1983-11-01,2104000
1983-12-01,2162200
1984-01-01,2238200
1984-02-01,2188900
1984-03-01,2129200
1984-04-01,2133200
1984-05-01,2051700
1984-06-01,2030800
1984-07-01,2092200
1984-08-01,2042800
1984-09-01,1953900
1984-10-01,1995000
1984-11-01,2028200
1984-12-01,2102300
1985-01-01,2121700
1985-02-01,2101500
1985-03-01,2025300
1985-04-01,2021600
1985-05-01,1973600
1985-06-01,1972500
1985-07-01,2026100
1985-08-01,1994900
1985-09-01,1943200
1985-10-01,1966800
1985-11-01,1983400
1985-12-01,2039800
1986-01-01,2042500
1986-02-01,2035600
1986-03-01,1968800
1986-04-01,1957300
1986-05-01,1960400
1986-06-01,1938200
1986-07-01,1989600
1986-08-01,1946100
1986-09-01,1897900
1986-10-01,1910700
1986-11-01,1947500
1986-12-01,2003800
1987-01-01,2042900
1987-02-01,2034000
1987-03-01,1949400
1987-04-01,1944500
1987-05-01,1903300
1987-06-01,1862300
1987-07-01,1955600
1987-08-01,1927300
1987-09-01,1861300
1987-10-01,1879100
1987-11-01,1928200
1987-12-01,1961100
1988-01-01,2012500
1988-02-01,1968500
1988-03-01,1923800
1988-04-01,1925800
1988-05-01,1878000
1988-06-01,1832100
1988-07-01,1921400
1988-08-01,1872700
1988-09-01,1861500
1988-10-01,1851800
1988-11-01,1905500
1988-12-01,1958600
1989-01-01,1984000
1989-02-01,1968300
1989-03-01,1889000
1989-04-01,1900600
1989-05-01,1836200
1989-06-01,1832300
1989-07-01,1893700
1989-08-01,1835000
1989-09-01,1805800
1989-10-01,1833200
1989-11-01,1871500
1989-12-01,1935700
1990-01-01,1977300
1990-02-01,1962400
1990-03-01,1960400
1990-04-01,1922100
1990-05-01,1859800
1990-06-01,1822800
1990-07-01,1876200
1990-08-01,1837200
1990-09-01,1809500
1990-10-01,1812500
1990-11-01,1885300
1990-12-01,1976400
1991-01-01,2012000
1991-02-01,1988100
1991-03-01,1931500
1991-04-01,1947300
1991-05-01,1898600
1991-06-01,1853900
1991-07-01,1927800
1991-08-01,1885500
1991-09-01,1903600
1991-10-01,1911900
1991-11-01,1989200
1991-12-01,2091200
1992-01-01,2159700
1992-02-01,2130200
1992-03-01,2077900
1992-04-01,2124800
1992-05-01,2056800
1992-06-01,2005800
1992-07-01,2058400
1992-08-01,2060100
1992-09-01,2044400
1992-10-01,2060200
1992-11-01,2027500
1992-12-01,2128500
1993-01-01,2207400
1993-02-01,2199400
1993-03-01,2138800
1993-04-01,2140400
1993-05-01,2044900
1993-06-01,1985400
1993-07-01,2049800
1993-08-01,2020400
1993-09-01,2002200
1993-10-01,2049800
1993-11-01,2095600
1993-12-01,2151100
1994-01-01,2224600
1994-02-01,2247200
1994-03-01,2246200
1994-04-01,2202600
1994-05-01,2125200
1994-06-01,2107000
1994-07-01,2128400
1994-08-01,2070700
1994-09-01,2058400
1994-10-01,2082000
1994-11-01,2117400
1994-12-01,2173100
1995-01-01,2227900
1995-02-01,2236400
1995-03-01,2165200
1995-04-01,2225900
1995-05-01,2136600
1995-06-01,2118100
1995-07-01,2164500
1995-08-01,2124400
1995-09-01,2115900
1995-10-01,2150800
1995-11-01,2227500
1995-12-01,2251800
1996-01-01,2260500
1996-02-01,2279100
1996-03-01,2251000
1996-04-01,2259200
1996-05-01,2196000
1996-06-01,2139900
1996-07-01,2168700
1996-08-01,2139500
1996-09-01,2108900
1996-10-01,2132700
1996-11-01,2199000
1996-12-01,2225400
1997-01-01,2277000
1997-02-01,2267900
1997-03-01,2244500
1997-04-01,2211000
1997-05-01,2116100
1997-06-01,2108000
1997-07-01,2158400
1997-08-01,2082500
1997-09-01,2046700
1997-10-01,2053000
1997-11-01,2099800
1997-12-01,2178600
1998-01-01,2211300
1998-02-01,2188400
1998-03-01,2173100
1998-04-01,2133900
1998-05-01,2069700
1998-06-01,2058400
1998-07-01,2116300
1998-08-01,2081300
1998-09-01,2046200
1998-10-01,2061800
1998-11-01,2099400
1998-12-01,2131700
1999-01-01,2188500
1999-02-01,2157300
1999-03-01,2153400
1999-04-01,2076300
1999-05-01,2015800
1999-06-01,2021300
1999-07-01,2078700
1999-08-01,2010600
1999-09-01,2040500
1999-10-01,2055300
1999-11-01,2096500
1999-12-01,2154000
2000-01-01,2211500
2000-02-01,2149000
2000-03-01,2125100
2000-04-01,2112500
2000-05-01,2039700
2000-06-01,2014500
2000-07-01,2093700
2000-08-01,2041200
2000-09-01,2043600
2000-10-01,2037800
2000-11-01,2058300
2000-12-01,2119400
2001-01-01,2134400
2001-02-01,2113800
2001-03-01,2107800
2001-04-01,2059800
