"Date","LFEAMNTTCAM647S"
2008-01-01,1951300
2008-02-01,1931700
2008-03-01,1930600
2008-04-01,1932800
2008-05-01,1948600
2008-06-01,1944500
2008-07-01,1920000
2008-08-01,1929000
2008-09-01,1911000
2008-10-01,1896100
2008-11-01,1869900
2008-12-01,1875500
2009-01-01,1794400
2009-02-01,1782900
2009-03-01,1787800
2009-04-01,1777300
2009-05-01,1750400
2009-06-01,1740900
2009-07-01,1739800
2009-08-01,1736500
2009-09-01,1760200
2009-10-01,1766000
2009-11-01,1766200
2009-12-01,1757000
2010-01-01,1741100
2010-02-01,1746400
2010-03-01,1726300
2010-04-01,1725400
2010-05-01,1723000
2010-06-01,1732500
2010-07-01,1739400
2010-08-01,1732700
2010-09-01,1730000
2010-10-01,1739100
2010-11-01,1742700
2010-12-01,1750000
2011-01-01,1758000
2011-02-01,1763800
2011-03-01,1767600
2011-04-01,1763600
2011-05-01,1772500
2011-06-01,1754700
2011-07-01,1746500
2011-08-01,1746800
2011-09-01,1749200
2011-10-01,1732200
2011-11-01,1739600
2011-12-01,1748700
2012-01-01,1757500
2012-02-01,1757300
2012-03-01,1773300
2012-04-01,1781600
2012-05-01,1780000
2012-06-01,1788600
2012-07-01,1793100
2012-08-01,1792300
2012-09-01,1786000
2012-10-01,1776800
2012-11-01,1769600
2012-12-01,1767900
2013-01-01,1756100
2013-02-01,1753100
2013-03-01,1741300
2013-04-01,1742100
2013-05-01,1734500
2013-06-01,1727300
2013-07-01,1729800
2013-08-01,1718500
2013-09-01,1712100
2013-10-01,1724800
2013-11-01,1726300
2013-12-01,1723500
2014-01-01,1712500
2014-02-01,1712200
2014-03-01,1715400
2014-04-01,1711700
2014-05-01,1704900
2014-06-01,1720400
2014-07-01,1726000
2014-08-01,1727800
2014-09-01,1732500
2014-10-01,1739200
2014-11-01,1727200
2014-12-01,1720600
2015-01-01,1719100
2015-02-01,1714400
2015-03-01,1718300
2015-04-01,1722500
2015-05-01,1739700
2015-06-01,1734200
2015-07-01,1735800
2015-08-01,1733200
2015-09-01,1743200
2015-10-01,1741200
2015-11-01,1757000
2015-12-01,1751400
2016-01-01,1755200
2016-02-01,1756600
2016-03-01,1738100
2016-04-01,1725000
2016-05-01,1718700
2016-06-01,1716400
2016-07-01,1720300
2016-08-01,1737600
2016-09-01,1749500
2016-10-01,1722000
2016-11-01,1713800
