"Date","LCEAMN01CAM189S"
1960-01-01,1.77
1960-02-01,1.77
1960-03-01,1.78
1960-04-01,1.79
1960-05-01,1.79
1960-06-01,1.78
1960-07-01,1.77
1960-08-01,1.76
1960-09-01,1.77
1960-10-01,1.78
1960-11-01,1.79
1960-12-01,1.83
1961-01-01,1.82
1961-02-01,1.82
1961-03-01,1.83
1961-04-01,1.84
1961-05-01,1.84
1961-06-01,1.83
1961-07-01,1.82
1961-08-01,1.82
1961-09-01,1.82
1961-10-01,1.84
1961-11-01,1.84
1961-12-01,1.88
1962-01-01,1.86
1962-02-01,1.87
1962-03-01,1.87
1962-04-01,1.89
1962-05-01,1.89
1962-06-01,1.89
1962-07-01,1.88
1962-08-01,1.86
1962-09-01,1.88
1962-10-01,1.89
1962-11-01,1.9
1962-12-01,1.94
1963-01-01,1.93
1963-02-01,1.93
1963-03-01,1.93
1963-04-01,1.95
1963-05-01,1.95
1963-06-01,1.95
1963-07-01,1.93
1963-08-01,1.93
1963-09-01,1.95
1963-10-01,1.96
1963-11-01,1.98
1963-12-01,2.01
1964-01-01,1.99
1964-02-01,1.99
1964-03-01,2.01
1964-04-01,2.01
1964-05-01,2.02
1964-06-01,2.02
1964-07-01,2.01
1964-08-01,2.02
1964-09-01,2.03
1964-10-01,2.03
1964-11-01,2.04
1964-12-01,2.08
1965-01-01,2.08
1965-02-01,2.08
1965-03-01,2.11
1965-04-01,2.12
1965-05-01,2.11
1965-06-01,2.11
1965-07-01,2.09
1965-08-01,2.09
1965-09-01,2.13
1965-10-01,2.15
1965-11-01,2.16
1965-12-01,2.18
1966-01-01,2.19
1966-02-01,2.2
1966-03-01,2.22
1966-04-01,2.23
1966-05-01,2.23
1966-06-01,2.23
1966-07-01,2.23
1966-08-01,2.24
1966-09-01,2.27
1966-10-01,2.29
1966-11-01,2.31
1966-12-01,2.31
1967-01-01,2.33
1967-02-01,2.35
1967-03-01,2.37
1967-04-01,2.38
1967-05-01,2.38
1967-06-01,2.39
1967-07-01,2.4
1967-08-01,2.4
1967-09-01,2.43
1967-10-01,2.45
1967-11-01,2.46
1967-12-01,2.5
1968-01-01,2.49
1968-02-01,2.49
1968-03-01,2.51
1968-04-01,2.56
1968-05-01,2.57
1968-06-01,2.57
1968-07-01,2.56
1968-08-01,2.59
1968-09-01,2.62
1968-10-01,2.64
1968-11-01,2.66
1968-12-01,2.7
1969-01-01,2.71
1969-02-01,2.72
1969-03-01,2.74
1969-04-01,2.75
1969-05-01,2.77
1969-06-01,2.78
1969-07-01,2.77
1969-08-01,2.78
1969-09-01,2.82
1969-10-01,2.84
1969-11-01,2.88
1969-12-01,2.92
1970-01-01,2.92
1970-02-01,2.93
1970-03-01,2.96
1970-04-01,2.99
1970-05-01,2.99
1970-06-01,3.01
1970-07-01,3
1970-08-01,3.02
1970-09-01,3.02
1970-10-01,3.06
1970-11-01,3.09
1970-12-01,3.17
1971-01-01,3.19
1971-02-01,3.21
1971-03-01,3.21
1971-04-01,3.23
1971-05-01,3.27
1971-06-01,3.29
1971-07-01,3.27
1971-08-01,3.28
1971-09-01,3.32
1971-10-01,3.35
1971-11-01,3.36
1971-12-01,3.41
1972-01-01,3.42
1972-02-01,3.43
1972-03-01,3.46
1972-04-01,3.5
1972-05-01,3.51
1972-06-01,3.51
1972-07-01,3.53
1972-08-01,3.56
1972-09-01,3.59
1972-10-01,3.62
1972-11-01,3.64
1972-12-01,3.69
1973-01-01,3.71
1973-02-01,3.72
1973-03-01,3.76
1973-04-01,3.79
1973-05-01,3.82
1973-06-01,3.85
1973-07-01,3.85
1973-08-01,3.83
1973-09-01,3.93
1973-10-01,3.98
1973-11-01,3.97
1973-12-01,4.04
1974-01-01,4.08
1974-02-01,4.09
1974-03-01,4.15
1974-04-01,4.21
1974-05-01,4.27
1974-06-01,4.3
1974-07-01,4.39
1974-08-01,4.44
1974-09-01,4.54
1974-10-01,4.64
1974-11-01,4.66
