"Date","LFEAAGTTCAM647N"
1969-08-01,762000
1969-09-01,690000
1969-10-01,648000
1969-11-01,588000
1969-12-01,550000
1970-01-01,448000
1970-02-01,461000
1970-03-01,460000
1970-04-01,496000
1970-05-01,550000
1970-06-01,570000
1970-07-01,592000
1970-08-01,601000
1970-09-01,538000
1970-10-01,508000
1970-11-01,477000
1970-12-01,459000
1971-01-01,465000
1971-02-01,457000
1971-03-01,460000
1971-04-01,523000
1971-05-01,550000
1971-06-01,551000
1971-07-01,588000
1971-08-01,611000
1971-09-01,544000
1971-10-01,511000
1971-11-01,467000
1971-12-01,445000
1972-01-01,445000
1972-02-01,428000
1972-03-01,427000
1972-04-01,476000
1972-05-01,529000
1972-06-01,541000
1972-07-01,548000
1972-08-01,560000
1972-09-01,521000
1972-10-01,490000
1972-11-01,429000
1972-12-01,418000
1973-01-01,427000
1973-02-01,425000
1973-03-01,453000
1973-04-01,487000
1973-05-01,518000
1973-06-01,520000
1973-07-01,532000
1973-08-01,547000
1973-09-01,479000
1973-10-01,449000
1973-11-01,415000
1973-12-01,399000
1974-01-01,410000
1974-02-01,431000
1974-03-01,448000
1974-04-01,481000
1974-05-01,504000
1974-06-01,540000
1974-07-01,542000
1974-08-01,533000
1974-09-01,496000
1974-10-01,490000
1974-11-01,427000
1974-12-01,416000
1975-01-01,495000
1975-02-01,492000
1975-03-01,496000
1975-04-01,524000
1975-05-01,614000
1975-06-01,653000
1975-07-01,653000
1975-08-01,675000
1975-09-01,608000
1975-10-01,567000
1975-11-01,532000
1975-12-01,503000
1976-01-01,483000
1976-02-01,487000
1976-03-01,485000
1976-04-01,516000
1976-05-01,563000
1976-06-01,603000
1976-07-01,646000
1976-08-01,669000
1976-09-01,626000
1976-10-01,590000
1976-11-01,561000
1976-12-01,512000
1977-01-01,478000
1977-02-01,471000
1977-03-01,471000
1977-04-01,514000
1977-05-01,575000
1977-06-01,611000
1977-07-01,647000
1977-08-01,650000
1977-09-01,618000
1977-10-01,589000
1977-11-01,530000
1977-12-01,488000
1978-01-01,472000
1978-02-01,481000
1978-03-01,488000
1978-04-01,501000
1978-05-01,581000
1978-06-01,629000
1978-07-01,671000
1978-08-01,682000
1978-09-01,653000
1978-10-01,628000
1978-11-01,565000
1978-12-01,541000
1979-01-01,515000
1979-02-01,522000
1979-03-01,535000
1979-04-01,552000
1979-05-01,619000
1979-06-01,645000
1979-07-01,662000
1979-08-01,676000
1979-09-01,625000
1979-10-01,602000
1979-11-01,576000
1979-12-01,551000
1980-01-01,533000
1980-02-01,527000
1980-03-01,538000
1980-04-01,565000
1980-05-01,610000
1980-06-01,622000
1980-07-01,649000
1980-08-01,647000
1980-09-01,611000
1980-10-01,596000
1980-11-01,555000
1980-12-01,548000
1981-01-01,526000
1981-02-01,526000
1981-03-01,541000
1981-04-01,569000
1981-05-01,621000
1981-06-01,661000
1981-07-01,693000
1981-08-01,711000
1981-09-01,655000
1981-10-01,609000
1981-11-01,565000
1981-12-01,524000
1982-01-01,499000
1982-02-01,485000
1982-03-01,493000
1982-04-01,502000
1982-05-01,573000
1982-06-01,597000
1982-07-01,630000
1982-08-01,655000
1982-09-01,627000
1982-10-01,603000
1982-11-01,547000
1982-12-01,516000
1983-01-01,507000
1983-02-01,515000
1983-03-01,515000
1983-04-01,523000
1983-05-01,596000
1983-06-01,645000
1983-07-01,679000
1983-08-01,697000
1983-09-01,653000
1983-10-01,624000
1983-11-01,581000
1983-12-01,548000
1984-01-01,517000
1984-02-01,520000
1984-03-01,539000
1984-04-01,565000
1984-05-01,617000
1984-06-01,645000
1984-07-01,681000
1984-08-01,682000
1984-09-01,629000
1984-10-01,595000
1984-11-01,542000
1984-12-01,524000
1985-01-01,518000
1985-02-01,501000
1985-03-01,522000
1985-04-01,538000
1985-05-01,602000
1985-06-01,611000
1985-07-01,640000
1985-08-01,672000
1985-09-01,622000
1985-10-01,597000
1985-11-01,552000
1985-12-01,521000
1986-01-01,521000
1986-02-01,515000
1986-03-01,512000
1986-04-01,544000
1986-05-01,599000
1986-06-01,633000
1986-07-01,637000
1986-08-01,641000
1986-09-01,607000
1986-10-01,589000
1986-11-01,532000
1986-12-01,505000
1987-01-01,508800
1987-02-01,511500
1987-03-01,513400
1987-04-01,531700
1987-05-01,587700
1987-06-01,617600
1987-07-01,644100
1987-08-01,648300
1987-09-01,614400
1987-10-01,575600
1987-11-01,540100
1987-12-01,512400
1988-01-01,500600
1988-02-01,506900
1988-03-01,512700
1988-04-01,522900
1988-05-01,581000
1988-06-01,599300
1988-07-01,634100
1988-08-01,636800
1988-09-01,608200
1988-10-01,578900
1988-11-01,541900
1988-12-01,521500
1989-01-01,506700
1989-02-01,5e+05
1989-03-01,508900
1989-04-01,521100
1989-05-01,585500
1989-06-01,591000
1989-07-01,616700
1989-08-01,630300
1989-09-01,600200
1989-10-01,561100
1989-11-01,520900
1989-12-01,510400
1990-01-01,507200
1990-02-01,504800
1990-03-01,508900
1990-04-01,525300
1990-05-01,569300
1990-06-01,585000
1990-07-01,616000
1990-08-01,619200
1990-09-01,586800
1990-10-01,552100
1990-11-01,522000
1990-12-01,509500
1991-01-01,501900
1991-02-01,505700
1991-03-01,509800
1991-04-01,530500
1991-05-01,596000
1991-06-01,605300
1991-07-01,631900
1991-08-01,629900
1991-09-01,600300
1991-10-01,572400
1991-11-01,532900
1991-12-01,510800
1992-01-01,503000
1992-02-01,506300
1992-03-01,502300
1992-04-01,513600
1992-05-01,570500
1992-06-01,589000
1992-07-01,611000
1992-08-01,612900
1992-09-01,575100
1992-10-01,551400
1992-11-01,522900
1992-12-01,495200
1993-01-01,487500
1993-02-01,493600
1993-03-01,498500
1993-04-01,509900
1993-05-01,579600
1993-06-01,595600
1993-07-01,628100
1993-08-01,626100
1993-09-01,582500
1993-10-01,576700
1993-11-01,546000
1993-12-01,517200
1994-01-01,501600
1994-02-01,501600
1994-03-01,508400
1994-04-01,522900
1994-05-01,587300
1994-06-01,600700
1994-07-01,618700
1994-08-01,614200
1994-09-01,599000
1994-10-01,568500
1994-11-01,541600
1994-12-01,516200
1995-01-01,504300
1995-02-01,502400
1995-03-01,508600
1995-04-01,511100
1995-05-01,566000
1995-06-01,588500
1995-07-01,602700
1995-08-01,597800
1995-09-01,561800
1995-10-01,546300
1995-11-01,505200
1995-12-01,492600
1996-01-01,479000
1996-02-01,486400
1996-03-01,489300
1996-04-01,499300
1996-05-01,548100
1996-06-01,568600
1996-07-01,591300
1996-08-01,588700
1996-09-01,555000
1996-10-01,544200
1996-11-01,517500
1996-12-01,503200
1997-01-01,489600
1997-02-01,483100
1997-03-01,482300
1997-04-01,489800
1997-05-01,528100
1997-06-01,560100
1997-07-01,575800
1997-08-01,586900
1997-09-01,556700
1997-10-01,537600
1997-11-01,510200
1997-12-01,494200
1998-01-01,484800
1998-02-01,488300
1998-03-01,502700
1998-04-01,519100
1998-05-01,558100
1998-06-01,569700
1998-07-01,588600
1998-08-01,601800
1998-09-01,569000
1998-10-01,539100
1998-11-01,492400
1998-12-01,485500
1999-01-01,465700
1999-02-01,476100
1999-03-01,473200
1999-04-01,486900
1999-05-01,530000
1999-06-01,552300
1999-07-01,569900
1999-08-01,567200
1999-09-01,537800
1999-10-01,518600
1999-11-01,500900
1999-12-01,476500
2000-01-01,465600
2000-02-01,467700
2000-03-01,470500
2000-04-01,466800
2000-05-01,514400
2000-06-01,529900
2000-07-01,541400
2000-08-01,532500
2000-09-01,494400
2000-10-01,473900
2000-11-01,444400
2000-12-01,422700
2001-01-01,405500
2001-02-01,397600
2001-03-01,399300
2001-04-01,411900
2001-05-01,442400
2001-06-01,453300
2001-07-01,475200
2001-08-01,468400
2001-09-01,437100
2001-10-01,418900
2001-11-01,394100
2001-12-01,366700
2002-01-01,358500
2002-02-01,352700
2002-03-01,375500
2002-04-01,387400
2002-05-01,424300
2002-06-01,452600
2002-07-01,480900
2002-08-01,480300
2002-09-01,466500
2002-10-01,456300
2002-11-01,432300
2002-12-01,413200
2003-01-01,401600
2003-02-01,396200
2003-03-01,399700
2003-04-01,406600
2003-05-01,439500
2003-06-01,464400
2003-07-01,478700
2003-08-01,478700
2003-09-01,449200
2003-10-01,439100
2003-11-01,422300
2003-12-01,408400
2004-01-01,387100
2004-02-01,385600
2004-03-01,393000
2004-04-01,402200
2004-05-01,441000
2004-06-01,466600
2004-07-01,471500
2004-08-01,461200
2004-09-01,430400
2004-10-01,417700
