"Date","M10007M144NNBR"
1919-01-01,179.2
1919-02-01,151.8
1919-03-01,84.5
1919-04-01,52.4
1919-05-01,152.8
1919-06-01,264.7
1919-07-01,272.6
1919-08-01,250.4
1919-09-01,233
1919-10-01,303.6
1919-11-01,200
1919-12-01,158.5
1920-01-01,288.2
1920-02-01,199.2
1920-03-01,288.5
1920-04-01,324.5
1920-05-01,336.4
1920-06-01,259.7
1920-07-01,184.4
1920-08-01,109.6
1920-09-01,109.6
1920-10-01,287.4
1920-11-01,110.4
1920-12-01,212.1
1921-01-01,209.1
1921-02-01,184.6
1921-03-01,122.3
1921-04-01,172.4
1921-05-01,172.4
1921-06-01,60.9
1921-07-01,186
1921-08-01,64.8
1921-09-01,178.2
1921-10-01,56.2
1921-11-01,161.7
1921-12-01,254.4
1922-01-01,195.7
1922-02-01,117.7
1922-03-01,232.2
1922-04-01,272
1922-05-01,301.8
1922-06-01,268.7
1922-07-01,121.6
1922-08-01,98.6
1922-09-01,286.2
1922-10-01,163.2
1922-11-01,98.1
1922-12-01,180
1923-01-01,444.1
1923-02-01,230.1
1923-03-01,242.9
1923-04-01,241.7
1923-05-01,166.6
1923-06-01,214.6
1923-07-01,130.5
1923-08-01,111.7
1923-09-01,137.1
1923-10-01,211.7
1923-11-01,309.9
1923-12-01,261.6
1924-01-01,276.9
1924-02-01,228.3
1924-03-01,254.6
1924-04-01,249.9
1924-05-01,447.3
1924-06-01,252.9
1924-07-01,233
1924-08-01,195
1924-09-01,273.4
1924-10-01,361.9
1924-11-01,235.3
1924-12-01,314
1925-01-01,413.4
1925-02-01,450.2
1925-03-01,282.4
1925-04-01,411.4
1925-05-01,260.9
1925-06-01,311.5
1925-07-01,323.4
1925-08-01,211.8
1925-09-01,294.3
1925-10-01,301
1925-11-01,365.6
1925-12-01,474.9
1926-01-01,545.8
1926-02-01,381.1
1926-03-01,443.2
1926-04-01,331.5
1926-05-01,441.6
1926-06-01,379
1926-07-01,414.6
1926-08-01,176.2
1926-09-01,283.2
1926-10-01,276.7
1926-11-01,330.7
1926-12-01,353.2
1927-01-01,510.4
1927-02-01,540.9
1927-03-01,393.3
1927-04-01,390.2
1927-05-01,452.8
1927-06-01,538.3
1927-07-01,341.7
1927-08-01,277.8
1927-09-01,378.3
1927-10-01,574.9
1927-11-01,403.9
1927-12-01,588.6
1928-01-01,423
1928-02-01,424.9
1928-03-01,405
1928-04-01,493.2
1928-05-01,607.8
1928-06-01,613.9
1928-07-01,284.8
1928-08-01,182.7
1928-09-01,391.2
1928-10-01,603.5
1928-11-01,708.6
1928-12-01,941.1
1929-01-01,828.3
1929-02-01,853.2
1929-03-01,882.5
1929-04-01,586.7
1929-05-01,923
1929-06-01,624.9
1929-07-01,803.6
1929-08-01,763.2
1929-09-01,1201.3
1929-10-01,724.2
1929-11-01,186.8
1929-12-01,261.9
1930-01-01,629.1
1930-02-01,468.6
1930-03-01,630.9
1930-04-01,628.4
1930-05-01,864
1930-06-01,445.4
1930-07-01,402.3
1930-08-01,121.5
1930-09-01,284.6
1930-10-01,151.1
1930-11-01,137.6
1930-12-01,180.9
1931-01-01,399.8
1931-02-01,74.3
1931-03-01,269
1931-04-01,267.5
1931-05-01,169.4
1931-06-01,131.3
1931-07-01,115.1
1931-08-01,46.2
1931-09-01,156.4
1931-10-01,17.4
1931-11-01,50.1
1931-12-01,67
1932-01-01,46.7
1932-02-01,38.9
1932-03-01,48.2
1932-04-01,15.1
1932-05-01,7.2
1932-06-01,4.1
1932-07-01,62.8
1932-08-01,26.3
1932-09-01,6.6
1932-10-01,48.5
1932-11-01,10.6
1932-12-01,10.4
1933-01-01,22.2
1933-02-01,1.3
1933-03-01,3.2
1933-04-01,17.3
1933-05-01,3.6
1933-06-01,12.1
1933-07-01,52.9
1933-08-01,14
1933-09-01,8.9
1933-10-01,3.1
1933-11-01,6.5
1933-12-01,15.6
1934-01-01,6
1934-02-01,13.1
1934-03-01,13.8
1934-04-01,28.2
1934-05-01,28.8
1934-06-01,9.4
1934-07-01,20.3
1934-08-01,8
1934-09-01,7.2
1934-10-01,0.4
1934-11-01,8.2
1934-12-01,34.9
1935-01-01,5.3
1935-02-01,6.5
1935-03-01,7.9
1935-04-01,22
1935-05-01,45.2
1935-06-01,13.7
1935-07-01,55.1
1935-08-01,29.8
1935-09-01,45.1
1935-10-01,73
1935-11-01,33.3
1935-12-01,66.7
1936-01-01,72.9
1936-02-01,13.5
1936-03-01,58.8
1936-04-01,127.9
1936-05-01,37.6
1936-06-01,151.9
1936-07-01,69.8
1936-08-01,170.8
1936-09-01,74.6
1936-10-01,109.9
1936-11-01,109.1
1936-12-01,218.2
1937-01-01,96.6
1937-02-01,154.6
1937-03-01,139.2
1937-04-01,79.4
1937-05-01,83
1937-06-01,276.1
1937-07-01,81.7
1937-08-01,50.9
1937-09-01,113.7
1937-10-01,67
1937-11-01,36.1
1937-12-01,46.6
1938-01-01,46.4
1938-02-01,40.9
1938-03-01,24
1938-04-01,11.7
1938-05-01,37.6
1938-06-01,202.3
1938-07-01,130.3
1938-08-01,128.3
1938-09-01,84.9
1938-10-01,63.9
1938-11-01,43.5
1938-12-01,59.6
1939-01-01,5.9
1939-02-01,23.8
1939-03-01,58.2
1939-04-01,78.2
1939-05-01,21.7
1939-06-01,31.2
1939-07-01,49.7
1939-08-01,25.9
1939-09-01,16
1939-10-01,20.3
1939-11-01,21.6
1939-12-01,30.8
1940-01-01,35.5
1940-02-01,46
1940-03-01,31.5
1940-04-01,59.2
1940-05-01,89.8
1940-06-01,9.8
1940-07-01,49.8
1940-08-01,67.9
1940-09-01,68
1940-10-01,47.7
1940-11-01,168.9
1940-12-01,62.2
1941-01-01,52.9
1941-02-01,46.6
1941-03-01,86.6
1941-04-01,39.5
1941-05-01,63.9
1941-06-01,90.9
1941-07-01,47.1
1941-08-01,327.4
1941-09-01,34.3
1941-10-01,103.7
1941-11-01,89.4
1941-12-01,80
1942-01-01,72.9
1942-02-01,56.7
1942-03-01,79.1
1942-04-01,97.1
1942-05-01,103.8
1942-06-01,76.8
1942-07-01,27.5
1942-08-01,58.6
1942-09-01,28.4
1942-10-01,2.4
1942-11-01,6.7
1942-12-01,14.7
1943-01-01,2.8
1943-02-01,11.3
1943-03-01,56.9
1943-04-01,20.8
1943-05-01,28.6
1943-06-01,30
1943-07-01,19.2
1943-08-01,22.4
1943-09-01,9.9
1943-10-01,40.7
1943-11-01,121
1943-12-01,14.2
1944-01-01,38.8
1944-02-01,62.6
1944-03-01,56.9
1944-04-01,76.4
1944-05-01,36.1
1944-06-01,36.4
1944-07-01,57.3
1944-08-01,105.6
1944-09-01,30.2
1944-10-01,136.6
1944-11-01,26.6
1944-12-01,20.4
1945-01-01,44.1
1945-02-01,28.9
1945-03-01,45.5
1945-04-01,102.4
1945-05-01,159.4
1945-06-01,1.4
1945-07-01,212.2
1945-08-01,107.5
1945-09-01,106.2
