"Date","LFACTTFECAM647N"
1960-01-01,1580000
1960-02-01,1590000
1960-03-01,1608000
1960-04-01,1581000
1960-05-01,1643000
1960-06-01,1657000
1960-07-01,1664000
1960-08-01,1699000
1960-09-01,1698000
1960-10-01,1727000
1960-11-01,1713000
1960-12-01,1722000
1961-01-01,1699000
1961-02-01,1687000
1961-03-01,1678000
1961-04-01,1722000
1961-05-01,1753000
1961-06-01,1762000
1961-07-01,1774000
1961-08-01,1749000
1961-09-01,1751000
1961-10-01,1758000
1961-11-01,1764000
1961-12-01,1774000
1962-01-01,1726000
1962-02-01,1716000
1962-03-01,1752000
1962-04-01,1757000
1962-05-01,1779000
1962-06-01,1846000
1962-07-01,1852000
1962-08-01,1847000
1962-09-01,1828000
1962-10-01,1817000
1962-11-01,1835000
1962-12-01,1806000
1963-01-01,1766000
1963-02-01,1769000
1963-03-01,1772000
1963-04-01,1777000
1963-05-01,1815000
1963-06-01,1883000
1963-07-01,1936000
1963-08-01,1934000
1963-09-01,1936000
1963-10-01,1959000
1963-11-01,1943000
1963-12-01,1945000
1964-01-01,1898000
1964-02-01,1901000
1964-03-01,1931000
1964-04-01,1926000
1964-05-01,1966000
1964-06-01,1997000
1964-07-01,2019000
1964-08-01,2002000
1964-09-01,2e+06
1964-10-01,2007000
1964-11-01,2015000
1964-12-01,2003000
1965-01-01,1973000
1965-02-01,1970000
1965-03-01,2003000
1965-04-01,2033000
1965-05-01,2067000
1965-06-01,2121000
1965-07-01,2142000
1965-08-01,2146000
1965-09-01,2084000
1965-10-01,2122000
1965-11-01,2112000
1965-12-01,2139000
1966-01-01,2188000
1966-02-01,2201000
1966-03-01,2226000
1966-04-01,2264000
1966-05-01,2296000
1966-06-01,2373000
1966-07-01,2415000
1966-08-01,2438000
1966-09-01,2454000
1966-10-01,2460000
1966-11-01,2413000
1966-12-01,2430000
1967-01-01,2320000
1967-02-01,2370000
1967-03-01,2415000
1967-04-01,2390000
1967-05-01,2456000
1967-06-01,2538000
1967-07-01,2578000
1967-08-01,2553000
1967-09-01,2530000
1967-10-01,2526000
1967-11-01,2568000
1967-12-01,2582000
1968-01-01,2441000
1968-02-01,2473000
1968-03-01,2462000
1968-04-01,2484000
1968-05-01,2522000
1968-06-01,2645000
1968-07-01,2674000
1968-08-01,2657000
1968-09-01,2672000
1968-10-01,2696000
1968-11-01,2740000
1968-12-01,2694000
1969-01-01,2604000
1969-02-01,2653000
1969-03-01,2623000
1969-04-01,2695000
1969-05-01,2724000
1969-06-01,2784000
1969-07-01,2807000
1969-08-01,2773000
1969-09-01,2755000
1969-10-01,2781000
1969-11-01,2774000
1969-12-01,2769000
1970-01-01,2650000
1970-02-01,2688000
1970-03-01,2689000
1970-04-01,2756000
1970-05-01,2836000
1970-06-01,2929000
1970-07-01,2945000
1970-08-01,2864000
1970-09-01,2860000
1970-10-01,2889000
1970-11-01,2909000
1970-12-01,2873000
1971-01-01,2835000
1971-02-01,2875000
1971-03-01,2842000
1971-04-01,2853000
1971-05-01,2902000
1971-06-01,3008000
1971-07-01,3078000
1971-08-01,3002000
1971-09-01,3005000
1971-10-01,3094000
1971-11-01,3076000
1971-12-01,3090000
1972-01-01,2972000
1972-02-01,2967000
1972-03-01,2991000
1972-04-01,2967000
1972-05-01,3015000
1972-06-01,3155000
1972-07-01,3214000
1972-08-01,3177000
1972-09-01,3129000
1972-10-01,3159000
1972-11-01,3214000
1972-12-01,3245000
1973-01-01,3134000
1973-02-01,3198000
1973-03-01,3186000
1973-04-01,3209000
1973-05-01,3278000
1973-06-01,3410000
1973-07-01,3379000
1973-08-01,3372000
1973-09-01,3314000
1973-10-01,3372000
1973-11-01,3398000
1973-12-01,3390000
1974-01-01,3317000
1974-02-01,3327000
1974-03-01,3328000
1974-04-01,3363000
1974-05-01,3425000
1974-06-01,3543000
1974-07-01,3622000
1974-08-01,3604000
1974-09-01,3492000
1974-10-01,3548000
1974-11-01,3554000
1974-12-01,3595000
1975-01-01,3490000
1975-02-01,3520000
1975-03-01,3525000
1975-04-01,3560000
1975-05-01,3659000
1975-06-01,3769000
1975-07-01,3813000
1975-08-01,3805000
1975-09-01,3722000
1975-10-01,3758000
1975-11-01,3779000
1975-12-01,3759000
1976-01-01,3766400
1976-02-01,3800400
1976-03-01,3839200
1976-04-01,3851400
1976-05-01,3928300
1976-06-01,4007800
1976-07-01,4097500
1976-08-01,4090700
1976-09-01,3974900
1976-10-01,3975600
1976-11-01,3986200
1976-12-01,3981900
1977-01-01,3938400
1977-02-01,3993600
