"Date","LRAC55FECAM156S"
1976-01-01,30.9898242368178
1976-02-01,31.3799815592665
1976-03-01,30.9985705534
1976-04-01,31.4777121921433
1976-05-01,31.5581253804017
1976-06-01,31.7359215448387
1976-07-01,31.9995968554727
1976-08-01,31.5451074944746
1976-09-01,32.357951698567
1976-10-01,31.6373450619752
1976-11-01,31.7678731678133
1976-12-01,32.7001491795127
1977-01-01,31.8163791394012
1977-02-01,31.5175481957489
1977-03-01,31.3214990138067
1977-04-01,31.438127090301
1977-05-01,31.3394783290841
1977-06-01,31.1943656460921
1977-07-01,31.6061670569867
1977-08-01,30.9009534928974
1977-09-01,31.498738109105
1977-10-01,31.3577377493705
1977-11-01,31.9288751449555
1977-12-01,31.4139660493828
1978-01-01,30.469501635559
1978-02-01,30.873320537428
1978-03-01,30.4914263818373
1978-04-01,30.9942638623327
1978-05-01,30.691463996185
1978-06-01,31.4707282246549
1978-07-01,31.6104513064133
1978-08-01,31.5984072810011
1978-09-01,31.5132014762941
1978-10-01,31.088229737389
1978-11-01,32.1765371557903
1978-12-01,31.8772359254378
1979-01-01,32.3217138024993
1979-02-01,33.6052508204407
1979-03-01,33.685984458384
1979-04-01,33.1838565022422
1979-05-01,33.0379628765973
1979-06-01,34.0348263339231
1979-07-01,33.2558787991449
1979-08-01,32.1580998329931
1979-09-01,32.6848249027237
1979-10-01,32.1312991215904
1979-11-01,32.3363795809102
1979-12-01,32.7772144898147
1980-01-01,33.1984178088492
1980-02-01,33.5415135929464
1980-03-01,32.8411592076302
1980-04-01,32.1709683324181
1980-05-01,33.3028780264961
1980-06-01,32.555383353086
1980-07-01,32.8752161645581
1980-08-01,31.7343508676297
1980-09-01,31.6290454174599
1980-10-01,32.316742081448
1980-11-01,32.1347908573494
1980-12-01,32.8223624887286
1981-01-01,31.3624910007199
1981-02-01,32.204759766502
1981-03-01,32.5145674585388
1981-04-01,31.6924729258032
1981-05-01,32.5232308791994
1981-06-01,32.2635285727022
1981-07-01,32.2979708081167
1981-08-01,32.7083703572063
1981-09-01,33.9776556126973
1981-10-01,32.6133144475921
1981-11-01,32.779496243924
1981-12-01,33.3068572941488
1982-01-01,32.9839704069051
1982-02-01,33.1252747252747
1982-03-01,32.9296120765315
1982-04-01,32.4686705810183
1982-05-01,33.3829061324469
1982-06-01,32.4546089385475
1982-07-01,32.7377320665911
1982-08-01,32.6954857788988
1982-09-01,33.2233700842087
1982-10-01,32.7036395147314
1982-11-01,33.0795847750865
1982-12-01,32.3430348043873
1983-01-01,32.7214753533264
1983-02-01,32.5621398469081
1983-03-01,33.3104395604396
1983-04-01,32.390503128482
1983-05-01,33.1194936275768
1983-06-01,32.5817747032197
1983-07-01,31.8922145476251
1983-08-01,32.309132692144
1983-09-01,33.313503866746
1983-10-01,33.2767546465246
1983-11-01,32.7993897787948
1983-12-01,33.3643673296657
1984-01-01,33.1868503338122
1984-02-01,32.3517002784575
1984-03-01,33.3164770332912
1984-04-01,31.6219173470247
1984-05-01,32.4926439680538
1984-06-01,31.7265703728586
1984-07-01,31.806743834927
1984-08-01,31.7663817663818
1984-09-01,32.744474212994
1984-10-01,32.4188691870191
1984-11-01,31.41925777332
1984-12-01,32.1583695289008
1985-01-01,32.9465776293823
1985-02-01,33.7421777221527
1985-03-01,33.6724482988659
1985-04-01,33.4277856488041
1985-05-01,33.7081459270365
1985-06-01,33.3250083250083
1985-07-01,32.9534109816972
1985-08-01,33.0201230666888
1985-09-01,33.4607395097632
1985-10-01,33.045428120588
1985-11-01,32.8324755105429
1985-12-01,33.6071695294996
1986-01-01,32.5454093057975
1986-02-01,32.849680789321
1986-03-01,32.9796933278077
1986-04-01,31.9884009942005
1986-05-01,33.7722567287785
1986-06-01,32.4228126810694
1986-07-01,32.6878517047335
1986-08-01,32.7984117793035
1986-09-01,33.1073259467505
1986-10-01,32.7932545259155
1986-11-01,32.3801652892562
1986-12-01,33.4159643034209
1987-01-01,33.1901536428217
1987-02-01,33.0195689868714
1987-03-01,34.4560013207859
1987-04-01,34.5325521907748
1987-05-01,34.6172880237545
1987-06-01,33.2866210534993
1987-07-01,33.7783271528636
1987-08-01,33.8606030647553
1987-09-01,34.8595898871778
1987-10-01,34.7221078633182
1987-11-01,33.7887892007573
1987-12-01,35.9364713627386
1988-01-01,34.7457627118644
1988-02-01,34.4492884757753
1988-03-01,34.7836815265669
1988-04-01,34.5530795164871
1988-05-01,34.8598207679027
1988-06-01,33.5059597205097
1988-07-01,33.6703658035347
1988-08-01,33.9362051956593
1988-09-01,35.3830976652417
1988-10-01,34.5420161157704
1988-11-01,33.8460273071229
1988-12-01,35.5955906548207
1989-01-01,33.8793316322331
1989-02-01,34.4009880609304
1989-03-01,34.4671388568605
1989-04-01,34.4756569733916
1989-05-01,33.1822676334871
1989-06-01,33.5283454185893
1989-07-01,32.437778144058
1989-08-01,32.0145070886911
1989-09-01,33.6575715110049
1989-10-01,34.0588671778382
1989-11-01,33.8748247711718
1989-12-01,35.1092783505155
1990-01-01,34.6531386620474
1990-02-01,33.9988449797871
1990-03-01,34.6039603960396
1990-04-01,34.8378579090684
1990-05-01,34.5928553749691
1990-06-01,34.5186040755713
1990-07-01,34.7245133619268
1990-08-01,34.5510018965944
1990-09-01,34.8227535037098
1990-10-01,35.1961754038905
1990-11-01,34.5091898129069
1990-12-01,35.3193242686444
1991-01-01,34.4924192485168
1991-02-01,35.2887863557716
1991-03-01,36.0131795716639
1991-04-01,35.1148810014
1991-05-01,34.554585871892
1991-06-01,35.1551568030291
1991-07-01,35.3362416659807
