"Date","PIEAFD01CAM661N"
1960-01-01,12.2240647951315
1960-02-01,12.1521585316307
1960-03-01,12.08025226813
1960-04-01,12.2240647951315
1960-05-01,12.2240647951315
1960-06-01,12.2959710586323
1960-07-01,12.5116898491346
1960-08-01,12.4397835856338
1960-09-01,12.4397835856338
1960-10-01,12.4397835856338
1960-11-01,12.5116898491346
1960-12-01,12.5835961126354
1961-01-01,12.6555023761362
1961-02-01,12.7274086396369
1961-03-01,12.6555023761362
1961-04-01,12.6555023761362
1961-05-01,12.5835961126354
1961-06-01,12.5116898491346
1961-07-01,12.5835961126354
1961-08-01,12.5835961126354
1961-09-01,12.6555023761362
1961-10-01,12.5835961126354
1961-11-01,12.5116898491346
1961-12-01,12.5835961126354
1962-01-01,12.7274086396369
1962-02-01,12.7274086396369
1962-03-01,12.7274086396369
1962-04-01,12.7274086396369
1962-05-01,12.7274086396369
1962-06-01,12.8712211666385
1962-07-01,13.01503369364
1962-08-01,13.0869399571408
1962-09-01,13.01503369364
1962-10-01,13.01503369364
1962-11-01,13.01503369364
1962-12-01,13.01503369364
1963-01-01,13.0869399571408
1963-02-01,13.0869399571408
1963-03-01,13.0869399571408
1963-04-01,13.0869399571408
1963-05-01,13.2307524841423
1963-06-01,13.4464712746447
1963-07-01,13.5183775381454
1963-08-01,13.3745650111439
1963-09-01,13.4464712746447
1963-10-01,13.4464712746447
1963-11-01,13.5902838016462
1963-12-01,13.4464712746447
1964-01-01,13.5183775381454
1964-02-01,13.4464712746447
1964-03-01,13.4464712746447
1964-04-01,13.4464712746447
1964-05-01,13.4464712746447
1964-06-01,13.3745650111439
1964-07-01,13.4464712746447
1964-08-01,13.3745650111439
1964-09-01,13.3745650111439
1964-10-01,13.3745650111439
1964-11-01,13.3026587476431
1964-12-01,13.2307524841423
1965-01-01,13.1588462206416
1965-02-01,13.3026587476431
1965-03-01,13.3026587476431
1965-04-01,13.3026587476431
1965-05-01,13.3745650111439
1965-06-01,13.5902838016462
1965-07-01,13.5902838016462
1965-08-01,13.662190065147
1965-09-01,13.5902838016462
1965-10-01,13.662190065147
1965-11-01,13.8060025921485
1965-12-01,13.8779088556493
1966-01-01,14.0936276461516
1966-02-01,14.3093464366539
1966-03-01,14.2374401731532
1966-04-01,14.0936276461516
1966-05-01,14.1655339096524
1966-06-01,14.2374401731532
1966-07-01,14.3093464366539
1966-08-01,14.3812527001547
1966-09-01,14.4531589636555
1966-10-01,14.3812527001547
1966-11-01,14.2374401731532
1966-12-01,14.3093464366539
1967-01-01,14.3093464366539
1967-02-01,14.3093464366539
1967-03-01,14.3093464366539
1967-04-01,14.3093464366539
1967-05-01,14.3812527001547
1967-06-01,14.4531589636555
1967-07-01,14.3812527001547
1967-08-01,14.3812527001547
1967-09-01,14.4531589636555
1967-10-01,14.3812527001547
1967-11-01,14.3812527001547
1967-12-01,14.3812527001547
1968-01-01,14.3812527001547
1968-02-01,14.3812527001547
1968-03-01,14.3093464366539
1968-04-01,14.3812527001547
1968-05-01,14.3812527001547
1968-06-01,14.5250652271563
1968-07-01,14.596971490657
1968-08-01,14.7407840176586
1968-09-01,14.8126902811594
1968-10-01,14.7407840176586
1968-11-01,14.7407840176586
1968-12-01,14.8845965446601
1969-01-01,14.8845965446601
1969-02-01,14.9565028081609
1969-03-01,14.9565028081609
1969-04-01,15.1722215986632
1969-05-01,15.3160341256648
1969-06-01,15.6036591796679
1969-07-01,15.6036591796679
1969-08-01,15.4598466526663
1969-09-01,15.4598466526663
1969-10-01,15.3879403891655
1969-11-01,15.3879403891655
1969-12-01,15.4598466526663
1970-01-01,15.7474717066694
1970-02-01,15.7474717066694
1970-03-01,15.7474717066694
1970-04-01,15.7474717066694
1970-05-01,15.7474717066694
1970-06-01,15.7474717066694
1970-07-01,15.7474717066694
1970-08-01,15.6755654431686
1970-09-01,15.6755654431686
1970-10-01,15.6755654431686
1970-11-01,15.6036591796679
1970-12-01,15.6036591796679
1971-01-01,15.7474717066694
1971-02-01,15.891284233671
1971-03-01,15.891284233671
1971-04-01,15.9631904971717
1971-05-01,15.9631904971717
1971-06-01,16.0350967606725
1971-07-01,16.1789092876741
1971-08-01,16.2508155511748
1971-09-01,16.2508155511748
1971-10-01,16.3946280781764
1971-11-01,16.4665343416772
1971-12-01,16.6103468686787
1972-01-01,16.6822531321795
1972-02-01,17.0417844496833
1972-03-01,17.1855969766849
1972-04-01,17.2575032401857
1972-05-01,17.4013157671872
1972-06-01,17.5451282941888
1972-07-01,17.5451282941888
1972-08-01,17.6170345576895
1972-09-01,17.7608470846911
1972-10-01,17.9046596116926
1972-11-01,17.9765658751934
1972-12-01,18.3360971926973
1973-01-01,18.8394410372027
1973-02-01,19.1270660912058
1973-03-01,19.6304099357112
1973-04-01,19.7742224627127
1973-05-01,20.4932850977205
1973-06-01,20.9966289422259
1973-07-01,21.4999727867313
1973-08-01,23.8009732187561
1973-09-01,22.7223792662445
1973-10-01,22.5066604757421
1973-11-01,22.2909416852398
1973-12-01,22.5066604757421
1974-01-01,23.2257231107499
1974-02-01,23.6571606917545
1974-03-01,23.5852544282537
1974-04-01,23.8728794822568
1974-05-01,23.8728794822568
1974-06-01,23.8728794822568
1974-07-01,24.5200358537638
1974-08-01,25.8143485967777
1974-09-01,26.1019736507808
1974-10-01,26.6053174952862
1974-11-01,27.3962863937947
1974-12-01,27.1086613397916
1975-01-01,26.9648488127901
1975-02-01,26.8210362857885
1975-03-01,26.3895987047839
1975-04-01,26.8929425492893
1975-05-01,27.3962863937947
1975-06-01,27.324380130294
