"Date","M0501CUSM391NNBR"
1888-01-01,66.2
1888-02-01,61.4
1888-03-01,67.9
1888-04-01,52.9
1888-05-01,44
1888-06-01,33.8
1888-07-01,27
1888-08-01,37.4
1888-09-01,42.4
1888-10-01,48.8
1888-11-01,56.1
1888-12-01,55.7
1889-01-01,49.4
1889-02-01,45.2
1889-03-01,39.3
1889-04-01,33.7
1889-05-01,25.8
1889-06-01,18.8
1889-07-01,19.9
1889-08-01,25.4
1889-09-01,34.1
1889-10-01,53.1
1889-11-01,56.6
1889-12-01,59.6
1890-01-01,53.4
1890-02-01,47.5
1890-03-01,44.4
1890-04-01,35
1890-05-01,32.1
1890-06-01,27.8
1890-07-01,25.1
1890-08-01,26.3
1890-09-01,31.8
1890-10-01,43.9
1890-11-01,54
1890-12-01,55.8
1891-01-01,50.9
1891-02-01,47.1
1891-03-01,43.8
1891-04-01,33.9
1891-05-01,27.1
1891-06-01,21.5
1891-07-01,24
1891-08-01,28
1891-09-01,45.3
1891-10-01,61.1
1891-11-01,71.6
1891-12-01,74.8
1892-01-01,68.9
1892-02-01,63.8
1892-03-01,58.1
1892-04-01,47.4
1892-05-01,37.6
1892-06-01,32.7
1892-07-01,31.5
1892-08-01,48.4
1892-09-01,65.3
1892-10-01,82.9
1892-11-01,100
1892-12-01,110.2
1893-01-01,111.3
1893-02-01,108.3
1893-03-01,106
1893-04-01,96.8
1893-05-01,87.7
1893-06-01,73.1
1893-07-01,69.8
1893-08-01,68.3
1893-09-01,74.6
1893-10-01,85.8
1893-11-01,102.5
1893-12-01,105
1894-01-01,102.7
1894-02-01,97.2
1894-03-01,92.2
1894-04-01,85.4
1894-05-01,75.8
1894-06-01,69.1
1894-07-01,71.3
1894-08-01,85.4
1894-09-01,96.2
1894-10-01,115
1894-11-01,122.7
1894-12-01,122.8
1895-01-01,115.8
1895-02-01,106.6
1895-03-01,98.2
1895-04-01,87.4
1895-05-01,70.7
1895-06-01,58.3
1895-07-01,52.2
1895-08-01,52.4
1895-09-01,62.6
1895-10-01,80.1
1895-11-01,91.3
1895-12-01,99.4
1896-01-01,96.4
1896-02-01,90.8
1896-03-01,85.5
1896-04-01,75.8
1896-05-01,65.9
1896-06-01,59.2
1896-07-01,56.1
1896-08-01,57.7
1896-09-01,65.5
1896-10-01,78
1896-11-01,77.2
1896-12-01,71.7
1897-01-01,64.9
1897-02-01,57.2
1897-03-01,50.7
1897-04-01,44.8
1897-05-01,34.7
1897-06-01,22.9
1897-07-01,23.8
1897-08-01,23.8
1897-09-01,32.6
1897-10-01,42.8
1897-11-01,51
1897-12-01,56
1898-01-01,51.4
1898-02-01,46.7
1898-03-01,41
1898-04-01,30.8
1898-05-01,30.3
1898-06-01,19.6
1898-07-01,14.1
1898-08-01,14
1898-09-01,25
1898-10-01,34.5
1898-11-01,45.3
1898-12-01,47.9
1899-01-01,48.2
1899-02-01,48.4
1899-03-01,45.7
1899-04-01,41.7
1899-05-01,38.7
1899-06-01,44.3
1899-07-01,48.3
1899-08-01,51.8
1899-09-01,63.5
1899-10-01,78.2
1899-11-01,86.8
1899-12-01,89.7
1900-01-01,86.9
1900-02-01,84
1900-03-01,72.9
1900-04-01,68.5
1900-05-01,58.9
1900-06-01,59.3
1900-07-01,60.4
1900-08-01,70.5
1900-09-01,82.4
1900-10-01,88.5
1900-11-01,91.1
1900-12-01,90.6
1901-01-01,89.1
1901-02-01,82.1
1901-03-01,76.6
1901-04-01,64.2
1901-05-01,47.8
1901-06-01,39.6
1901-07-01,42.7
1901-08-01,42.2
1901-09-01,54
1901-10-01,63.7
1901-11-01,81
1901-12-01,89.1
1902-01-01,78.8
1902-02-01,70.5
1902-03-01,62.1
1902-04-01,47.2
1902-05-01,35
1902-06-01,26.5
1902-07-01,31.5
1902-08-01,34
1902-09-01,42.5
1902-10-01,55.5
1902-11-01,69.6
1902-12-01,70.9
1903-01-01,66.1
1903-02-01,61.8
1903-03-01,54.5
1903-04-01,42.2
1903-05-01,30.2
1903-06-01,21.8
1903-07-01,20.4
1903-08-01,22.6
1903-09-01,33.7
1903-10-01,39.4
1903-11-01,50.5
1903-12-01,55.8
1904-01-01,54.2
1904-02-01,48
1904-03-01,39.9
1904-04-01,34.6
1904-05-01,25.5
1904-06-01,17.9
1904-07-01,17.5
1904-08-01,21.6
1904-09-01,30.7
1904-10-01,41.3
1904-11-01,49.7
1904-12-01,52.3
1905-01-01,48.6
1905-02-01,44.1
1905-03-01,36.1
1905-04-01,30.2
1905-05-01,21.2
1905-06-01,15
1905-07-01,15.1
1905-08-01,17.9
1905-09-01,26
1905-10-01,38.4
1905-11-01,50.3
1905-12-01,56.2
