"Date","LFUN24FECAM647S"
1976-01-01,144400
1976-02-01,147400
1976-03-01,143000
1976-04-01,144500
1976-05-01,147700
1976-06-01,145300
1976-07-01,158900
1976-08-01,152000
1976-09-01,155900
1976-10-01,158800
1976-11-01,163500
1976-12-01,168600
1977-01-01,161300
1977-02-01,176700
1977-03-01,170500
1977-04-01,183100
1977-05-01,172200
1977-06-01,164400
1977-07-01,182300
1977-08-01,179900
1977-09-01,181300
1977-10-01,191200
1977-11-01,177300
1977-12-01,173300
1978-01-01,175000
1978-02-01,175600
1978-03-01,184500
1978-04-01,181300
1978-05-01,192700
1978-06-01,185600
1978-07-01,183600
1978-08-01,186400
1978-09-01,191900
1978-10-01,187600
1978-11-01,192000
1978-12-01,197400
1979-01-01,194000
1979-02-01,187400
1979-03-01,182100
1979-04-01,187300
1979-05-01,177900
1979-06-01,183000
1979-07-01,179600
1979-08-01,180000
1979-09-01,174600
1979-10-01,174600
1979-11-01,179900
1979-12-01,176000
1980-01-01,182100
1980-02-01,179400
1980-03-01,185300
1980-04-01,184300
1980-05-01,187200
1980-06-01,188900
1980-07-01,188400
1980-08-01,184700
1980-09-01,179800
1980-10-01,185000
1980-11-01,170800
1980-12-01,176100
1981-01-01,174500
1981-02-01,179700
1981-03-01,179400
1981-04-01,174000
1981-05-01,176400
1981-06-01,173600
1981-07-01,165900
1981-08-01,164800
1981-09-01,187700
1981-10-01,181200
1981-11-01,193800
1981-12-01,188000
1982-01-01,193400
1982-02-01,195000
1982-03-01,202400
1982-04-01,209300
1982-05-01,215100
1982-06-01,224200
1982-07-01,250200
1982-08-01,246700
1982-09-01,243000
1982-10-01,254300
1982-11-01,253700
1982-12-01,258500
1983-01-01,252700
1983-02-01,249400
1983-03-01,250300
1983-04-01,252500
1983-05-01,247900
1983-06-01,242100
1983-07-01,233600
1983-08-01,232700
1983-09-01,231300
1983-10-01,230500
1983-11-01,223300
1983-12-01,227600
1984-01-01,225600
1984-02-01,227300
1984-03-01,220100
1984-04-01,222000
1984-05-01,228900
1984-06-01,214000
1984-07-01,220600
1984-08-01,220300
1984-09-01,234600
1984-10-01,224000
1984-11-01,226700
1984-12-01,222800
1985-01-01,196100
