"Date","LFHUTTTTCAM647N"
1960-01-01,546000
1960-02-01,597000
1960-03-01,607000
1960-04-01,550000
1960-05-01,417000
1960-06-01,313000
1960-07-01,328000
1960-08-01,350000
1960-09-01,325000
1960-10-01,366000
1960-11-01,426000
1960-12-01,525000
1961-01-01,690000
1961-02-01,716000
1961-03-01,702000
1961-04-01,619000
1961-05-01,454000
1961-06-01,367000
1961-07-01,351000
1961-08-01,320000
1961-09-01,305000
1961-10-01,315000
1961-11-01,347000
1961-12-01,411000
1962-01-01,543000
1962-02-01,582000
1962-03-01,559000
1962-04-01,484000
1962-05-01,335000
1962-06-01,3e+05
1962-07-01,307000
1962-08-01,279000
1962-09-01,259000
1962-10-01,282000
1962-11-01,342000
1962-12-01,414000
1963-01-01,541000
1963-02-01,546000
1963-03-01,550000
1963-04-01,463000
1963-05-01,347000
1963-06-01,305000
1963-07-01,294000
1963-08-01,271000
1963-09-01,251000
1963-10-01,266000
1963-11-01,303000
1963-12-01,346000
1964-01-01,466000
1964-02-01,467000
1964-03-01,456000
1964-04-01,403000
1964-05-01,293000
1964-06-01,282000
1964-07-01,265000
1964-08-01,246000
1964-09-01,217000
1964-10-01,257000
1964-11-01,257000
1964-12-01,284000
1965-01-01,407000
1965-02-01,397000
1965-03-01,387000
1965-04-01,371000
1965-05-01,265000
1965-06-01,257000
1965-07-01,244000
1965-08-01,211000
1965-09-01,176000
1965-10-01,171000
1965-11-01,220000
1965-12-01,252000
1966-01-01,315000
1966-02-01,302000
1966-03-01,293000
1966-04-01,255000
1966-05-01,230000
1966-06-01,225000
1966-07-01,254000
1966-08-01,239000
1966-09-01,214000
1966-10-01,204000
1966-11-01,240000
1966-12-01,246000
1967-01-01,338000
1967-02-01,340000
1967-03-01,343000
1967-04-01,317000
1967-05-01,281000
1967-06-01,283000
1967-07-01,297000
1967-08-01,256000
1967-09-01,227000
1967-10-01,258000
1967-11-01,287000
1967-12-01,325000
1968-01-01,407000
1968-02-01,408000
1968-03-01,417000
1968-04-01,374000
1968-05-01,340000
1968-06-01,382000
1968-07-01,390000
1968-08-01,332000
1968-09-01,274000
1968-10-01,295000
1968-11-01,334000
1968-12-01,343000
1969-01-01,420000
1969-02-01,407000
1969-03-01,388000
1969-04-01,374000
1969-05-01,361000
1969-06-01,370000
1969-07-01,366000
1969-08-01,334000
1969-09-01,287000
1969-10-01,327000
1969-11-01,355000
1969-12-01,356000
1970-01-01,438000
1970-02-01,456000
1970-03-01,472000
1970-04-01,471000
1970-05-01,480000
1970-06-01,518000
1970-07-01,549000
1970-08-01,472000
1970-09-01,416000
1970-10-01,437000
1970-11-01,489000
1970-12-01,512000
1971-01-01,623000
1971-02-01,602000
1971-03-01,577000
1971-04-01,586000
1971-05-01,512000
1971-06-01,536000
1971-07-01,549000
1971-08-01,478000
1971-09-01,454000
1971-10-01,482000
1971-11-01,518000
1971-12-01,505000
1972-01-01,623000
1972-02-01,567000
1972-03-01,582000
1972-04-01,532000
1972-05-01,528000
1972-06-01,561000
1972-07-01,580000
1972-08-01,535000
1972-09-01,493000
1972-10-01,518000
1972-11-01,549000
1972-12-01,567000
1973-01-01,651000
1973-02-01,596000
1973-03-01,551000
1973-04-01,517000
1973-05-01,482000
1973-06-01,505000
1973-07-01,501000
1973-08-01,469000
1973-09-01,457000
1973-10-01,472000
1973-11-01,487000
1973-12-01,489000
1974-01-01,592000
1974-02-01,562000
1974-03-01,539000
1974-04-01,509000
1974-05-01,5e+05
1974-06-01,472000
1974-07-01,510000
1974-08-01,489000
1974-09-01,464000
1974-10-01,460000
1974-11-01,507000
1974-12-01,568000
1975-01-01,752000
1975-02-01,730000
1975-03-01,731000
1975-04-01,694000
1975-05-01,680000
1975-06-01,681000
1975-07-01,702000
1975-08-01,685000
1975-09-01,623000
1975-10-01,636000
1975-11-01,678000
1975-12-01,684000
1976-01-01,815700
1976-02-01,808200
1976-03-01,776700
1976-04-01,773200
1976-05-01,714900
1976-06-01,708400
1976-07-01,785800
1976-08-01,715100
1976-09-01,668500
