"Date","CANODCNPI03MLSAM"
1960-01-01,65024000
1960-02-01,71165000
1960-03-01,66283000
1960-04-01,68006000
1960-05-01,74797000
1960-06-01,78242000
1960-07-01,82052000
1960-08-01,74937000
1960-09-01,87899000
1960-10-01,86671000
1960-11-01,92172000
1960-12-01,97251000
1961-01-01,88170000
1961-02-01,90501000
1961-03-01,100509000
1961-04-01,103969000
1961-05-01,100234000
1961-06-01,93967000
1961-07-01,103683000
1961-08-01,102726000
1961-09-01,99001000
1961-10-01,98523000
1961-11-01,98924000
1961-12-01,95783000
1962-01-01,94131000
1962-02-01,105125000
1962-03-01,108988000
1962-04-01,96177000
1962-05-01,108485000
1962-06-01,116293000
1962-07-01,107130000
1962-08-01,103050000
1962-09-01,94875000
1962-10-01,85880000
1962-11-01,87732000
1962-12-01,101316000
1963-01-01,119534000
1963-02-01,120226000
1963-03-01,125373000
1963-04-01,1.3e+08
1963-05-01,113841000
1963-06-01,120597000
1963-07-01,123404000
1963-08-01,115360000
1963-09-01,119471000
1963-10-01,104548000
1963-11-01,138839000
1963-12-01,130973000
1964-01-01,133013000
1964-02-01,135105000
1964-03-01,128213000
1964-04-01,129263000
1964-05-01,115194000
1964-06-01,126866000
1964-07-01,127665000
1964-08-01,149981000
1964-09-01,139751000
1964-10-01,150953000
1964-11-01,155318000
1964-12-01,123502000
1965-01-01,145160000
1965-02-01,134365000
1965-03-01,148394000
1965-04-01,130589000
1965-05-01,145452000
1965-06-01,172682000
1965-07-01,147603000
1965-08-01,136700000
1965-09-01,143946000
1965-10-01,156615000
1965-11-01,139835000
1965-12-01,155428000
1966-01-01,183229000
1966-02-01,117501000
1966-03-01,130759000
1966-04-01,128520000
1966-05-01,125979000
1966-06-01,130123000
1966-07-01,123746000
1966-08-01,137261000
1966-09-01,155219000
1966-10-01,121679000
1966-11-01,118037000
1966-12-01,119948000
1967-01-01,143869000
1967-02-01,146513000
1967-03-01,135846000
1967-04-01,185107000
1967-05-01,186790000
1967-06-01,177563000
1967-07-01,186925000
1967-08-01,162419000
1967-09-01,171514000
1967-10-01,141993000
1967-11-01,133870000
1967-12-01,151235000
1968-01-01,180872000
1968-02-01,208873000
1968-03-01,234655000
1968-04-01,182698000
1968-05-01,179777000
1968-06-01,158404000
1968-07-01,186785000
1968-08-01,187893000
1968-09-01,195729000
1968-10-01,198746000
1968-11-01,223906000
1968-12-01,267294000
1969-01-01,199525000
1969-02-01,228978000
1969-03-01,240047000
1969-04-01,219667000
1969-05-01,203462000
1969-06-01,226497000
1969-07-01,210687000
1969-08-01,198516000
1969-09-01,177262000
1969-10-01,174686000
1969-11-01,171098000
1969-12-01,178765000
1970-01-01,178312000
1970-02-01,160822000
1970-03-01,148233000
1970-04-01,161478000
1970-05-01,170540000
1970-06-01,163960000
1970-07-01,148799000
1970-08-01,202056000
1970-09-01,245565000
1970-10-01,243955000
1970-11-01,251626000
1970-12-01,236217000
1971-01-01,214804000
1971-02-01,238718000
1971-03-01,228981000
1971-04-01,249872000
1971-05-01,257740000
1971-06-01,273880000
1971-07-01,272826000
1971-08-01,266279000
1971-09-01,282636000
1971-10-01,347965000
1971-11-01,296621000
1971-12-01,272741000
1972-01-01,294557000
1972-02-01,292180000
1972-03-01,264416000
1972-04-01,342514000
1972-05-01,277086000
1972-06-01,311511000
1972-07-01,303547000
1972-08-01,301297000
1972-09-01,324227000
1972-10-01,300104000
1972-11-01,313313000
1972-12-01,313659000
1973-01-01,333832000
1973-02-01,345830000
1973-03-01,395725000
1973-04-01,341247000
1973-05-01,375508000
1973-06-01,368804000
1973-07-01,388625000
1973-08-01,418502000
1973-09-01,393043000
1973-10-01,421283000
1973-11-01,493744000
1973-12-01,486939000
1974-01-01,434872000
1974-02-01,457199000
1974-03-01,498680000
1974-04-01,423015000
1974-05-01,409511000
1974-06-01,349460000
1974-07-01,343431000
1974-08-01,359192000
1974-09-01,341591000
1974-10-01,337465000
1974-11-01,313721000
1974-12-01,307573000
1975-01-01,351585000
1975-02-01,359510000
1975-03-01,383753000
1975-04-01,463157000
1975-05-01,494250000
1975-06-01,527530000
1975-07-01,561465000
1975-08-01,583328000
1975-09-01,593071000
1975-10-01,593174000
1975-11-01,624307000
1975-12-01,593810000
1976-01-01,698913000
1976-02-01,656685000
1976-03-01,617078000
1976-04-01,596317000
1976-05-01,582992000
1976-06-01,654727000
1976-07-01,642780000
1976-08-01,603814000
1976-09-01,618736000
1976-10-01,621565000
1976-11-01,636012000
1976-12-01,546196000
1977-01-01,599245000
1977-02-01,606703000
1977-03-01,703001000
1977-04-01,654572000
1977-05-01,636090000
1977-06-01,632050000
1977-07-01,624371000
1977-08-01,610317000
1977-09-01,615610000
1977-10-01,596830000
