"Date","LFEACNTTCAM647S"
1976-01-01,652767.598383057
1976-02-01,665669.214363109
1976-03-01,652208.486723582
1976-04-01,688793.756121628
1976-05-01,681584.156744162
1976-06-01,686579.717329447
1976-07-01,689438.25117213
1976-08-01,688219.541334638
1976-09-01,688551.329966982
1976-10-01,685762.155104287
1976-11-01,690467.365209162
1976-12-01,695788.97817908
1977-01-01,688300.322925781
1977-02-01,693833.974115947
1977-03-01,689233.660881315
1977-04-01,692687.582857622
1977-05-01,694182.608279165
1977-06-01,695384.72901624
1977-07-01,689805.877135557
1977-08-01,682712.379840236
1977-09-01,684073.799629242
1977-10-01,686573.182247366
1977-11-01,686343.22514989
1977-12-01,680932.441149272
1978-01-01,683135.426231873
1978-02-01,680151.519238937
1978-03-01,686301.303583997
1978-04-01,681453.881858271
1978-05-01,686472.69548993
1978-06-01,688833.600572655
1978-07-01,686670.029510146
1978-08-01,685300.383079607
1978-09-01,683321.866849745
1978-10-01,687285.635411269
1978-11-01,685941.953536429
1978-12-01,684620.973090041
1979-01-01,681135.253214762
1979-02-01,662965.044834095
1979-03-01,686252.595734022
1979-04-01,686589.761660174
1979-05-01,693370.512649115
1979-06-01,684292.597657493
1979-07-01,694627.476950461
1979-08-01,703491.05099171
1979-09-01,707370.48411551
1979-10-01,712638.865060627
1979-11-01,709859.190696431
1979-12-01,699163.47843134
1980-01-01,702488.232005764
1980-02-01,696232.050507307
1980-03-01,678141.617349417
1980-04-01,679079.708260233
1980-05-01,673534.071308776
1980-06-01,667031.248626257
1980-07-01,656618.044397271
1980-08-01,673871.883129215
1980-09-01,675958.906296393
1980-10-01,666766.697331759
1980-11-01,667100.66862428
1980-12-01,667125.757499495
1981-01-01,691399.366604356
1981-02-01,715304.997664009
1981-03-01,712747.774336155
1981-04-01,718154.131036904
1981-05-01,702879.516645659
1981-06-01,709327.67375426
1981-07-01,711961.2901379
1981-08-01,713013.079949466
1981-09-01,700722.088598198
1981-10-01,705713.034686482
1981-11-01,702733.710550864
1981-12-01,705894.089409337
1982-01-01,700267.510496773
1982-02-01,679747.592390387
1982-03-01,675491.494575219
1982-04-01,657589.080635167
1982-05-01,647047.019340703
1982-06-01,647675.993923013
1982-07-01,638756.457260852
1982-08-01,623887.014111614
1982-09-01,619475.54475907
1982-10-01,613258.464735237
1982-11-01,622764.267096987
1982-12-01,622692.071332944
1983-01-01,613684.8756133
1983-02-01,620731.870126776
1983-03-01,621001.968725901
1983-04-01,627603.395209483
1983-05-01,639058.549165889
1983-06-01,630585.368395299
1983-07-01,634496.12310154
1983-08-01,631208.479633793
1983-09-01,636031.250547423
1983-10-01,627912.30340755
1983-11-01,622218.707643203
1983-12-01,606783.017757737
1984-01-01,581611.267101484
1984-02-01,599072.675341447
1984-03-01,582973.384489275
1984-04-01,601552.726532684
1984-05-01,601364.750752256
1984-06-01,608119.577537675
1984-07-01,612740.561580662
1984-08-01,613184.970752752
1984-09-01,622586.939495205
1984-10-01,625261.696087354
1984-11-01,611746.042806712
1984-12-01,618491.159821617
1985-01-01,622776.990954109
